,36.218
StartTime,2018-04-19 12:06:26
timeS,95.667
scan,2297.0
longitude,-106.98
latitude,17.02062
depSMignore,36.0
t090C,23.5422
t190C,23.5412
c0S/m,5.065996
c1S/m,5.065824
flSP,0.3465
CStarAt0,12.3973
CStarTr0,4.5079
par,0.050671
modError,0.0
v0,4.5079
v1,0.1155
v2,2.5812
v3,0.0
v4,4.5386
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,2.5812
sal00,34.3069
sal11,34.3063
sigma-�00,23.2532
sigma-�11,23.2531
sbeox0Mg/L,6.3523
sbox0Mm/Kg,194.00099999999998
sbeox0PS,91.12899999999999
flag,False
Time,2018-04-19 12:08:01.667000
