,108.67399999999999
StartTime,2018-04-15 05:12:33
timeS,415.376
scan,9970.0
longitude,-106.96682
latitude,16.9775
depSMignore,108.0
t090C,14.2562
t190C,14.2502
c0S/m,4.197888
c1S/m,4.197091
flSP,0.54566
CStarAt0,12.3732
CStarTr0,4.5353
par,0.095177
modError,0.0
v0,4.5353
v1,0.1819
v2,0.5159
v3,0.0
v4,4.6397
v5,0.0
v6,0.277
v7,0.0
sbeox0V,0.5148
sal00,34.7614
sal11,34.7594
sigma-�00,25.9519
sigma-�11,25.9516
sbeox0Mg/L,0.0578
sbox0Mm/Kg,1.7590000000000001
sbeox0PS,0.698
flag,False
Time,2018-04-15 05:19:28.376000
