,108.67399999999999
StartTime,2018-04-19 14:16:53
timeS,297.976
scan,7152.0
longitude,-106.98008999999999
latitude,17.02056
depSMignore,108.0
t090C,14.2088
t190C,14.2045
c0S/m,4.193797
c1S/m,4.193403
flSP,0.70214
CStarAt0,12.3694
CStarTr0,4.5395
par,0.079486
modError,0.0
v0,4.5395
v1,0.234
v2,0.5127
v3,0.0
v4,4.6286
v5,0.0
v6,0.199
v7,0.0
sbeox0V,0.5119
sal00,34.7662
sal11,34.7664
sigma-�00,25.9657
sigma-�11,25.9667
sbeox0Mg/L,0.0495
sbox0Mm/Kg,1.508
sbeox0PS,0.598
flag,False
Time,2018-04-19 14:21:50.976000
