,43.261
StartTime,2018-04-17 21:04:08
timeS,277.447
scan,6660.0
longitude,-107.05556000000001
latitude,16.9769
depSMignore,43.0
t090C,23.5077
t190C,23.4343
c0S/m,5.061823
c1S/m,5.054073000000001
flSP,0.36253
CStarAt0,12.423
CStarTr0,4.4791
par,49.122
modError,0.0
v0,4.4791
v1,0.1208
v2,2.5836
v3,0.0
v4,4.5169
v5,0.0
v6,2.988
v7,0.0
sbeox0V,2.5836
sal00,34.2994
sal11,34.2975
sigma-�00,23.2578
sigma-�11,23.2778
sbeox0Mg/L,6.3132
sbox0Mm/Kg,192.80700000000002
sbeox0PS,90.509
flag,False
Time,2018-04-17 21:08:45.447000
