,54.33
StartTime,2018-04-15 05:12:33
timeS,189.479
scan,4549.0
longitude,-107.00063999999999
latitude,16.900479999999998
depSMignore,54.0
t090C,19.7534
t190C,19.7368
c0S/m,4.6917349999999995
c1S/m,4.690174
flSP,1.6953
CStarAt0,12.3952
CStarTr0,4.5104
par,0.050671
modError,0.0
v0,4.5104
v1,0.5651
v2,1.4786
v3,0.0
v4,4.5143
v5,0.0
v6,0.0049
v7,0.0
sbeox0V,1.4782
sal00,34.3634
sal11,34.3642
sigma-�00,24.3433
sigma-�11,24.3482
sbeox0Mg/L,3.1076
sbox0Mm/Kg,94.807
sbeox0PS,41.676
flag,False
Time,2018-04-15 05:15:42.479000
