,31.188000000000002
StartTime,2018-04-19 23:59:38
timeS,251.024
scan,6026.0
longitude,-106.96678
latitude,16.97748
depSMignore,31.0
t090C,24.855
t190C,24.8516
c0S/m,5.233912
c1S/m,5.23339
flSP,0.1842
CStarAt0,12.3793
CStarTr0,4.5283
par,20.964000000000002
modError,0.0
v0,4.5283
v1,0.0614
v2,2.8231
v3,0.0
v4,4.5111
v5,0.0
v6,2.6182
v7,0.0
sbeox0V,2.8231
sal00,34.5586
sal11,34.5574
sigma-�00,23.0537
sigma-�11,23.0537
sbeox0Mg/L,6.9439
sbox0Mm/Kg,212.111
sbeox0PS,102.042
flag,False
Time,2018-04-20 00:03:49.024000
