Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 368,Area 368,#Peptides,#Unique,#Spec 368,PTM,Avg. Mass,Description
1,2,54036848,178.31,9,9,9.2E7,12,8,29,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,108,ETNP14_68,142.63,44,44,,11,0,12,Carbamidomethylation,15623,Photosystem I reaction center subunit II
12,145,ETNP_90,138.43,46,46,,11,0,12,Carbamidomethylation,15726,Photosystem I reaction center subunit II
4,160,ETNP_90,130.11,61,61,7.27E6,15,9,17,,11111,Photosystem II 12 kDa extrinsic protein
4,161,ETNP_160,130.11,52,52,7.27E6,15,9,17,,13076,Photosystem II 12 kDa extrinsic protein precursor
4,163,ETNP_100,130.11,52,52,7.27E6,15,9,17,,13052,Photosystem II 12 kDa extrinsic protein precursor
4,164,ETNP_120,130.11,52,52,7.27E6,15,9,17,,13052,Photosystem II 12 kDa extrinsic protein precursor
4,162,ETNP_110,130.11,52,52,7.27E6,15,9,17,,13042,Photosystem II 12 kDa extrinsic protein precursor
4,165,ETNP_140,130.11,52,52,7.27E6,15,9,17,,13052,Photosystem II 12 kDa extrinsic protein precursor
14,250,ETNP_120,129.81,42,42,2.59E4,10,1,11,Carbamidomethylation,15782,Photosystem I reaction center subunit II
14,248,WP_036911259,129.81,42,42,2.59E4,10,1,11,Carbamidomethylation,15782,photosystem I reaction center subunit II Prochlorococcus
14,249,WP_011131077,129.81,42,42,2.59E4,10,1,11,Carbamidomethylation,15752,photosystem I protein PsaD Prochlorococcus marinus
11,30,ETNP_90,117.04,33,33,1.75E5,10,3,12,,29123,Photosystem II manganese-stabilizing polypeptide precursor
15,8,ETNP_100,115.26,28,28,8.95E4,8,1,10,,29257,Photosystem II manganese-stabilizing polypeptide precursor
15,7,ETNP_90,115.26,28,28,8.95E4,8,1,10,,29344,Photosystem II manganese-stabilizing polypeptide precursor
5,20,ETNP_140,112.35,74,74,5.14E6,16,2,17,Carbamidomethylation; Oxidation (M),12752,hypothetical protein
