Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 278_265m_trap_SKQ17_P2,Area 278_265m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 278_265m_trap_SKQ17_P2,PTM,Avg. Mass,Description
2,392072,gi|54036848,230.87,11,11,6.57E8,10,9,30,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
5,392390,gi|1377597634,126.26,26,26,7.91E6,15,1,19,Carbamidomethylation,41979,Actin [Hondaea fermentalgiana]
23,392091,gi|1377599527,116.18,10,10,3.79E6,5,3,5,,50355,Tubulin alpha chain [Hondaea fermentalgiana]
17,929,XP_002185049,111.76,22,22,5.95E6,7,6,7,Deamidation (NQ),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
17,930,EJK77863,111.76,22,22,5.95E6,7,6,7,Deamidation (NQ),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
17,931,EJK58168,111.76,22,22,5.95E6,7,6,7,Deamidation (NQ),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
17,392758,ETNP_90m_PROKKA_55079,111.76,20,20,5.95E6,7,6,7,Deamidation (NQ),18514,EF hand
18,372997,WP_011220004.1,111.53,13,13,1.52E7,5,5,7,Methylation(R); Hydroxylation,51773,glutamine synthetase [Photobacterium profundum]
11,697,XP_003062035,104.99,34,34,6.14E6,7,3,7,,12701,predicted protein  Micromonas pusilla CCMP1545
11,698,XP_003058519,104.99,34,34,6.14E6,7,3,7,,12701,predicted protein  Micromonas pusilla CCMP1545
11,699,XP_003055512,104.99,34,34,6.14E6,7,3,7,,12701,histone H2B  Micromonas pusilla CCMP1545
7,373001,WP_011219964.1,99.79,9,9,1.47E6,8,2,9,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
7,373002,WP_011217126.1,99.79,9,9,1.47E6,8,2,9,Carbamidomethylation,42975,elongation factor Tu [Photobacterium profundum]
15,372998,WP_041393911.1,99.38,25,25,2.56E6,7,2,7,Carbamidomethylation,22084,peroxidase [Photobacterium profundum]
19,372999,CAI85920.1,93.56,18,18,2.15E6,6,1,6,,22115,peroxiredoxin 2 (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thiol-specific antioxidant protein) (TSA) (PRP) [Pseudoalteromonas haloplanktis TAC125]
32,523,XP_003074279,75.09,11,11,3.83E5,4,2,4,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
98,416528,ETNP_120m_PROKKA_40227,71.96,9,9,1.05E5,2,1,2,,22819,putative peptidase
98,416532,ETNP_120m_PROKKA_240231,71.96,5,5,1.05E5,2,1,2,,42917,Aminopeptidase
34,33,XP_003080933,70.30,8,8,3.36E6,4,2,4,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
51,373013,WP_011219918.1,70.23,5,5,3.75E5,2,1,2,,57563,molecular chaperone GroEL [Photobacterium profundum]
25,393326,ETNP_70m_PROKKA_64991,69.90,27,27,4.47E7,4,4,5,,13534,Core histone H2A/H2B/H3/H4
14,393722,ETNP14_120maa_PROKKA_78369,69.43,7,7,1.73E7,3,1,4,Carbamidomethylation,42383,Bacterial actin-related protein
33,462,XP_003063038,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
33,392418,ETNP_70m_PROKKA_144910,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11395,Core histone H2A/H2B/H3/H4
33,464,XP_003061514,66.80,24,24,1.5E7,3,3,4,Oxidation (M),11395,histone H4  Micromonas pusilla CCMP1545
