Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 231_JA2_100m_0.3um_SKQ17_P2,Coverage (%) 233_JA4_265m_0.3_SKQ17_P2,Coverage (%) 243_JA14_965m_0.3um_SKQ17_P2,Coverage (%) 378_100m_trap_SKQ17_P2,Coverage (%) 278_265m_trap_SKQ17_P2,Coverage (%) 273_965m_trap_SKQ17_P2,Area 231_JA2_100m_0.3um_SKQ17_P2,Area 233_JA4_265m_0.3_SKQ17_P2,Area 243_JA14_965m_0.3um_SKQ17_P2,Area 378_100m_trap_SKQ17_P2,Area 278_265m_trap_SKQ17_P2,Area 273_965m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 231_JA2_100m_0.3um_SKQ17_P2,#Spec 233_JA4_265m_0.3_SKQ17_P2,#Spec 243_JA14_965m_0.3um_SKQ17_P2,#Spec 378_100m_trap_SKQ17_P2,#Spec 278_265m_trap_SKQ17_P2,#Spec 273_965m_trap_SKQ17_P2,PTM,Avg. Mass,Description
1,151,54036848,235.07,13,11,11,11,11,11,13,7.4E8,6.88E8,4.07E8,1.36E8,5.58E8,9.03E8,12,9,83,67,44,33,49,54,Deamidation (NQ); Dimethylation(KR); Dehydration; Sodium adduct,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
17,42,ETNP_100,204.04,66,66,0,0,0,0,0,5.17E7,,,,,,27,14,59,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Methylation(KR); Sodium adduct,13019,Photosystem II 12 kDa extrinsic protein precursor
17,40,ETNP_120,204.04,66,66,0,0,0,0,0,5.17E7,,,,,,27,14,59,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Methylation(KR); Sodium adduct,13019,Photosystem II 12 kDa extrinsic protein precursor
17,41,ETNP_90,204.04,66,66,0,0,0,0,0,5.17E7,,,,,,27,14,59,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Methylation(KR); Sodium adduct,13019,Photosystem II 12 kDa extrinsic protein precursor
17,42,ETNP_100,204.04,66,66,0,0,0,0,0,5.17E7,,,,,,27,14,59,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Methylation(KR); Sodium adduct,13019,Photosystem II 12 kDa extrinsic protein precursor
18,44,ETNP_90,196.97,89,89,0,0,0,0,0,,,,,,,34,0,62,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,11111,Photosystem II 12 kDa extrinsic protein
18,45,ETNP_100,196.97,76,76,0,0,0,0,0,,,,,,,34,0,62,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,13052,Photosystem II 12 kDa extrinsic protein precursor
18,46,ETNP_120,196.97,76,76,0,0,0,0,0,,,,,,,34,0,62,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,13052,Photosystem II 12 kDa extrinsic protein precursor
18,47,ETNP_140,196.97,76,76,0,0,0,0,0,,,,,,,34,0,62,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,13052,Photosystem II 12 kDa extrinsic protein precursor
5,19351,NP_85,194.51,36,5,36,0,0,0,0,,2.92E6,,,,,42,2,2,61,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,19352,NP_125,194.51,36,5,36,0,0,0,0,,2.92E6,,,,,42,2,2,61,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,19359,ETNP14_68,191.42,30,8,30,0,0,0,0,,,,,,,36,0,5,55,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,19356,NP_85,190.25,37,5,37,0,0,0,0,,,,,,,40,0,2,57,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,19357,NP_300,190.25,37,5,37,0,0,0,0,,,,,,,40,0,2,57,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,1022,ETNP14_68,190.04,37,8,37,0,0,0,0,,,,,,,37,0,5,55,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,1021,ETNP14_120,190.04,37,8,37,0,0,0,0,,,,,,,37,0,5,55,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
23,51,ETNP_110,189.01,76,76,0,0,0,0,0,4.63E6,,,,,,32,6,56,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,13042,Photosystem II 12 kDa extrinsic protein precursor
23,50,ETNP_160,189.01,76,76,0,0,0,0,0,4.63E6,,,,,,32,6,56,0,0,0,0,0,Oxidation (M); Deamidation (NQ); Sodium adduct,13076,Photosystem II 12 kDa extrinsic protein precursor
13,19349,NP_85,186.52,36,5,36,0,0,0,0,,,,,,,31,0,4,50,0,0,0,0,Oxidation (M); Sodium adduct,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,19348,NP_125,186.52,36,5,36,0,0,0,0,,,,,,,31,0,4,50,0,0,0,0,Oxidation (M); Sodium adduct,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,19372,NP_100,184.83,41,7,41,0,0,0,0,,,,,,,37,0,2,54,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,1024,ETNP_120,184.80,33,8,33,0,0,0,0,,,,,,,33,0,5,49,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,19358,ETNP_100,184.54,40,8,40,0,0,0,0,,1.74E5,,,,,37,1,5,54,0,0,0,0,Carbamidomethylation; Oxidation (M); Sodium adduct,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,19354,ETNP14_120,183.67,34,5,34,0,0,0,0,,,,,,,28,0,4,47,0,0,0,0,Oxidation (M); Sodium adduct,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
