,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,59,2018-04-21 15:39:15,743856.6522569444,61.12622999999999,112.69470000000001,2577.2370000000005
1,[59],2018-04-21 15:39:15,743856.6522569444,61.12622999999999,112.69470000000001,2577.2370000000005
2,[60],2018-04-22 10:12:45,743858.4255208333,29.768699999999995,141.6178,2662.933
3,[61],2018-04-22 14:04:25,743858.586400463,15.67199,75.1618,1328.6319999999998
4,[62],2018-04-22 22:00:31,743858.917025463,29.96295,109.6267,2251.013
5,[63],2018-04-23 14:00:59,743860.5840162036,17.77299,93.3572,1393.82
6,[64],2018-04-24 14:03:01,743862.5854282407,15.616409999999998,88.9701,1464.1919999999996
7,[65],2018-04-24 21:04:47,743862.8783217593,24.460990000000002,93.0222,1453.7720000000002
8,[66],2018-04-25 15:02:53,743864.6270023148,15.218790000000004,66.1878,1003.7769999999999
9,[67],2018-04-26 00:07:04,743866.0049074074,24.27282,83.2942,873.1250000000001
10,[68],2018-04-26 06:06:44,743866.254675926,20.21198,75.2698,1035.953
11,[69],2018-04-26 12:04:27,743866.5030902778,19.02719,93.48889999999999,1452.255
12,[70],2018-04-26 18:56:09,743866.7889930556,24.764110000000002,96.72840000000001,1292.336
13,[71],2018-04-27 00:01:50,743868.0012731481,31.35596,104.9205,1746.7540000000001
14,[72],2018-04-27 09:44:07,743868.405636574,22.4816,74.9124,773.291
