Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 231_JA2_100m_0.3um_SKQ17_P2,Area 231_JA2_100m_0.3um_SKQ17_P2,#Peptides,#Unique,#Spec 231_JA2_100m_0.3um_SKQ17_P2,PTM,Avg. Mass,Description
2,392029,ETNP_120m_PROKKA_126325,243.26,76,76,7.38E7,47,26,85,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
2,392030,ETNP_90m_PROKKA_27133,243.26,76,76,7.38E7,47,26,85,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
2,392031,ETNP_100m_PROKKA_02317,243.26,76,76,7.38E7,47,26,85,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
2,392032,ETNP_100m_particle_PROKKA_12435,243.26,76,76,7.38E7,47,26,85,Oxidation (M),13019,Photosystem II 12 kDa extrinsic protein precursor
5,392033,ETNP_160m_PROKKA_83311,237.44,76,76,5.42E6,44,8,75,Oxidation (M),13076,Photosystem II 12 kDa extrinsic protein precursor
5,392034,ETNP_110m_PROKKA_45826,237.44,76,76,5.42E6,44,8,75,Oxidation (M),13042,Photosystem II 12 kDa extrinsic protein precursor
8,392350,NP_100m_PROKKA_25090,205.83,72,72,2.34E7,27,27,47,,7685,Photosystem I reaction center subunit IV
8,392351,ETNP_140m_PROKKA_82407,205.83,72,72,2.34E7,27,27,47,,7685,Photosystem I reaction center subunit IV
8,392352,ETNP_110m_PROKKA_04004,205.83,72,72,2.34E7,27,27,47,,7685,Photosystem I reaction center subunit IV
8,392353,ETNP_100m_PROKKA_85480,205.83,72,72,2.34E7,27,27,47,,7671,Photosystem I reaction center subunit IV
8,392354,ETNP_120m_particle_PROKKA_46067,205.83,72,72,2.34E7,27,27,47,,7685,Photosystem I reaction center subunit IV
8,392355,ETNP_100m_particle_PROKKA_97369,205.83,72,72,2.34E7,27,27,47,,7671,Photosystem I reaction center subunit IV
22,392016,ETNP_120m_PROKKA_239025,199.92,63,63,1.98E7,23,17,35,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
22,392017,ETNP_120m_free_PROKKA_182310,199.92,63,63,1.98E7,23,17,35,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
22,392018,ETNP_90m_PROKKA_15076,199.92,63,63,1.98E7,23,17,35,Oxidation (M),18407,C-phycoerythrin class 2 subunit beta
13,392003,ETNP_90m_PROKKA_178606,195.39,58,58,3.46E6,34,9,49,,29123,Photosystem II manganese-stabilizing polypeptide precursor
7,392036,ETNP_120m_PROKKA_239026,194.50,70,70,3.52E7,38,25,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Hydroxylation,17736,C-phycoerythrin class 2 subunit alpha
7,392037,ETNP_90m_PROKKA_15075,194.50,70,70,3.52E7,38,25,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Hydroxylation,17736,C-phycoerythrin class 2 subunit alpha
7,392038,ETNP_100m_particle_PROKKA_144421,194.50,70,70,3.52E7,38,25,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Hydroxylation,17736,C-phycoerythrin class 2 subunit alpha
3,392008,ETNP_140m_PROKKA_125786,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
3,392009,ETNP_110m_PROKKA_26060,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
3,392010,ETNP14_68maa_PROKKA_115320,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
3,392011,ETNP_100m_particle_PROKKA_13293,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
3,392012,NP_85m_PROKKA_07695,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
3,392013,ETNP_90m_PROKKA_180048,191.77,82,82,7.13E6,47,2,72,Oxidation (M),12752,hypothetical protein
4,392019,ETNP_140m_PROKKA_61974,190.90,82,82,2.63E7,48,3,73,Oxidation (M),12780,hypothetical protein
4,392020,ETNP_90m_PROKKA_62874,190.90,82,82,2.63E7,48,3,73,Oxidation (M),12780,hypothetical protein
4,392021,ETNP_100m_particle_PROKKA_129096,190.90,82,82,2.63E7,48,3,73,Oxidation (M),12780,hypothetical protein
4,392022,ETNP_110m_PROKKA_10944,190.90,82,82,2.63E7,48,3,73,Oxidation (M),12780,hypothetical protein
