Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 243_JA14_965m_0.3um_SKQ17_P2,Area 243_JA14_965m_0.3um_SKQ17_P2,#Peptides,#Unique,#Spec 243_JA14_965m_0.3um_SKQ17_P2,PTM,Avg. Mass,Description
1,392072,gi|54036848,216.33,11,11,5.07E8,7,6,31,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,392098,NP_85m_PROKKA_04529,139.29,28,28,1.59E7,22,22,22,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
2,392099,ETNP14_68maa_PROKKA_75202,139.29,28,28,1.59E7,22,22,22,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
2,36,WP_018047899,139.29,28,28,1.59E7,22,22,22,Carbamidomethylation; Oxidation (M),49419,hypothetical protein Nitrospina sp AB-629-B18
6,392007,ETNP14_68maa_PROKKA_99193,123.54,21,21,6.85E3,12,1,14,,37467,General L-amino acid-binding periplasmic protein AapJ precursor
8,56,WP_018047900,120.01,8,8,2.15E5,9,3,9,Oxidation (M),133487,hypothetical protein Nitrospina sp AB-629-B18
9,37,XP_003082284,118.92,17,17,1.32E6,14,5,15,Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
9,31,XP_003062500,118.92,17,17,1.32E6,14,5,15,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
9,32,XP_003058621,118.92,17,17,1.32E6,14,5,15,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
9,33,XP_003080933,118.92,16,16,1.32E6,14,5,15,Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
12,392466,ETNP14_68mB_PROKKA_31228,112.87,25,25,7.23E4,8,3,8,,24962,General L-amino acid-binding periplasmic protein AapJ precursor
10,392145,ETNP_120m_PROKKA_17226,101.47,13,13,5.5E5,6,2,6,,39122,Chlorate reductase subunit gamma precursor
11,404173,ETNP14_120maa_PROKKA_184116,99.45,21,21,1.35E6,9,7,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
11,404174,ETNP_160m_PROKKA_72896,99.45,21,21,1.35E6,9,7,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
11,404175,ETNP_180m_PROKKA_176133,99.45,21,21,1.35E6,9,7,9,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
19,1605,WP_018047569,95.72,16,16,6.55E5,3,3,3,,17561,hypothetical protein Nitrospina
28,409889,ETNP14_120mab_PROKKA_157108,87.27,52,52,3.27E6,5,4,5,,3658,hypothetical protein
28,409890,ETNP14_120mab_PROKKA_99350,87.27,52,52,3.27E6,5,4,5,,3672,hypothetical protein
28,409891,ETNP14_120maa_PROKKA_145159,87.27,10,10,3.27E6,5,4,5,,17825,Ammonium transporter NrgA
24,962,WP_018049561,83.10,29,29,1.44E6,5,4,7,Oxidation (M),17055,hypothetical protein Nitrospina sp AB-629-B18
18,392141,ETNP14_120maa_PROKKA_56104,82.36,6,6,9.18E4,5,1,5,Oxidation (M),96721,Perchlorate reductase subunit alpha precursor
17,392196,ETNP_100m_particle_PROKKA_82300,81.86,31,31,5.2E5,6,3,6,,14624,Tubulin/FtsZ family  GTPase domain
29,1212,WP_018048164,79.10,17,17,1.79E6,5,5,5,,16454,hypothetical protein Nitrospina sp AB-629-B18
45,392368,ETNP14_68mB_PROKKA_39666,69.45,8,8,1.4E5,2,2,2,,38516,Bacterial extracellular solute-binding protein
45,392369,ETNP_60m_PROKKA_27253,69.45,8,8,1.4E5,2,2,2,,38494,hypothetical protein
34,409885,ETNP14_120maa_PROKKA_11411,63.29,5,5,1.01E5,3,2,4,,45894,Ammonia channel precursor
34,409887,ETNP_100m_PROKKA_55902,63.29,5,5,1.01E5,3,2,4,,48390,Ammonia channel precursor
34,409888,ETNP14_120maa_PROKKA_118139,63.29,4,4,1.01E5,3,2,4,,55593,Ammonia channel precursor
31,392734,NP_300m_PROKKA_31612,61.66,9,9,3.88E4,4,1,4,,35624,General L-amino acid-binding periplasmic protein AapJ precursor
31,404178,ETNP14_120maa_PROKKA_145599,61.66,9,9,3.88E4,4,1,4,,35657,General L-amino acid-binding periplasmic protein AapJ precursor
31,392733,NP_300m_PROKKA_29559,61.66,9,9,3.88E4,4,1,4,,35723,General L-amino acid-binding periplasmic protein AapJ precursor
31,404179,ETNP14_120maa_PROKKA_76715,61.66,9,9,3.88E4,4,1,4,,35723,General L-amino acid-binding periplasmic protein AapJ precursor
46,392093,ETNP14_68maa_PROKKA_171658,59.79,18,18,2.44E5,2,1,3,Oxidation (M),16351,hypothetical protein
39,393983,ETNP_120m_PROKKA_24459,57.55,4,4,1.06E5,2,1,2,,39368,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
39,404299,ETNP_160m_PROKKA_188359,57.55,4,4,1.06E5,2,1,2,,39393,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
39,404356,ETNP_180m_PROKKA_214610,57.55,4,4,1.06E5,2,1,2,,40285,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
36,404310,ETNP_140m_PROKKA_160529,56.71,8,8,1.58E5,2,1,2,,24139,Alpha-keto acid-binding periplasmic protein TakP precursor
36,404311,ETNP_300m_PROKKA_19830,56.71,8,8,1.58E5,2,1,2,,24139,Alpha-keto acid-binding periplasmic protein TakP precursor
36,404300,ETNP_120m_free_PROKKA_61385,56.71,5,5,1.58E5,2,1,2,,39404,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
36,404301,ETNP_120m_PROKKA_306054,56.71,5,5,1.58E5,2,1,2,,39404,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
27,393987,NP_300m_PROKKA_21309,52.22,13,13,5.7E5,4,2,4,,29395,glycine betaine transporter periplasmic subunit
33,392972,ETNP14_120mab_PROKKA_99293,50.43,20,20,1.57E6,2,2,4,Methylation(R),10997,NADH dehydrogenase subunit I
33,392973,ETNP_120m_PROKKA_308104,50.43,20,20,1.57E6,2,2,4,Methylation(R),10983,NAD(P)H-quinone oxidoreductase subunit I  chloroplastic
33,392974,ETNP14_120mab_PROKKA_129766,50.43,18,18,1.57E6,2,2,4,Methylation(R),12229,NADH dehydrogenase subunit I
33,393071,ETNP_100m_PROKKA_37311,50.43,20,20,1.57E6,2,2,4,Methylation(R),10983,NAD(P)H-quinone oxidoreductase subunit I  chloroplastic
51,409896,ETNP_180m_PROKKA_132035,46.32,6,6,4.29E4,2,2,2,,44522,spermidine/putrescine ABC transporter periplasmic substrate-binding protein
51,409897,ETNP_120m_PROKKA_53780,46.32,6,6,4.29E4,2,2,2,,44425,spermidine/putrescine ABC transporter periplasmic substrate-binding protein
51,409901,ETNP_120m_free_PROKKA_19960,46.32,7,7,4.29E4,2,2,2,,39969,spermidine/putrescine ABC transporter periplasmic substrate-binding protein
61,409903,ETNP_120m_PROKKA_20258,41.37,8,8,1.58E5,1,1,1,,14594,hypothetical protein
61,409904,ETNP_140m_PROKKA_76469,41.37,8,8,1.58E5,1,1,1,,14594,hypothetical protein
61,409905,ETNP_160m_PROKKA_145973,41.37,7,7,1.58E5,1,1,1,,17840,hypothetical protein
53,405009,ETNP14_120maa_PROKKA_50312,40.19,6,6,3.16E5,2,2,2,,34230,Substrate binding domain of ABC-type glycine betaine transport system
53,405010,NP_300m_PROKKA_18007,40.19,6,6,3.16E5,2,2,2,,34232,Substrate binding domain of ABC-type glycine betaine transport system
53,405019,ETNP_300m_PROKKA_58751,40.19,9,9,3.16E5,2,2,2,,25025,Substrate binding domain of ABC-type glycine betaine transport system
53,405018,ETNP_180m_PROKKA_175429,40.19,10,10,3.16E5,2,2,2,,21562,Substrate binding domain of ABC-type glycine betaine transport system
53,405020,NP_30m_PROKKA_06351,40.19,6,6,3.16E5,2,2,2,,34528,Substrate binding domain of ABC-type glycine betaine transport system
87,404929,ETNP_300m_PROKKA_135140,39.84,4,4,5.38E5,1,1,1,,27593,hypothetical protein
87,404930,ETNP_180m_PROKKA_68623,39.84,4,4,5.38E5,1,1,1,,27597,hypothetical protein
48,405973,NP_300m_PROKKA_33262,37.19,16,16,3.7E4,1,1,1,,6115,hypothetical protein
48,405974,ETNP14_68mB_PROKKA_60832,37.19,14,14,3.7E4,1,1,1,,6878,hypothetical protein
48,405975,ETNP14_68mB_PROKKA_81584,37.19,14,14,3.7E4,1,1,1,,6875,hypothetical protein
48,410363,ETNP14_120mab_PROKKA_171780,37.19,14,14,3.7E4,1,1,1,,6908,hypothetical protein
48,405976,ETNP14_68mB_PROKKA_57533,37.19,14,14,3.7E4,1,1,1,,6878,hypothetical protein
48,410364,ETNP14_120mac_PROKKA_32971,37.19,14,14,3.7E4,1,1,1,,6846,hypothetical protein
48,410365,ETNP14_68mB_PROKKA_07829,37.19,14,14,3.7E4,1,1,1,,6878,hypothetical protein
48,405977,ETNP14_120mac_PROKKA_32980,37.19,14,14,3.7E4,1,1,1,,6878,hypothetical protein
48,405978,ETNP14_68mB_PROKKA_178830,37.19,14,14,3.7E4,1,1,1,,6878,hypothetical protein
48,410366,ETNP14_68mB_PROKKA_138575,37.19,14,14,3.7E4,1,1,1,,6882,hypothetical protein
48,405979,ETNP14_68mB_PROKKA_175381,37.19,14,14,3.7E4,1,1,1,,7185,hypothetical protein
48,405980,NP_125m_PROKKA_17492,37.19,14,14,3.7E4,1,1,1,,7149,hypothetical protein
48,405981,ETNP14_120mac_PROKKA_00686,37.19,14,14,3.7E4,1,1,1,,7071,hypothetical protein
48,405982,NP_100m_PROKKA_23957,37.19,14,14,3.7E4,1,1,1,,7157,hypothetical protein
48,410367,ETNP14_120mac_PROKKA_70010,37.19,14,14,3.7E4,1,1,1,,6981,hypothetical protein
