Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 372,Area 372,#Peptides,#Unique,#Spec 372,PTM,Avg. Mass,Description
1,4,ETNP_100,270.07,98,98,2.16E8,76,76,122,Oxidation (M),5311,hypothetical protein
2,3,ETNP_100,258.26,45,45,2.26E8,54,35,83,,9588,hypothetical protein
3,2,54036848,221.45,11,11,3.05E8,14,10,38,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
5,42,ETNP_100,208.61,63,63,9.46E6,33,10,46,,7412,Core histone H2A/H2B/H3/H4
14,294,ETNP_90,178.89,33,33,4.71E5,21,3,26,,12542,Core histone H2A/H2B/H3/H4
7,9,XP_003062035,178.23,47,47,3.6E5,25,2,33,,12701,predicted protein  Micromonas pusilla CCMP1545
7,10,XP_003058519,178.23,47,47,3.6E5,25,2,33,,12701,predicted protein  Micromonas pusilla CCMP1545
7,11,XP_003055512,178.23,47,47,3.6E5,25,2,33,,12701,histone H2B  Micromonas pusilla CCMP1545
7,12,XP_003080759,178.23,43,43,3.6E5,25,2,33,,13731,histone H2B ISS  Ostreococcus tauri
7,14,XP_003082252,178.23,39,39,3.6E5,25,2,33,,15314,histone H2B ISS  Ostreococcus tauri
7,15,ETNP_70,178.23,35,35,3.6E5,25,2,33,,16840,Core histone H2A/H2B/H3/H4
7,13,ETNP_70,178.23,44,44,3.6E5,25,2,33,,13742,Core histone H2A/H2B/H3/H4
8,1,|#CONTAM#TRYP_PIG|,176.33,24,24,1.01E8,18,18,32,,24409,sp|#CONTAM#TRYP_PIG|
10,74,ETNP_90,174.28,34,34,3.3E6,22,1,30,,13120,Core histone H2A/H2B/H3/H4
10,75,ETNP_70,174.28,34,34,3.3E6,22,1,30,,13147,Core histone H2A/H2B/H3/H4
16,702,ETNP_120,173.67,12,12,4.06E6,18,3,22,,23591,Core histone H2A/H2B/H3/H4
16,702,ETNP_120,173.67,12,12,4.06E6,18,3,22,,23591,Core histone H2A/H2B/H3/H4
16,702,ETNP_120,173.67,12,12,4.06E6,18,3,22,,23591,Core histone H2A/H2B/H3/H4
19,327,EJK69581,165.63,30,30,4.66E5,16,1,19,,12922,hypothetical protein THAOC_09149  Thalassiosira oceanica
19,328,EJK60528,165.63,30,30,4.66E5,16,1,19,,12922,hypothetical protein THAOC_19091  Thalassiosira oceanica
19,329,EJK52561,165.63,30,30,4.66E5,16,1,19,,12922,hypothetical protein THAOC_28149  Thalassiosira oceanica
19,332,EJK74337,165.63,22,22,4.66E5,16,1,19,,17560,hypothetical protein THAOC_03988  Thalassiosira oceanica
19,340,EJK52043,165.63,14,14,4.66E5,16,1,19,,27028,hypothetical protein THAOC_28729 partial  Thalassiosira oceanica
19,343,EJK62506,165.63,12,12,4.66E5,16,1,19,,32474,hypothetical protein THAOC_16881  Thalassiosira oceanica
6,5,XP_003062500,162.50,32,32,9.05E6,31,12,35,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
