Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_2,Area RAL95_trypsin_MED_2,#Peptides,#Unique,#Spec RAL95_trypsin_MED_2,PTM,Avg. Mass,Description
1,142749,WP_042850982,258.99,72,72,1.19E10,96,20,847,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Cation:Fe[II],57654,molecular chaperone GroEL Prochlorococcus sp MIT 0604
2,142750,ETNP14_68,244.68,55,55,3.46E8,69,1,684,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Cation:Fe[II],57434,60 kDa chaperonin 1
3,142751,WP_038654071,243.79,53,53,1.33E8,69,2,680,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Cation:Fe[II],57282,molecular chaperone GroEL Prochlorococcus sp MIT 0801
7,142761,ETNP14_68,227.48,50,50,6.19E6,58,1,312,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Cation:Fe[II],57311,60 kDa chaperonin 1
6,142764,WP_006171951,213.04,40,40,5.69E5,46,1,447,Oxidation (M); Deamidation (NQ); Cation:Fe[II],57476,molecular chaperone GroEL Synechococcus sp WH 5701
21,142760,WP_042851030,205.46,39,39,3.1E8,33,11,68,Carbamidomethylation; Oxidation (M); Deamidation (NQ),123048,DNA-directed RNA polymerase subunit beta Prochlorococcus sp MIT 0604
12,142891,WP_042849726,202.28,45,45,3.02E9,23,23,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Cation:Fe[II],28075,photosystem II manganese-stabilizing polypeptide Prochlorococcus sp MIT 0604
12,142892,NP_30,202.28,42,42,3.02E9,23,23,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Cation:Fe[II],29771,Photosystem II manganese-stabilizing polypeptide precursor
23,142765,WP_025900755,191.77,43,43,6.55E8,31,17,67,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67114,cell division protein FtsH Prochlorococcus
10,142769,WP_038654853,185.51,35,35,8.71E7,18,1,81,Carbamidomethylation; Oxidation (M); Deamidation (NQ),67894,molecular chaperone DnaK Prochlorococcus sp MIT 0801
40,142782,WP_042851028,183.42,24,24,1.11E8,26,8,45,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149630,DNA-directed RNA polymerase subunit beta Prochlorococcus sp MIT 0604
26,142860,ETNP_60,183.09,49,49,3.32E8,17,2,61,Deamidation (NQ),31083,Photosystem II protein
20,142762,WP_002805854,179.58,42,42,1.77E9,22,22,61,Carbamidomethylation; Oxidation (M),52574,ribulose bisphosphate carboxylase large chain Prochlorococcus
57,142767,WP_042849723,179.38,34,34,1.26E8,16,7,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66795,cell division protein FtsH Prochlorococcus sp MIT 0604
13,142771,WP_002806605,179.36,60,60,1.19E7,28,1,77,Carbamidomethylation; Oxidation (M); Methylation(KR); Cation:Fe[II],43652,elongation factor Tu Prochlorococcus
66,142822,WP_042849633,177.92,64,64,2.4E8,19,19,33,Carbamidomethylation; Oxidation (M),27937,two-component system response regulator Prochlorococcus sp MIT 0604
9,142768,WP_002805805,175.00,55,55,1.08E9,15,11,92,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Cation:Fe[II],34935,cysteine synthase Prochlorococcus
69,142823,WP_011376344,173.36,50,50,6.65E8,16,16,33,Carbamidomethylation; Deamidation (NQ),38970,fructose-bisphosphate aldolase Prochlorococcus
49,142895,WP_011862755,172.60,45,45,5.93E8,18,7,39,Oxidation (M); Methylation(KR),34158,phosphate ABC transporter substrate-binding protein Prochlorococcus
36,142777,WP_042850352,170.92,28,28,1.05E9,21,21,44,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72520,molecular chaperone Hsp90 Prochlorococcus sp MIT 0604
75,142779,WP_011130873,169.86,15,15,1.32E7,18,1,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149538,DNA-directed RNA polymerase subunit beta Prochlorococcus marinus
73,142766,WP_042851049,168.94,32,32,2.22E8,16,15,31,Carbamidomethylation; Oxidation (M),75614,elongation factor G Prochlorococcus sp MIT 0604
42,142776,WP_042850567,167.31,38,38,5.2E7,26,8,43,Carbamidomethylation; Oxidation (M); Deamidation (NQ),93357,Clp protease ClpX Prochlorococcus sp MIT 0604
83,142783,ETNP_90,166.23,13,13,4.74E6,17,1,30,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149648,DNA-directed RNA polymerase subunit beta'
25,142862,ETNP14_68,166.05,44,44,1.04E6,21,1,55,Carbamidomethylation; Oxidation (M); Cation:Fe[II],43668,Elongation factor Tu
8,142946,NP_30,165.13,82,82,2.84E10,22,22,256,Deamidation (NQ); Methylation(KR); Cation:Fe[II],10731,10 kDa chaperonin
