Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,1173,NP_85m_PROKKA_14278,271.50,74,75,7,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,1174,NP_300m_PROKKA_22657,271.50,74,75,7,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,1172,NP_85m_PROKKA_09702,271.41,66,70,2,,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,1176,NP_125m_PROKKA_07506,271.41,66,70,2,,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,1128,ETNP14_68maa_PROKKA_78515,262.98,60,63,0,,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1934,ETNP14_120maa_PROKKA_147628,262.70,62,55,0,,39385,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1171,ETNP14_120maa_PROKKA_54071,262.47,62,63,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,1170,ETNP14_68maa_PROKKA_58668,262.47,62,63,0,,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1891,NP_125m_PROKKA_02672,261.03,58,52,0,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1890,NP_85m_PROKKA_10653,261.03,58,52,0,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,1900,NP_100m_PROKKA_09018,256.57,70,58,0,,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,107171,ETNP_120m_PROKKA_78196,254.68,55,55,0,,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1160,NP_100m_PROKKA_18521,254.43,64,55,0,,33157,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,1140,NP_85m_PROKKA_05533,253.92,53,51,0,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,900,NP_300m_PROKKA_20959,250.23,70,63,1,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
17,1914,NP_300m_PROKKA_02121,248.65,52,50,1,,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,107172,ETNP_120m_PROKKA_51847,244.93,75,52,1,,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,107165,ETNP_100m_particle_PROKKA_120937,244.60,66,57,0,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
22,1897,ETNP14_120mab_PROKKA_13393,244.21,75,42,0,,21172,Alpha-keto acid-binding periplasmic protein TakP precursor
9,107166,ETNP_120m_PROKKA_178829,243.66,70,57,1,,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
18,2474,ETNP14_120maa_PROKKA_106485,242.75,59,48,0,,31627,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,791,ETNP_180m_PROKKA_32538,241.73,65,56,0,,39779,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,792,ETNP_160m_PROKKA_195160,237.63,64,55,0,,39753,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
23,2479,ETNP_300m_PROKKA_116083,236.48,51,41,0,,32718,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,1197,ETNP_120m_free_PROKKA_239923,231.63,55,50,0,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
20,889,ETNP_140m_PROKKA_69877,229.92,59,47,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
24,2457,ETNP14_68mB_PROKKA_22634,225.94,44,38,0,,29180,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
26,3607,ETNP14_68maa_PROKKA_187572,225.71,57,31,0,,19964,Alpha-keto acid-binding periplasmic protein TakP precursor
29,2421,ETNP_160m_PROKKA_208095,223.83,51,28,0,,20919,Alpha-keto acid-binding periplasmic protein TakP precursor
27,2422,NP_300m_PROKKA_27639,222.97,57,30,0,,20814,Alpha-keto acid-binding periplasmic protein TakP precursor
30,2423,ETNP_300m_PROKKA_156689,222.63,49,26,0,,20979,Alpha-keto acid-binding periplasmic protein TakP precursor
25,107179,ETNP_100m_PROKKA_87174,218.43,50,36,1,,24182,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
21,1177,ETNP14_120maa_PROKKA_92245,216.43,56,47,3,,39544,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
28,107180,ETNP_120m_free_PROKKA_148225,210.32,61,29,0,,25635,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
34,118962,ETSP_PROKKA_00299,202.65,61,25,2,,17975,Alpha-keto acid-binding periplasmic protein TakP precursor
35,1420,ETNP14_120maa_PROKKA_68035,192.39,34,20,2,,45184,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
35,1421,NP_300m_PROKKA_04504,192.39,34,20,2,,45565,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
36,2015,NP_85m_PROKKA_11502,186.90,32,18,0,,44294,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
32,107200,ETNP_120m_free_PROKKA_284341,170.77,52,28,0,,24589,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
40,2016,ETNP14_120maa_PROKKA_73949,166.81,28,15,1,,49531,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
42,2098,NP_300m_PROKKA_09744,165.29,30,19,3,,64538,putative oxidoreductase YdhV
39,119061,NP_85m_PROKKA_07022,163.12,32,18,8,,38817,Alpha-keto acid-binding periplasmic protein TakP precursor
43,107344,ETNP_120m_PROKKA_74307,162.09,26,16,7,,40322,Alpha-keto acid-binding periplasmic protein TakP precursor
43,107342,ETNP14_120maa_PROKKA_108374,162.09,26,16,7,,40014,Alpha-keto acid-binding periplasmic protein TakP precursor
43,107343,NP_300m_PROKKA_20973,162.09,26,16,7,,40155,Alpha-keto acid-binding periplasmic protein TakP precursor
95,107168,NP_100m_PROKKA_08459,155.15,25,10,10,,50268,Aliphatic amidase expression-regulating protein
95,107169,NP_125m_PROKKA_07093,155.15,25,10,10,,50268,Aliphatic amidase expression-regulating protein
95,107167,ETNP_110m_PROKKA_49243,155.15,26,10,10,,47623,Aliphatic amidase expression-regulating protein
44,2260,ETNP_100m_PROKKA_84349,155.06,37,14,1,,35645,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
31,118955,NP_85m_PROKKA_11169,154.89,43,31,1,,39471,Alpha-keto acid-binding periplasmic protein TakP precursor
31,118956,NP_100m_PROKKA_06558,154.89,43,31,1,,39471,Alpha-keto acid-binding periplasmic protein TakP precursor
31,118957,NP_300m_PROKKA_11637,154.89,43,31,1,,39471,Alpha-keto acid-binding periplasmic protein TakP precursor
31,118958,ETNP_110m_PROKKA_31734,154.89,43,31,1,,39471,Alpha-keto acid-binding periplasmic protein TakP precursor
45,119156,ETNP14_68maa_PROKKA_27470,154.13,25,13,3,,38974,Alpha-keto acid-binding periplasmic protein TakP precursor
62,1997,NP_300m_PROKKA_09254,153.68,22,15,1,,65054,putative oxidoreductase YdhV
62,1998,ETNP_180m_PROKKA_236033,153.68,21,15,1,,67443,putative oxidoreductase YdhV
38,118979,ETNP_110m_PROKKA_40671,139.83,59,18,0,,16730,Alpha-keto acid-binding periplasmic protein TakP precursor
47,107189,NP_100m_PROKKA_12960,137.83,31,15,0,,35769,General L-amino acid-binding periplasmic protein AapJ precursor
33,118967,ETNP14_120maa_PROKKA_156631,137.74,43,29,0,,39652,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
46,4819,NP_300m_PROKKA_19608,136.70,40,15,5,,39249,Bacterial extracellular solute-binding protein
37,129,ETNP_120m_PROKKA_318382,136.14,36,18,10,,34262,hypothetical protein
53,119010,ETNP14_68maa_PROKKA_79872,135.15,33,14,0,,32890,General L-amino acid-binding periplasmic protein AapJ precursor
90,119304,NP_300m_PROKKA_37106,134.62,30,9,0,,17737,Alpha-keto acid-binding periplasmic protein TakP precursor
81,119181,ETNP14_120mab_PROKKA_11207,133.01,23,9,0,,26594,Alpha-keto acid-binding periplasmic protein TakP precursor
48,119013,ETNP_150m_particle_PROKKA_20236,132.87,10,12,2,,143052,Respiratory nitrate reductase 1 alpha chain
48,135238,ETNP_180m_PROKKA_86331,132.87,10,12,2,,143052,Respiratory nitrate reductase 1 alpha chain
97,118964,ETNP_120m_PROKKA_279895,132.74,30,10,4,,34920,Putative thiamine biosynthesis protein
97,118965,NP_300m_PROKKA_05219,132.74,29,10,4,,35492,Putative thiamine biosynthesis protein
97,118966,ETNP_140m_PROKKA_111734,132.74,29,10,4,,35434,Putative thiamine biosynthesis protein
69,135257,ETNP14_120mab_PROKKA_154447,131.65,62,13,2,,16774,Phasin protein
72,3651,ETNP_120m_PROKKA_147459,131.54,21,13,0,,65012,putative oxidoreductase YdhV
52,118972,ETNP_120m_particle_PROKKA_90527,131.54,36,15,0,,36943,General L-amino acid-binding periplasmic protein AapJ precursor
86,4738,NP_300m_PROKKA_06204,131.43,24,9,7,,39385,Bacterial extracellular solute-binding protein
86,4739,ETNP_120m_particle_PROKKA_168206,131.43,24,9,7,,39375,Bacterial extracellular solute-binding protein
86,4737,ETNP_120m_PROKKA_307121,131.43,24,9,7,,39385,Bacterial extracellular solute-binding protein
86,4740,ETNP_140m_PROKKA_80561,131.43,24,9,7,,39385,Bacterial extracellular solute-binding protein
82,135258,NP_125m_PROKKA_10641,131.20,56,11,0,,14330,Phasin protein
71,57413,NP_300m_PROKKA_14803,131.17,22,10,2,,57679,60 kDa chaperonin
71,57414,ETNP_120m_particle_PROKKA_189924,131.17,22,10,2,,57693,60 kDa chaperonin
71,118943,ETNP_120m_PROKKA_167165,131.17,22,10,2,,57725,60 kDa chaperonin
71,57411,ETNP_180m_PROKKA_186511,131.17,22,10,2,,57711,60 kDa chaperonin
71,57412,ETNP_160m_PROKKA_52423,131.17,22,10,2,,57723,60 kDa chaperonin
85,107174,ETNP_300m_PROKKA_184521,130.51,14,11,11,,67558,Methanol dehydrogenase [cytochrome c] subunit 1
85,107175,NP_300m_PROKKA_11083,130.51,13,11,11,,71720,Methanol dehydrogenase [cytochrome c] subunit 1 precursor
55,118985,NP_85m_PROKKA_02682,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,118986,NP_125m_PROKKA_00202,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,118987,ETNP_120m_particle_PROKKA_184419,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,118988,ETNP14_120maa_PROKKA_07471,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,118989,NP_100m_PROKKA_00367,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
55,118990,ETNP_110m_PROKKA_38395,130.09,25,15,4,,39975,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
