Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 376,Area 376,#Peptides,#Unique,#Spec 376,PTM,Avg. Mass,Description
1,2,54036848,193.39,9,9,2.71E8,10,6,36,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
2,19,XP_003061104,115.94,25,25,7.39E5,19,1,21,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
3,1,|#CONTAM#TRYP_PIG|,113.54,23,23,2.37E8,11,11,19,,24409,sp|#CONTAM#TRYP_PIG|
5,49,ETNP_100,102.50,46,46,4.68E6,12,12,13,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
6,292,ETNP_70,100.01,17,17,1.02E6,10,2,11,Oxidation (M),41848,Bacterial actin-related protein
4,187,ETNP_90,97.31,21,21,2.05E6,13,3,15,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
8,503,XP_002183424,86.12,18,18,5.52E5,10,2,10,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
8,504,XP_002183295,86.12,18,18,5.52E5,10,2,10,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
8,505,XP_002182221,86.12,18,18,5.52E5,10,2,10,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
15,691,EJK77863,85.50,21,21,2.31E6,5,5,5,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
15,692,XP_002185049,85.50,21,21,2.31E6,5,5,5,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
15,693,EJK58168,85.50,21,21,2.31E6,5,5,5,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
15,694,ETNP_90,85.50,20,20,2.31E6,5,5,5,Oxidation (M),18514,EF hand
11,940,BAI70784.1,85.42,3,3,1.2E5,5,1,8,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
11,924,NP_300,85.42,3,3,1.2E5,5,1,8,,96223,Chaperone protein ClpB
11,948,WP_011376136.1,85.42,3,3,1.2E5,5,1,8,,97126,chaperone protein ClpB [Prochlorococcus marinus]
11,957,WP_011132214.1,85.42,3,3,1.2E5,5,1,8,,97364,chaperone protein ClpB [Prochlorococcus marinus]
11,1059,ETNP_300,85.42,7,7,1.2E5,5,1,8,,40000,Chaperone protein ClpB
11,1067,WP_009773391.1,85.42,3,3,1.2E5,5,1,8,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
11,1068,WP_013260433,85.42,3,3,1.2E5,5,1,8,,96155,chaperone protein ClpB gamma proteobacterium HdN1
11,990,ETNP_100,85.42,3,3,1.2E5,5,1,8,,95265,Chaperone protein ClpB
11,983,ACL71908.1,85.42,3,3,1.2E5,5,1,8,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
11,998,WP_001210050,85.42,3,3,1.2E5,5,1,8,,95142,chaperone protein ClpB Acinetobacter baumannii
11,991,ETNP_120,85.42,3,3,1.2E5,5,1,8,,95265,Chaperone protein ClpB
11,999,ADI91587.1,85.42,3,3,1.2E5,5,1,8,,95233,ATP-dependent chaperone ClpB [Acinetobacter oleivorans DR1]
11,843,WP_014707596,85.42,3,3,1.2E5,5,1,8,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
11,1049,CBE68133,85.42,3,3,1.2E5,5,1,8,,97122,Chaperone Candidatus Methylomirabilis oxyfera
11,926,ETNP_120,85.42,3,3,1.2E5,5,1,8,,96281,Chaperone protein ClpB
11,936,ACJ00008.1,85.42,3,3,1.2E5,5,1,8,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
10,1338,WP_012180368.1,85.00,2,2,4.62E5,5,1,8,,93872,ATP-dependent chaperone ClpB [Salinispora arenicola]
9,77,XP_002180656,81.98,9,9,1E6,7,2,9,Oxidation (M),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
7,5,XP_003062500,81.76,13,13,8.06E5,9,4,10,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
7,6,XP_003058621,81.76,13,13,8.06E5,9,4,10,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
14,10,XP_003058519,79.65,34,34,2.75E5,4,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
14,9,XP_003062035,79.65,34,34,2.75E5,4,1,5,,12701,predicted protein  Micromonas pusilla CCMP1545
14,11,XP_003055512,79.65,34,34,2.75E5,4,1,5,,12701,histone H2B  Micromonas pusilla CCMP1545
14,13,ETNP_70,79.65,32,32,2.75E5,4,1,5,,13742,Core histone H2A/H2B/H3/H4
14,12,XP_003080759,79.65,31,31,2.75E5,4,1,5,,13731,histone H2B ISS  Ostreococcus tauri
14,14,XP_003082252,79.65,28,28,2.75E5,4,1,5,,15314,histone H2B ISS  Ostreococcus tauri
14,15,ETNP_70,79.65,25,25,2.75E5,4,1,5,,16840,Core histone H2A/H2B/H3/H4
13,587,ETNP14_120,67.05,6,6,1.05E5,4,1,6,,42383,Bacterial actin-related protein
12,42,ETNP_100,53.74,60,60,1.07E6,5,2,6,,7412,Core histone H2A/H2B/H3/H4
21,2266,ETNP_120,45.44,5,5,2.12E6,3,3,3,,23919,Rhamnosyl O-methyltransferase precursor
21,2268,ETNP_300,45.44,4,4,2.12E6,3,3,3,,29233,Rhamnosyl O-methyltransferase precursor
21,2267,ETNP_180,45.44,4,4,2.12E6,3,3,3,,29233,Rhamnosyl O-methyltransferase precursor
25,582,ETNP_70,44.52,9,9,9.96E5,2,2,2,,13534,Core histone H2A/H2B/H3/H4
25,774,ETNP_120,44.52,9,9,9.96E5,2,2,2,,13824,Core histone H2A/H2B/H3/H4
25,841,ETNP_70,44.52,6,6,9.96E5,2,2,2,,19618,Core histone H2A/H2B/H3/H4
16,529,XP_003056479,43.18,7,7,1.02E6,3,3,3,Oxidation (M),49615,beta tubulin  Micromonas pusilla CCMP1545
16,432,XP_003074279,43.18,7,7,1.02E6,3,3,3,Oxidation (M),52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
17,312,XP_002179551,41.81,22,22,2.33E5,3,1,3,,12629,histone H2B isoform 1a  Phaeodactylum tricornutum CCAP 1055
17,313,XP_002179210,41.81,22,22,2.33E5,3,1,3,,12629,histone H2B isoform 1b  Phaeodactylum tricornutum CCAP 1055
17,327,EJK69581,41.81,22,22,2.33E5,3,1,3,,12922,hypothetical protein THAOC_09149  Thalassiosira oceanica
17,328,EJK60528,41.81,22,22,2.33E5,3,1,3,,12922,hypothetical protein THAOC_19091  Thalassiosira oceanica
17,329,EJK52561,41.81,22,22,2.33E5,3,1,3,,12922,hypothetical protein THAOC_28149  Thalassiosira oceanica
