Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja05-20170410,Area etnp-ja05-20170410,#Peptides,#Unique,#Spec etnp-ja05-20170410,PTM,Avg. Mass,Description
4,25412,ETNP14_120maa_PROKKA_54071,220.56,51,51,,74,0,104,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,25413,ETNP14_68maa_PROKKA_58668,220.56,51,51,,74,0,104,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,43597,ETNP14_68maa_PROKKA_78515,218.98,54,54,,72,0,103,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,43592,NP_85m_PROKKA_14278,215.23,61,61,4.17E5,80,2,111,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 2 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,43593,NP_300m_PROKKA_22657,215.23,61,61,4.17E5,80,2,111,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 2 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
9,25414,ETNP_120m_PROKKA_78196,213.43,44,44,,59,0,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39493,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,43595,NP_125m_PROKKA_07506,212.31,57,57,9.72E5,78,1,113,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,43594,NP_85m_PROKKA_09702,212.31,57,57,9.72E5,78,1,113,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; 3 more,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,43603,NP_300m_PROKKA_20959,211.54,55,55,,63,0,89,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 3 more,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,43613,ETNP_100m_particle_PROKKA_120937,211.05,52,52,,63,0,92,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 3 more,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,43614,ETNP_110m_PROKKA_17489,210.71,49,49,,52,0,81,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Pyro-glu from Q; 3 more,32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,43616,NP_85m_PROKKA_10653,210.51,44,44,,53,0,82,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Pyro-glu from Q; 3 more,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,43615,NP_125m_PROKKA_02672,210.51,44,44,,53,0,82,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Pyro-glu from Q; 3 more,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
7,25449,ETNP_120m_PROKKA_178829,210.47,53,53,,61,0,88,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 3 more,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,43602,ETNP_120m_PROKKA_51847,210.34,63,63,,60,0,88,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Formylation; Dethiomethyl; 2 more,28984,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
16,43630,ETNP_100m_PROKKA_52129,209.38,44,44,,52,0,80,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Pyro-glu from Q; 4 more,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,64,gi|54036848,209.20,15,15,1.1E9,21,16,134,Deamidation (NQ); Dimethylation(KR); Ubiquitin; Propionamide (K  X@N-term); Dehydration; 9 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
19,43610,NP_85m_PROKKA_05533,208.58,38,38,,50,0,75,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Dethiomethyl; 3 more,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
18,43611,NP_300m_PROKKA_02121,208.56,41,41,1.08E6,50,2,75,Oxidation (M); Deamidation (NQ); Methylation(KR); Formylation; Dethiomethyl; 3 more,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
