Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 14: 282 4-19_965m_netwash1of5-A,Area Sample 14: 282 4-19_965m_netwash1of5-A,#Peptides,#Unique,#Spec Sample 14: 282 4-19_965m_netwash1of5-A,PTM,Avg. Mass,Description
1,1,54036848,207.46,11,11,7.12E8,13,6,36,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,8265,ETNP_70,161.46,22,22,3.24E7,21,8,27,Carbamidomethylation,41848,Bacterial actin-related protein
18,8313,ETNP_100,133.10,25,25,1.51E7,9,9,9,,9588,hypothetical protein
2,4,XP_003061104,131.60,39,39,2.59E6,30,3,40,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
8,170654,CAI85248.1,119.02,40,40,7.42E6,12,8,16,,22182,50S ribosomal subunit protein L3 [Pseudoalteromonas haloplanktis TAC125]
35,134936,ETNP_90,114.40,42,42,1.86E6,5,3,6,,11988,50S ribosomal protein L22
6,5,WP_023559773,109.75,4,4,6.33E5,8,1,17,,95439,protein disaggregation chaperone Alteromonas mediterranea
7,17446,WP_012519826,108.58,24,24,2.22E6,15,2,16,Carbamidomethylation,43224,elongation factor Tu Alteromonas mediterranea
7,17447,ETNP14_120,108.58,24,24,2.22E6,15,2,16,Carbamidomethylation,43251,Elongation factor Tu
15,133682,WP_012516957,105.76,40,40,5.09E6,10,6,10,,22573,50S ribosomal protein L3 Alteromonas mediterranea
9,17451,ETNP_90,103.86,24,24,8.86E5,13,3,14,Carbamidomethylation,43421,Elongation factor Tu
49,2,CAA76847.1,101.06,13,13,1.27E6,5,5,5,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
4,2735,ETNP_90,93.75,25,25,7.99E6,12,2,18,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
5,38,XP_002183424,90.85,22,22,3.26E6,14,1,17,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
5,39,XP_002183295,90.85,22,22,3.26E6,14,1,17,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
5,40,XP_002182221,90.85,22,22,3.26E6,14,1,17,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
13,17487,ADI92491.1,88.13,13,13,,9,0,10,Carbamidomethylation,42881,elongation factor Tu [Acinetobacter oleivorans DR1]
13,133610,WP_001029610,88.13,13,13,,9,0,10,Carbamidomethylation,42892,elongation factor Tu Acinetobacter baumannii
13,17489,ADI91961.1,88.13,13,13,,9,0,10,Carbamidomethylation,42881,elongation factor Tu [Acinetobacter oleivorans DR1]
13,17488,ETNP_100,88.13,13,13,,9,0,10,Carbamidomethylation,42798,Elongation factor Tu
13,17490,ETNP_120,88.13,13,13,,9,0,10,Carbamidomethylation,42798,Elongation factor Tu
21,8278,BAI70784.1,87.30,3,3,8.41E4,5,1,9,,95100,ATP-dependent Clp protease ATP-binding subunit [Azospirillum sp. B510]
19,8308,WP_053951796,86.60,2,2,2.18E6,5,1,9,,94463,ATP-dependent chaperone ClpB Candidatus Thioglobus autotrophica
20,8302,ETNP14_120,86.50,2,2,3.81E5,5,1,9,,92971,ATP-dependent Clp protease ATP-binding subunit ClpC1
22,32,AAV96505.1,86.30,3,3,3.15E5,5,1,9,,95825,ATP-dependent Clp protease  ATP-binding subunit ClpB [Ruegeria pomeroyi DSS-3]
10,2742,ETNP14_120,84.77,12,12,3.25E6,8,3,13,Carbamidomethylation,42383,Bacterial actin-related protein
16,24027,ETNP_100,84.07,37,37,2.96E7,8,8,10,,11381,Core histone H2A/H2B/H3/H4
14,17450,WP_011467412.1,81.13,12,12,,9,0,10,Carbamidomethylation,44287,elongation factor Tu [Saccharophagus degradans]
119,144108,WP_012518442,80.43,3,3,4.6E5,2,2,2,,138375,peptidase Alteromonas mediterranea
23,17449,ETNP_90,78.56,12,12,,8,0,8,Carbamidomethylation,43463,Elongation factor Tu
