,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,31,2017-01-08 01:08:51,742920.0478125,19.23378,2887.2340000000004,2419.092
1,[31],2017-01-08 01:08:51,742920.0478125,19.23378,2887.2340000000004,2419.092
2,[32],2017-01-08 20:54:16,742920.8710185185,5.50829,574.4924,587.999
3,[33],2017-01-09 03:09:31,742922.1316087963,15.26887,1724.2244,1483.079
4,[34],2017-01-09 12:22:53,742922.5158912037,16.68489,2109.5111,1885.1
5,[35],2017-01-10 08:32:45,742924.3560763889,10.2249,1148.6627,1075.924
6,[36],2017-01-10 14:03:42,742924.5859027777,12.556740000000001,1533.2332000000001,1291.03
7,[37],2017-01-10 23:11:26,742924.9662731482,15.758149999999999,1724.2817000000002,1399.2290000000003
8,[38],2017-01-11 04:05:00,742926.1701388889,13.90461,1531.0092,1277.442
9,[39],2017-01-11 14:03:16,742926.5856018518,14.97964,1627.5958,1608.261
10,[40],2017-01-12 05:05:22,742928.2120601851,15.220970000000001,1626.3774,1357.6470000000002
11,[41],2017-01-12 14:04:48,742928.5866666667,13.86235,1529.4319999999998,1429.949
12,[42],2017-01-12 19:11:38,742928.7997453704,21.29492,2103.0602,1874.288
13,[43],2017-01-13 12:18:03,742930.5125347222,13.072349999999998,1335.4212,1297.5339999999999
