Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,par,scan,nbin,flag
51.0,2017-01-09 12:22:53,50.692,16.53064,-107.10372,25.3337,25.3275,25.3226,34.1711,34.1836,1022.8333,22.6134,1.221,153.75,206.724,0.2033,95.0452,0.0332,0.0359,0.01316,3682.0,37.0,False
52.0,2017-01-09 12:22:53,51.68600000000001,16.53064,-107.10372,24.8292,24.8232,24.818,34.1897,34.1997,1023.005,22.7806,1.1107,134.687,208.45153,0.1906,95.3468,0.0334,0.0361,0.012884,3724.0,46.0,False
53.0,2017-01-09 12:22:53,52.68,16.53064,-107.10371,24.8288,24.6189,24.8174,34.181,34.2057,1023.0024,22.7736,1.0781,127.221,208.47136,0.1866,95.4412,0.0334,0.036,0.012589,3792.0,86.0,False
54.0,2017-01-09 12:22:53,53.673,16.53064,-107.10372,23.8479,23.8564,23.8366,34.2088,34.2159,1023.3209,23.0873,0.8779600000000001,123.455,211.91352999999998,0.18,95.6012,0.0333,0.0359,0.012199,3854.0,38.0,False
55.0,2017-01-09 12:22:53,54.667,16.53064,-107.10372,23.3241,23.3243,23.3128,34.2519,34.2597,1023.511,23.2728,0.78588,104.35,213.75927000000001,0.1764,95.6853,0.0333,0.0358,0.012598999999999999,3886.0,29.0,False
56.0,2017-01-09 12:22:53,55.661,16.53064,-107.10372,23.1976,23.1969,23.1862,34.2839,34.294,1023.5763,23.3336,0.82781,92.145,214.17946,0.1724,95.78,0.0333,0.0358,0.012588,3919.0,40.0,False
57.0,2017-01-09 12:22:53,56.655,16.53064,-107.10372,23.1765,23.168,23.1649,34.2916,34.3093,1023.5926,23.3456,0.88102,89.477,214.24643999999998,0.1718,95.7952,0.0334,0.036,0.012496,3974.0,65.0,False
58.0,2017-01-09 12:22:53,57.648999999999994,16.53064,-107.10372,23.1,23.1034,23.0882,34.2939,34.3022,1023.6208,23.3694,0.8259,90.54700000000001,214.5254,0.1724,95.7797,0.0333,0.0359,0.012636,4031.0,46.0,False
59.0,2017-01-09 12:22:53,58.641999999999996,16.53064,-107.1037,23.0232,23.0244,23.0112,34.3052,34.314,1023.6558,23.4001,0.80679,88.539,214.79386,0.1722,95.7856,0.0334,0.0359,0.012620000000000001,4080.0,57.0,False
60.0,2017-01-09 12:22:53,59.636,16.53064,-107.1037,22.8,22.8153,22.7879,34.3218,34.3279,1023.7368,23.4766,0.7599100000000001,86.367,215.59986,0.1682,95.8818,0.0333,0.0359,0.012723,4140.0,56.0,False
61.0,2017-01-09 12:22:53,60.63,16.53064,-107.10372,22.7016,22.6998,22.6894,34.3202,34.3302,1023.7681,23.5035,0.7356,82.235,215.96967,0.1673,95.9051,0.0337,0.0362,0.012694,4187.0,38.0,False
62.0,2017-01-09 12:22:53,61.623999999999995,16.53064,-107.10372,22.569,22.5675,22.5566,34.3352,34.3454,1023.8216,23.5526,0.71902,81.188,216.44577,0.169,95.8615,0.0335,0.036,0.012858000000000001,4222.0,34.0,False
63.0,2017-01-09 12:22:53,62.618,16.53064,-107.10372,22.384,22.3797,22.3715,34.3688,34.3807,1023.9039,23.6304,0.7209399999999999,79.41199999999999,217.09534,0.1638,95.9864,0.0333,0.0358,0.012701,4260.0,44.0,False
64.0,2017-01-09 12:22:53,63.611000000000004,16.53064,-107.10372,22.3115,22.3209,22.2988,34.3696,34.3821,1023.9293,23.6514,0.75276,75.934,217.36854,0.1632,96.0028,0.0334,0.0358,0.012751,4323.0,76.0,False
65.0,2017-01-09 12:22:53,64.605,16.53064,-107.10372,22.1654,22.1591,22.1525,34.3717,34.3799,1023.9765,23.6942,0.6611,74.744,217.92032999999998,0.1603,96.0714,0.0334,0.0358,0.012545,4389.0,50.0,False
66.0,2017-01-09 12:22:53,65.59899999999999,16.53064,-107.10372,22.0285,22.0239,22.0155,34.3823,34.3928,1024.0273,23.7406,0.6331600000000001,71.55,218.42747000000003,0.1591,96.101,0.0332,0.0359,0.012693000000000001,4428.0,34.0,False
67.0,2017-01-09 12:22:53,66.593,16.53064,-107.10372,21.9497,21.9462,21.9365,34.3902,34.4005,1024.0597,23.7686,0.62417,69.212,218.71793,0.158,96.1282,0.033,0.0358,0.012731999999999999,4463.0,37.0,False
68.0,2017-01-09 12:22:53,67.586,16.53064,-107.10372,21.7441,21.7183,21.7308,34.4117,34.4247,1024.1377,23.842,0.64157,66.807,219.47812000000002,0.1566,96.1599,0.0332,0.0358,0.012841,4509.0,56.0,False
69.0,2017-01-09 12:22:53,68.58,16.53064,-107.10372,21.3476,21.2181,21.3343,34.4369,34.4637,1024.2706,23.9703,0.57798,60.82,220.98465,0.1598,96.0834,0.0332,0.0358,0.012778,4577.0,64.0,False
70.0,2017-01-09 12:22:53,69.574,16.53064,-107.10372,20.6707,20.6628,20.6575,34.4948,34.5045,1024.5034,24.1983,0.50368,53.143,223.5716,0.1505,96.3069,0.0334,0.0359,0.012891999999999999,4630.0,44.0,False
71.0,2017-01-09 12:22:53,70.568,16.53064,-107.10372,20.3197,20.3092,20.3065,34.5239,34.5333,1024.6239,24.3141,0.49568999999999996,42.379,224.94057,0.149,96.3423,0.0332,0.0356,0.012751,4675.0,50.0,False
72.0,2017-01-09 12:22:53,71.561,16.53064,-107.10372,19.7762,19.7589,19.7631,34.5612,34.5731,1024.8002,24.4856,0.44415,37.138000000000005,227.10445,0.1458,96.4202,0.0333,0.0357,0.012830000000000001,4722.0,42.0,False
