Pressure [dbar],StartTime,depSMignore,latitude,longitude,t090C,t190C,potemp090C,sal00,sal11,density00,sigma-t00,flSP,sbox0Mm/Kg,oxsolMm/Kg,CStarAt0,CStarTr0,v2,v3,par,scan,nbin,flag
51.0,2017-01-09 03:09:31,50.692,16.52356,-107.1133,25.3684,25.3546,25.3573,34.0545,34.0603,1022.7345,22.5145,1.5352,151.506,206.76185,0.2102,94.8803,0.0343,0.046,0.0090008,3531.0,44.0,False
52.0,2017-01-09 03:09:31,51.68600000000001,16.52356,-107.1133,24.9116,24.9103,24.9004,34.0291,34.0361,1022.8588,22.6343,1.4669,135.33,208.37902,0.2018,95.081,0.0343,0.0458,0.0094461,3577.0,49.0,False
53.0,2017-01-09 03:09:31,52.68,16.52356,-107.1133,24.7278,24.7219,24.7164,34.0302,34.0391,1022.9195,22.6906,1.4976,123.225,209.02141,0.1999,95.1261,0.0342,0.0458,0.0093334,3636.0,61.0,False
54.0,2017-01-09 03:09:31,53.673,16.52356,-107.1133,24.3821,24.3815,24.3706,34.0798,34.0866,1023.0648,22.8314,1.2191,120.49,210.17802000000003,0.1986,95.1557,0.0344,0.0458,0.009293899999999999,3689.0,42.0,False
55.0,2017-01-09 03:09:31,54.667,16.52356,-107.1133,23.8745,23.8755,23.863,34.1697,34.1778,1023.2878,23.0499,1.1158,115.565,211.8706,0.1928,95.295,0.0343,0.0457,0.009440299999999999,3728.0,40.0,False
56.0,2017-01-09 03:09:31,55.661,16.52356,-107.1133,23.5881,23.5836,23.5765,34.1921,34.1998,1023.3931,23.1507,1.1466,103.29299999999999,212.87812999999997,0.1878,95.4126,0.0343,0.0458,0.009217200000000002,3780.0,63.0,False
57.0,2017-01-09 03:09:31,56.655,16.52356,-107.1133,23.0758,23.0659,23.0642,34.2485,34.2575,1023.589,23.342,0.8386100000000001,96.275,214.67899,0.1753,95.7111,0.0343,0.0457,0.0094164,3840.0,49.0,False
58.0,2017-01-09 03:09:31,57.648999999999994,16.52356,-107.1133,22.7245,22.7223,22.7128,34.2808,34.29,1023.7187,23.4671,0.72073,89.103,215.94016000000002,0.171,95.8161,0.0343,0.0459,0.0092059,3878.0,34.0,False
59.0,2017-01-09 03:09:31,58.641999999999996,16.52356,-107.1133,22.5174,22.5133,22.5055,34.3001,34.3095,1023.7966,23.5406,0.72188,81.492,216.69013999999999,0.1689,95.8663,0.0343,0.0458,0.0095199,3911.0,34.0,False
60.0,2017-01-09 03:09:31,59.636,16.52356,-107.1133,22.2216,22.1608,22.2097,34.3595,34.3738,1023.9297,23.6691,0.81692,74.036,217.72494,0.1713,95.8073,0.0343,0.0456,0.0095741,3965.0,73.0,False
61.0,2017-01-09 03:09:31,60.63,16.52356,-107.1133,21.8091,21.7875,21.7972,34.389,34.3969,1024.072,23.8068,0.62331,69.997,219.26013999999998,0.1601,96.0756,0.0343,0.0453,0.0094301,4031.0,46.0,False
62.0,2017-01-09 03:09:31,61.623999999999995,16.52356,-107.1133,21.4482,21.4455,21.4362,34.4428,34.4498,1024.2172,23.9474,0.58817,64.02600000000001,220.58037000000002,0.1573,96.1449,0.0342,0.0453,0.0095474,4076.0,49.0,False
63.0,2017-01-09 03:09:31,62.618,16.52356,-107.1133,21.0423,21.0344,21.0303,34.4936,34.4996,1024.3713,24.0969,0.5545100000000001,58.086999999999996,222.09798999999998,0.1581,96.1251,0.0343,0.0452,0.0095744,4133.0,53.0,False
64.0,2017-01-09 03:09:31,63.611000000000004,16.52356,-107.1133,20.5277,20.5236,20.5157,34.5266,34.5357,1024.5399,24.2608,0.48134,52.623999999999995,224.09721000000002,0.1535,96.236,0.0342,0.0451,0.0097481,4175.0,33.0,False
65.0,2017-01-09 03:09:31,64.605,16.52356,-107.1133,20.2055,20.2038,20.1934,34.554,34.5624,1024.651,24.3673,0.47112,43.556999999999995,225.35835,0.1483,96.3612,0.0343,0.0447,0.009747200000000001,4207.0,36.0,False
66.0,2017-01-09 03:09:31,65.59899999999999,16.52356,-107.1133,20.1495,20.1484,20.1373,34.5539,34.5606,1024.6702,24.382,0.49848000000000003,34.788000000000004,225.58531000000002,0.1475,96.3797,0.0342,0.0446,0.009804799999999999,4250.0,48.0,False
67.0,2017-01-09 03:09:31,66.593,16.52356,-107.1133,20.1428,20.1399,20.1304,34.553,34.5617,1024.6757,24.3832,0.50559,34.514,225.61407999999997,0.1475,96.3805,0.0342,0.0446,0.00981,4315.0,77.0,False
68.0,2017-01-09 03:09:31,67.586,16.52356,-107.1133,19.9167,19.9157,19.9042,34.5502,34.5582,1024.7375,24.4404,0.46701000000000004,35.171,226.54312000000002,0.1479,96.3699,0.0343,0.0445,0.0098997,4380.0,46.0,False
