Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja14-20170531,Area etnp-ja14-20170531,#Peptides,#Unique,#Spec etnp-ja14-20170531,PTM,Avg. Mass,Description
1,336,gi|54036848,204.53,11,11,5.07E8,11,7,39,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,92,#CONTAM#sp|TRYP_PIG|,158.85,39,39,4.6E8,12,12,23,Carbamidomethylation; Oxidation (M),24409,#CONTAM#sp|TRYP_PIG|
2,66226,NP_85m_PROKKA_04529,153.83,34,34,1.91E7,32,32,35,Carbamidomethylation; Oxidation (M),49419,Selenate reductase subunit beta
2,66224,ETNP14_68maa_PROKKA_75202,153.83,34,34,1.91E7,32,32,35,Carbamidomethylation; Oxidation (M),49437,Selenate reductase subunit beta
2,66225,WP_018047899,153.83,34,34,1.91E7,32,32,35,Carbamidomethylation; Oxidation (M),49419,hypothetical protein Nitrospina sp AB-629-B18
3,66245,XP_003062500,141.34,28,28,2.6E6,27,11,28,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
3,66246,XP_003058621,141.34,28,28,2.6E6,27,11,28,Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
3,66248,XP_003082284,141.34,27,27,2.6E6,27,11,28,Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
3,66247,XP_003080933,141.34,26,26,2.6E6,27,11,28,Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
5,117,ETNP14_68maa_PROKKA_99193,136.97,32,32,6.85E3,22,1,27,,37467,General L-amino acid-binding periplasmic protein AapJ precursor
8,238,ETNP14_120maa_PROKKA_173526,134.68,44,44,1.16E5,20,2,25,,22868,General L-amino acid-binding periplasmic protein AapJ precursor
9,66203,WP_018047900,134.40,14,14,2.23E5,22,4,23,Oxidation (M),133487,hypothetical protein Nitrospina sp AB-629-B18
16,256,ETNP14_120mab_PROKKA_51545,125.76,35,35,8.89E4,15,1,15,,25279,General L-amino acid-binding periplasmic protein AapJ precursor
11,66170,ETNP14_120maa_PROKKA_184116,124.46,25,25,2.46E6,17,12,17,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
11,66168,ETNP_160m_PROKKA_72896,124.46,25,25,2.46E6,17,12,17,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
11,66169,ETNP_180m_PROKKA_176133,124.46,25,25,2.46E6,17,12,17,,37084,General L-amino acid-binding periplasmic protein AapJ precursor
12,708,ETNP14_68mB_PROKKA_31228,123.96,32,32,5.2E5,17,9,17,,24962,General L-amino acid-binding periplasmic protein AapJ precursor
20,67337,WP_018047569,107.86,45,45,1.61E6,13,13,13,Carbamidomethylation,17561,hypothetical protein Nitrospina
17,66435,ETNP_100m_particle_PROKKA_82300,105.67,62,62,1.26E6,14,8,14,Oxidation (M),14624,Tubulin/FtsZ family  GTPase domain
18,327,NP_85m_PROKKA_04528,100.68,13,13,9.18E4,13,1,13,Oxidation (M),95451,Perchlorate reductase subunit alpha precursor
18,328,ETNP14_120maa_PROKKA_56104,100.68,13,13,9.18E4,13,1,13,Oxidation (M),96721,Perchlorate reductase subunit alpha precursor
15,66314,ETNP_120m_PROKKA_17226,95.84,30,30,8.58E5,16,4,16,Oxidation (M),39122,Chlorate reductase subunit gamma precursor
31,67360,WP_018048164,93.86,17,17,2.54E6,7,7,7,,16454,hypothetical protein Nitrospina sp AB-629-B18
37,4142,ETNP14_120maa_PROKKA_145159,93.79,10,10,3.27E6,5,4,6,,17825,Ammonium transporter NrgA
37,68941,ETNP14_120mab_PROKKA_157108,93.79,52,52,3.27E6,5,4,6,,3658,hypothetical protein
37,68940,ETNP14_120mab_PROKKA_99350,93.79,52,52,3.27E6,5,4,6,,3672,hypothetical protein
