Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 264+265-NT1+2-94m-p1trap,Coverage (%) 266+267-NT3+4--265m-p1trap,Coverage (%) 268_269-NT5+6-965m-p2trap,Coverage (%) 111-2012-105m-bb2trap,Coverage (%) 97-2012-750m-bb2trap,Area 264+265-NT1+2-94m-p1trap,Area 266+267-NT3+4--265m-p1trap,Area 268_269-NT5+6-965m-p2trap,Area 111-2012-105m-bb2trap,Area 97-2012-750m-bb2trap,#Peptides,#Unique,#Spec 264+265-NT1+2-94m-p1trap,#Spec 266+267-NT3+4--265m-p1trap,#Spec 268_269-NT5+6-965m-p2trap,#Spec 111-2012-105m-bb2trap,#Spec 97-2012-750m-bb2trap,PTM,Avg. Mass,Description
3,1,|#CONTAM#K2C1_HUMAN|,378.79,74,0,0,1,74,26,,,5.23E5,3.4E8,8.02E6,108,105,0,0,2,147,15,Carbamidomethylation; Oxidation (M),65886,sp|#CONTAM#K2C1_HUMAN|
6,2,|#CONTAM#K1C9_HUMAN|,364.40,71,0,3,0,71,21,,0E0,,2.36E8,8.39E6,71,70,0,1,0,103,12,Carbamidomethylation; Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
2,5,XP_003061104,348.39,57,12,7,34,53,17,3.04E6,1.16E5,2.85E7,2E8,1.37E5,120,43,15,7,76,184,9,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
13,4,|#CONTAM#K1C10_HUMAN|,312.77,64,0,0,1,61,17,,,,8.99E7,2.6E6,56,50,0,0,1,73,9,Carbamidomethylation; Oxidation (M),59519,sp|#CONTAM#K1C10_HUMAN|
14,3,|#CONTAM#K22E_HUMAN|,297.68,72,0,0,0,67,20,,,,9.4E7,3.58E6,55,50,0,0,0,70,9,Carbamidomethylation; Oxidation (M),65865,sp|#CONTAM#K22E_HUMAN|
24,46,ETNP_100,268.77,68,0,0,0,68,0,,,,2.01E7,,20,20,0,0,0,44,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
24,47,ETNP_120,268.77,68,0,0,0,68,0,,,,2.01E7,,20,20,0,0,0,44,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
24,48,ETNP_120,268.77,68,0,0,0,68,0,,,,2.01E7,,20,20,0,0,0,44,0,Carbamidomethylation; Oxidation (M),17722,C-phycoerythrin class 2 subunit alpha
24,49,ETNP_90,268.77,68,0,0,0,68,0,,,,2.01E7,,20,20,0,0,0,44,0,Carbamidomethylation; Oxidation (M),17736,C-phycoerythrin class 2 subunit alpha
10,25,ETNP_90,265.26,55,7,3,21,55,10,,,1.45E6,6.07E7,2.49E6,52,13,4,1,17,69,4,Carbamidomethylation; Oxidation (M),33070,Bacterial actin-related protein
16,27,XP_003061708,262.18,60,10,0,7,60,13,,,,,,47,0,2,0,1,71,3,Carbamidomethylation; Oxidation (M),15356,predicted protein  Micromonas pusilla CCMP1545
16,28,XP_003061754,262.18,60,10,0,7,60,13,,,,,,47,0,2,0,1,71,3,Carbamidomethylation; Oxidation (M),15356,histone H3  Micromonas pusilla CCMP1545
16,29,XP_003059221,262.18,60,10,0,7,60,13,,,,,,47,0,2,0,1,71,3,Carbamidomethylation; Oxidation (M),15356,predicted protein  Micromonas pusilla CCMP1545
16,30,ETNP_100,262.18,45,8,0,5,45,10,,,,,,47,0,2,0,1,71,3,Carbamidomethylation; Oxidation (M),21085,Core histone H2A/H2B/H3/H4
18,56,XP_003079482,258.94,47,7,0,4,36,20,,,,,0E0,46,1,2,0,1,66,4,Carbamidomethylation; Oxidation (M),23974,Histones H3 and H4 ISS  Ostreococcus tauri
5,24,ETNP_70,256.80,42,4,5,18,40,7,,7.01E4,9.08E6,3.14E8,1.43E6,58,19,4,3,40,68,5,Carbamidomethylation; Oxidation (M),41848,Bacterial actin-related protein
11,12,ETNP_100,249.90,71,14,17,19,64,31,,,,1.83E7,,49,9,2,2,3,83,3,Oxidation (M),11381,Core histone H2A/H2B/H3/H4
23,91,XP_002181134,246.05,46,10,0,0,46,10,,,,3.2E5,,33,1,2,0,0,49,2,Carbamidomethylation; Oxidation (M),15327,H3.3  Phaeodactylum tricornutum CCAP 1055
19,6,XP_003062500,245.54,56,0,0,4,56,10,,,,5.39E6,2.58E4,43,12,0,0,2,54,4,Carbamidomethylation; Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
19,7,XP_003058621,245.54,56,0,0,4,56,10,,,,5.39E6,2.58E4,43,12,0,0,2,54,4,Carbamidomethylation; Oxidation (M),49730,alpha tubulin  Micromonas pusilla CCMP1545
9,451,|#CONTAM#TRYP_PIG|,236.36,35,16,24,24,27,16,2.14E8,3.11E8,3.12E8,2.05E8,2.44E8,25,25,15,21,33,28,7,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
17,19,XP_003074685,229.26,24,5,6,4,24,8,,,,8.66E5,,39,1,2,2,1,69,2,Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
4,37,ETNP_70,229.08,71,15,15,23,71,18,,,,1.13E7,2.97E4,80,3,3,3,7,103,5,,13534,Core histone H2A/H2B/H3/H4
15,13,ETNP_120,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11365,Core histone H2A/H2B/H3/H4
15,14,XP_003061756,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
15,15,ETNP_70,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11395,Core histone H2A/H2B/H3/H4
15,16,XP_003063038,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
15,17,XP_003061514,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11395,histone H4  Micromonas pusilla CCMP1545
15,18,XP_003059520,228.96,71,14,17,19,64,21,,,,,,39,0,2,2,3,68,2,Oxidation (M),11395,predicted protein  Micromonas pusilla CCMP1545
28,8,XP_003080933,228.30,38,0,0,3,37,5,,,,,,29,0,0,0,2,36,2,Carbamidomethylation; Oxidation (M),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
1,45,54036848,222.61,11,11,11,11,0,0,9.16E8,1.33E9,9.94E8,,,11,8,53,80,73,0,0,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
29,73,XP_002179501,220.75,52,5,0,0,52,10,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),15312,histone H3 isoform 1a  Phaeodactylum tricornutum CCAP 1055
29,74,XP_002177514,220.75,52,5,0,0,52,10,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),15312,histone H3 isoform 1c  Phaeodactylum tricornutum CCAP 1055
29,75,XP_002179289,220.75,52,5,0,0,52,10,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),15312,histone H3 isoform 1b  Phaeodactylum tricornutum CCAP 1055
29,76,EJK62504,220.75,52,5,0,0,52,10,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),15312,hypothetical protein THAOC_16879  Thalassiosira oceanica
29,77,EJK60530,220.75,43,4,0,0,43,8,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),18999,hypothetical protein THAOC_19093  Thalassiosira oceanica
29,78,EJK54772,220.75,34,3,0,0,34,7,,,,6.2E6,4.67E5,24,2,1,0,0,36,2,Carbamidomethylation; Oxidation (M),24071,hypothetical protein THAOC_25571  Thalassiosira oceanica
7,90,ETNP_60,219.19,70,15,15,24,67,18,,,,,7.23E4,76,1,3,3,7,93,4,,13283,Core histone H2A/H2B/H3/H4
140,206,ETNP_120,214.92,47,0,0,0,47,0,,,,3.58E6,,8,8,0,0,0,11,0,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
140,207,ETNP_140,214.92,47,0,0,0,47,0,,,,3.58E6,,8,8,0,0,0,11,0,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
140,208,ETNP_120,214.92,47,0,0,0,47,0,,,,3.58E6,,8,8,0,0,0,11,0,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
140,209,ETNP_100,214.92,47,0,0,0,47,0,,,,3.58E6,,8,8,0,0,0,11,0,Oxidation (M),17863,C-phycoerythrin class 1 subunit alpha
8,34,XP_002183424,214.10,44,4,2,17,40,3,,,,,,48,0,5,2,17,81,1,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
8,35,XP_002183295,214.10,44,4,2,17,40,3,,,,,,48,0,5,2,17,81,1,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
8,36,XP_002182221,214.10,44,4,2,17,40,3,,,,,,48,0,5,2,17,81,1,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
44,9,XP_003082284,212.79,38,0,0,4,38,5,,,,,,26,0,0,0,2,30,2,Carbamidomethylation; Oxidation (M),50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
26,10,XP_003056479,206.25,44,0,0,2,42,5,,,,4.56E5,,29,1,0,0,1,38,2,Carbamidomethylation; Oxidation (M),49615,beta tubulin  Micromonas pusilla CCMP1545
