Peptides,InterPro-entry,Name
3863,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
999,IPR:IPR003593,AAA+ ATPase domain
752,IPR:IPR036291,NAD(P)-binding domain superfamily
715,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
484,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
482,IPR:IPR003439,ABC transporter-like
449,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
427,IPR:IPR011009,Protein kinase-like domain superfamily
417,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
411,IPR:IPR036390,Winged helix DNA-binding domain superfamily
