Depth,Spacer,SusPeptides,SusMod,SusMod100,SinkPeptides,SinkMod,SinkMod100,sus-db-try-0.5,sus-db-no-1,sus-dno-try-1.5,sus-dno-no-2
100,0.5,1932,0.114906832,11.49068323,330,0.087878788,8.787878788,,,,
265,0.5,1616,0.094059406,9.405940594,849,0.128386337,12.83863369,,,,
965,0.5,477,0.077568134,7.756813417,651,0.110599078,11.05990783,,,,
100,1,1463,0.105362776,10.5362776,292,0.07278481,7.278481013,,,,
265,1,1041,0.081746032,8.174603175,738,0.113907285,11.39072848,,,,
965,1,386,0.052631579,5.263157895,632,0.082191781,8.219178082,,,,
100,1.5,3437,0.276985743,27.69857434,1282,0.343213729,34.32137285,,,,
265,1.5,2854,0.295725298,29.57252978,9325,0.576085791,57.60857909,,,,
965,1.5,1305,0.307279693,30.72796935,7611,0.520693733,52.06937328,,,,
100,2,3784,0.186409307,18.64093072,1476,0.237804878,23.7804878,,,,
265,2,3122,0.186125736,18.61257355,12235,0.284266449,28.42664487,,,,
965,2,1841,0.181367144,18.13671444,10532,0.251044436,25.1044436,,,,
265,6,12235,57.60857909,57.60857909,12235,57.60857909,57.60857909,,,,
