DepthSKQ0012,FluorescenseSKQ0012,OxygenSKQ0012,p2depth2012,p2depth2017,p2orgcflux2012,p2orgcflux2017,p2Nflux2012,p2Nflux2017,p2CN2012,p2CN2017,p2o2,p2no3,p2no2,p2flux,susparticleclass,sinkparticleclass,cyanosusniaf,cyanosinkniaf,cyanosusmod,cyanosinkmod
2.989894987,9.13E-02,196.882,105,69,0.038,0.45894538,34,53.53843478,1.117647059,8.572259939,0,0,0,0,0.5,1,0.32236893,0.002994557,27.69857434,34.3213729
3.986526649,9.20E-02,197.076,155,100,0.064,0.1077936,58,12.1684472,1.103448276,8.85845155,0,0,0,0,0.5,1,0.070407137,0.089278406,29.57252978,57.6085791
4.983158312,9.39E-02,197.684,750,120,0.005,0.082685426,30,5.26771677,0.166666667,15.69663475,100,0,0,0,0.5,1,0,0.086311154,0,52.0693733
5.979789974,9.47E-02,197.187,,120,,0.109472348,,9.770891925,,11.20392577,100,0,0,0,0.5,1,0.006359835,0,30.72796935,0
6.975430949,9.69E-02,197.102,,150,,0.030303141,,1.997022997,,15.17415749,,,,,,,,,,
7.972062611,9.60E-02,196.871,,159,,0.053494122,,4.375095652,,12.2269605,,,,,,,,,,
8.968694274,9.96E-02,197.062,,180,,0.041294699,,4.937455052,,8.363559516,,,,,,,,,,
9.965325936,1.01E-01,197.159,,265,,0.039523924,,5.998822897,,6.588613179,,,,,,,,,,
10.9619576,1.03E-01,197.203,,365,,0.035652341,,3.823170732,,9.325333333,,,,,,,,,,
11.95858926,1.13E-01,197.361,,452,,0.052834234,,4.75685993,,11.10695604,,,,,,,,,,
12.95522092,1.06E-01,197.171,,965,,0.015091318,,1.348605981,,11.19030953,,,,,,,,,,
13.95185259,1.03E-01,197.174,,,,,,,,,,,,,,,,,,
14.94848425,1.09E-01,197.311,,,,,,,,,,,,,,,,,,
15.94511591,1.06E-01,197.138,,,,,,,,,,,,,,,,,,
16.94174757,1.08E-01,198.069,,,,,,,,,,,,,,,,,,
17.93837924,1.10E-01,198.076,,,,,,,,,,,,,,,,,,
18.9350109,1.09E-01,198.719,,,,,,,,,,,,,,,,,,
19.93164256,1.13E-01,198.47,,,,,,,,,,,,,,,,,,
20.92827422,1.12E-01,198.616,,,,,,,,,,,,,,,,,,
21.92490588,1.12E-01,198.635,,,,,,,,,,,,,,,,,,
22.92153755,1.13E-01,198.12,,,,,,,,,,,,,,,,,,
23.91816921,1.18E-01,197.925,,,,,,,,,,,,,,,,,,
24.91480087,1.19E-01,198.124,,,,,,,,,,,,,,,,,,
25.91143253,1.16E-01,198.609,,,,,,,,,,,,,,,,,,
26.90905488,1.23E-01,198.167,,,,,,,,,,,,,,,,,,
27.90469586,1.22E-01,198.313,,,,,,,,,,,,,,,,,,
28.90231821,1.29E-01,198.696,,,,,,,,,,,,,,,,,,
29.89894987,1.28E-01,198.23,,,,,,,,,,,,,,,,,,
30.89558153,1.40E-01,198.085,,,,,,,,,,,,,,,,,,
31.8922132,1.36E-01,198.319,,,,,,,,,,,,,,,,,,
32.88884486,1.34E-01,198.457,,,,,,,,,,,,,,,,,,
33.88547652,1.35E-01,197.895,,,,,,,,,,,,,,,,,,
34.88210818,1.37E-01,198.225,,,,,,,,,,,,,,,,,,
35.87873985,1.44E-01,197.849,,,,,,,,,,,,,,,,,,
36.87537151,1.43E-01,197.942,,,,,,,,,,,,,,,,,,
37.87200317,1.46E-01,198.053,,,,,,,,,,,,,,,,,,
38.86863483,1.54E-01,198.102,,,,,,,,,,,,,,,,,,
39.86526649,1.52E-01,197.72,,,,,,,,,,,,,,,,,,
40.86288884,1.51E-01,198.172,,,,,,,,,,,,,,,,,,
41.85952051,1.60E-01,198.359,,,,,,,,,,,,,,,,,,
42.85615217,1.58E-01,198.064,,,,,,,,,,,,,,,,,,
43.85278383,1.58E-01,198.168,,,,,,,,,,,,,,,,,,
44.84941549,1.75E-01,198.504,,,,,,,,,,,,,,,,,,
45.84604716,1.79E-01,198.454,,,,,,,,,,,,,,,,,,
46.84267882,1.87E-01,198.879,,,,,,,,,,,,,,,,,,
47.84030117,1.91E-01,198.671,,,,,,,,,,,,,,,,,,
48.83693283,2.03E-01,198.667,,,,,,,,,,,,,,,,,,
49.83356449,2.14E-01,198.729,,,,,,,,,,,,,,,,,,
50.83019616,2.27E-01,198.811,,,,,,,,,,,,,,,,,,
51.82682782,2.05E-01,199.165,,,,,,,,,,,,,,,,,,
52.82345948,1.99E-01,200.262,,,,,,,,,,,,,,,,,,
53.82009114,2.15E-01,200.595,,,,,,,,,,,,,,,,,,
54.81771349,2.38E-01,200.727,,,,,,,,,,,,,,,,,,
55.81434516,2.39E-01,199.486,,,,,,,,,,,,,,,,,,
56.81097682,5.18E-01,189.226,,,,,,,,,,,,,,,,,,
57.80760848,1.18E+00,182.462,,,,,,,,,,,,,,,,,,
58.80424014,1.37E+00,176.549,,,,,,,,,,,,,,,,,,
59.80186249,1.47E+00,177.862,,,,,,,,,,,,,,,,,,
60.79849415,1.51E+00,178.939,,,,,,,,,,,,,,,,,,
61.79512582,1.38E+00,200.891,,,,,,,,,,,,,,,,,,
62.79175748,1.13E+00,206.13,,,,,,,,,,,,,,,,,,
63.78838914,1.00E+00,203.145,,,,,,,,,,,,,,,,,,
64.78601149,9.59E-01,199.935,,,,,,,,,,,,,,,,,,
65.78264315,1.02E+00,199.318,,,,,,,,,,,,,,,,,,
66.77927482,1.10E+00,196.779,,,,,,,,,,,,,,,,,,
