Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) etnp-ja04-20170410,Area etnp-ja04-20170410,#Peptides,#Unique,#Spec etnp-ja04-20170410,PTM,Avg. Mass,Description
1,43595,NP_125m_PROKKA_07506,261.22,69,69,,119,0,173,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 6 more,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
1,43594,NP_85m_PROKKA_09702,261.22,69,69,,119,0,173,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 6 more,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,43596,ETNP14_68maa_PROKKA_144097,260.94,67,67,,118,0,172,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 6 more,39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,43597,ETNP14_68maa_PROKKA_78515,258.75,66,66,,109,0,160,Carbamidomethylation; Oxidation (M); Dethiomethyl; Formylation; Dihydroxy; 4 more,39870,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,43593,NP_300m_PROKKA_22657,255.98,72,72,9.6E5,115,4,165,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 4 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
3,43592,NP_85m_PROKKA_14278,255.98,72,72,9.6E5,115,4,165,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 4 more,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,25413,ETNP14_68maa_PROKKA_58668,254.60,63,63,,105,0,153,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 4 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,25412,ETNP14_120maa_PROKKA_54071,254.60,63,63,,105,0,153,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Dethiomethyl; Formylation; 4 more,39447,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,43616,NP_85m_PROKKA_10653,250.59,62,62,,88,0,132,Carbamidomethylation; Oxidation (M); Formylation; Sodium adduct; Pyro-glu from Q; Mutation,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
12,43615,NP_125m_PROKKA_02672,250.59,62,62,,88,0,132,Carbamidomethylation; Oxidation (M); Formylation; Sodium adduct; Pyro-glu from Q; Mutation,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
