Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 378,Area 378,#Peptides,#Unique,#Spec 378,PTM,Avg. Mass,Description
1,2,54036848,218.76,11,11,1.71E8,15,10,61,Deamidation (NQ); Sodium adduct; Dehydration; Phosphorylation (STY); Dihydroxy; 8 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,1,|#CONTAM#TRYP_PIG|,146.63,32,32,3.61E8,8,8,18,Carbamidomethylation; Sodium adduct; Dehydration; Dimethylation(KR); Ethylation,24409,sp|#CONTAM#TRYP_PIG|
2,19,XP_003061104,127.48,21,21,3.91E7,21,9,28,Methylation(others); Oxidation or Hydroxylation; Amidination of lysines or N-terminal amines with methyl acetimidate,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
5,1460,WP_011469025.1,88.88,3,3,2.94E5,6,1,16,Deamidation (NQ); Sodium adduct; Phosphorylation (STY); Dihydroxy; Dimethylation of proline residue; 2 more,97457,ATP-dependent chaperone ClpB [Saccharophagus degradans]
4,1338,WP_012180368.1,87.10,3,3,2.02E5,6,1,16,Deamidation (NQ); Sodium adduct; Phosphorylation (STY); Dihydroxy; Dimethylation of proline residue; 2 more,93872,ATP-dependent chaperone ClpB [Salinispora arenicola]
6,587,ETNP14_120,84.30,8,8,9.37E5,7,2,10,Carbamidomethylation,42383,Bacterial actin-related protein
11,1808,ETNP14_120,80.13,5,5,4.07E6,4,4,5,Carbamidomethylation; Dehydration; Pyro-glu from Q,46954,Enolase
8,292,ETNP_70,78.25,15,15,8.69E5,9,3,10,Methylation(others); Sulphone,41848,Bacterial actin-related protein
9,1327,WP_007278549,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),35265,glyceraldehyde-3-phosphate dehydrogenase Lentisphaera araneosa
9,1313,ACL73965.1,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),35721,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [Thioalkalivibrio sulfidiphilus HL-EbGr7]
9,1363,NP_85,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36205,Glyceraldehyde-3-phosphate dehydrogenase A
9,1359,ETNP_140,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36205,Glyceraldehyde-3-phosphate dehydrogenase A
9,1361,ETNP14_120,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36219,Glyceraldehyde-3-phosphate dehydrogenase A
9,1364,NP_125,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36218,Glyceraldehyde-3-phosphate dehydrogenase A
9,1360,ETNP_120,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36205,Glyceraldehyde-3-phosphate dehydrogenase A
9,1362,NP_300,73.90,9,9,1.87E6,4,3,5,Propionamide (K  X@N-term),36219,Glyceraldehyde-3-phosphate dehydrogenase A
10,17,XP_003080933,70.94,12,12,2.35E6,6,5,6,Phosphorylation (HCDR),52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
7,187,ETNP_90,69.18,11,11,1.46E6,8,2,11,Oxidation (M),33070,Bacterial actin-related protein
13,77,XP_002180656,64.86,7,7,1.22E5,3,1,3,Phosphorylation (STY); Ammonia-loss (N),49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
12,722,XP_003056674,56.00,4,4,2.36E5,3,2,3,Mutation,60236,ATP synthase  Micromonas pusilla CCMP1545
47,1902,XP_003057685,51.85,6,6,1.51E5,1,1,1,,25825,predicted protein  Micromonas pusilla CCMP1545
47,1933,XP_003078664,51.85,11,11,1.51E5,1,1,1,,13574,Putative 40S ribosomal protein; contains C-terminal domain ISS  Ostreococcus tauri
19,165590,ETNP_70,48.14,6,6,2.42E6,2,2,2,,17889,hypothetical protein
18,779,XP_002181593,47.39,5,5,1.38E6,2,2,2,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
18,780,XP_002186303,47.39,5,5,1.38E6,2,2,2,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
16,165573,XP_002182587,46.28,8,8,1.77E6,4,3,4,,35418,glyceraldehyde-3-phosphate dehydrogenase  Phaeodactylum tricornutum CCAP 1055
16,165574,XP_002182590,46.28,8,8,1.77E6,4,3,4,,35418,glyceraldehyde-3-phosphate dehydrogenase  Phaeodactylum tricornutum CCAP 1055
31,165570,ABI75732.1,44.40,3,3,2.7E5,2,2,2,,62230,putative DNA repair protein RecN [Hyphomonas neptunium ATCC 15444]
48,165572,XP_003080534,43.96,1,1,2.23E5,1,1,1,,127722,chloroplast inner envelope protein-related ISS  Ostreococcus tauri
48,165575,virus_CCADEAMM_42063,43.96,3,3,2.23E5,1,1,1,,32858,hypothetical protein
15,420,WP_009605543,42.50,6,6,1.19E6,3,3,3,,50653,F0F1 ATP synthase subunit beta SAR116 cluster alpha proteobacterium HIMB100
15,510,WP_013750419.1,42.50,6,6,1.19E6,3,3,3,,53933,ATP synthase subunit beta [Dokdonia sp. 4H-3-7-5]
15,165581,WP_008255787,42.50,6,6,1.19E6,3,3,3,,54129,F0F1 ATP synthase subunit beta Flavobacteria bacterium BAL38
15,165591,ETNP14_120,37.23,4,4,3.04E5,2,2,2,,50467,ATP synthase subunit beta
25,5843,ETNP_90,39.45,11,11,1.37E5,2,2,2,Mutation,20166,Alpha/beta hydrolase family protein
25,5844,NP_85,39.45,9,9,1.37E5,2,2,2,Mutation,23565,Alpha/beta hydrolase family protein
25,5846,ETNP14_68,39.45,8,8,1.37E5,2,2,2,Mutation,27072,Alpha/beta hydrolase family protein
25,5848,ETNP_100,39.45,8,8,1.37E5,2,2,2,Mutation,27072,Alpha/beta hydrolase family protein
25,5847,ETNP_120,39.45,8,8,1.37E5,2,2,2,Mutation,27101,Alpha/beta hydrolase family protein
26,432,XP_003074279,39.28,6,6,1.12E6,3,3,3,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
26,529,XP_003056479,34.36,4,4,7.34E5,2,2,2,,49615,beta tubulin  Micromonas pusilla CCMP1545
81,165577,NP_100,38.99,4,4,1.34E6,1,1,1,,26093,hypothetical protein
81,165578,ETNP_110,38.99,4,4,1.34E6,1,1,1,,26044,hypothetical protein
