Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
5,363,WP_042850333,162.77,36,20,20,,52814,glutamine synthetase Prochlorococcus sp MIT 0604
9,499,WP_002807869,162.23,79,16,5,,10586,carbon dioxide-concentrating mechanism protein CcmK Prochlorococcus
9,500,NP_30m_PROKKA_04690,162.23,79,16,5,,10586,Major carboxysome shell protein 1A
8,306,ETNP_90m_PROKKA_129379,160.05,79,16,5,,10571,Major carboxysome shell protein 1A
8,308,ETNP14_68maa_PROKKA_192080,160.05,79,16,5,,10571,Major carboxysome shell protein 1A
15,2240,ETNP_70m_PROKKA_142252,156.61,23,14,3,,41848,Bacterial actin-related protein
7,661,XP_003061104,144.41,31,21,1,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
2,261,XP_003056479,140.33,33,23,2,,49615,beta tubulin  Micromonas pusilla CCMP1545
25,577,WP_011128866,138.87,30,8,6,,18085,C-phycoerythrin class 2 subunit beta Synechococcus
3,244,XP_003062500,138.19,26,21,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
3,245,XP_003058621,138.19,26,21,1,,49730,alpha tubulin  Micromonas pusilla CCMP1545
1,129,ETNP_120m_PROKKA_318382,138.12,35,20,2,,34262,hypothetical protein
4,257,XP_003080933,132.49,22,21,1,,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
6,241,XP_003082284,132.47,24,21,1,,50099,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
30,1906,ETNP_100m_particle_PROKKA_55047,127.53,15,7,7,,9588,hypothetical protein
13,557,ETNP_100m_particle_PROKKA_140022,125.88,52,12,1,,11381,Core histone H2A/H2B/H3/H4
16,1677,ETNP_90m_PROKKA_166636,124.85,37,16,4,,33070,Bacterial actin-related protein
10,431,XP_003074279,122.52,23,18,0,,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
34,85272,WP_025935256,120.73,16,6,6,,38768,dihydroorotate oxidase Prochlorococcus
12,520,XP_003063038,120.08,52,12,1,,11395,predicted protein  Micromonas pusilla CCMP1545
12,521,ETNP_90m_PROKKA_109358,120.08,52,12,1,,11367,Core histone H2A/H2B/H3/H4
12,522,ETNP_70m_PROKKA_144910,120.08,52,12,1,,11395,Core histone H2A/H2B/H3/H4
12,516,ETNP_70m_PROKKA_132488,120.08,52,12,1,,11367,Core histone H2A/H2B/H3/H4
12,523,XP_003061514,120.08,52,12,1,,11395,histone H4  Micromonas pusilla CCMP1545
12,517,ETNP_120m_particle_PROKKA_44959,120.08,52,12,1,,11365,Core histone H2A/H2B/H3/H4
12,518,ETNP14_68mB_PROKKA_59955,120.08,52,12,1,,11367,Core histone H2A/H2B/H3/H4
12,519,XP_003061756,120.08,52,12,1,,11395,predicted protein  Micromonas pusilla CCMP1545
12,524,XP_003059520,120.08,52,12,1,,11395,predicted protein  Micromonas pusilla CCMP1545
12,541,XP_003074685,120.08,19,12,1,,31136,Histone H4 ISS  Ostreococcus tauri
20,2074,XP_002180656,119.41,15,12,5,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
36,1880,WP_011128867,119.31,30,8,8,,17729,C-phycoerythrin class 2 subunit alpha Synechococcus
14,811,XP_002179286,115.34,52,11,1,,11383,histone H4 isoform 1b  Phaeodactylum tricornutum CCAP 1055
14,813,EJK69577,115.34,52,11,1,,11383,hypothetical protein THAOC_09145  Thalassiosira oceanica
14,812,XP_002179505,115.34,52,11,1,,11383,histone H4 isoform 1a  Phaeodactylum tricornutum CCAP 1055
14,814,EJK72475,115.34,46,11,1,,13036,hypothetical protein THAOC_05990  Thalassiosira oceanica
14,820,EJK63755,115.34,14,11,1,,39773,hypothetical protein THAOC_15573 partial  Thalassiosira oceanica
18,2080,XP_002183424,114.03,19,12,1,,41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
18,2081,XP_002183295,114.03,19,12,1,,41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
18,2082,XP_002182221,114.03,19,12,1,,41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
11,474,ETNP_100m_particle_PROKKA_82300,113.45,67,15,6,,14624,Tubulin/FtsZ family  GTPase domain
21,1669,XP_003061754,112.85,19,9,9,,15356,histone H3  Micromonas pusilla CCMP1545
21,1670,XP_003059221,112.85,19,9,9,,15356,predicted protein  Micromonas pusilla CCMP1545
21,1668,XP_003061708,112.85,19,9,9,,15356,predicted protein  Micromonas pusilla CCMP1545
21,1672,XP_003082036,112.85,16,9,9,,18865,Histones H3 and H4 ISS  Ostreococcus tauri
21,1674,ETNP_100m_particle_PROKKA_140021,112.85,14,9,9,,21085,Core histone H2A/H2B/H3/H4
21,1667,XP_003057560,112.85,19,9,9,,15436,histone H3  Micromonas pusilla CCMP1545
21,1675,XP_003079482,112.85,12,9,9,,23974,Histones H3 and H4 ISS  Ostreococcus tauri
19,1612,ETNP_100m_particle_PROKKA_00069,112.69,70,10,10,,5311,hypothetical protein
31,294,ETNP14_68maa_PROKKA_10583,111.98,16,10,1,,50892,Major capsid protein Gp23
31,295,ETNP14_68maa_PROKKA_178249,111.98,16,10,1,,50869,Major capsid protein Gp23
32,57386,ETNP_120m_particle_PROKKA_72900,111.39,14,9,0,,50373,Major capsid protein Gp23
35,653,AIR93447.1,108.26,14,9,0,,51131,putative precursor of major head subunit [Prochlorococcus phage P-TIM68]
35,654,YP_009213621.1,108.26,14,9,0,,51131,putative precursor of major head subunit [Prochlorococcus phage P-TIM68]
26,2934,ETNP_70m_PROKKA_120394,104.10,29,6,1,,13742,Core histone H2A/H2B/H3/H4
26,2935,XP_003080759,104.10,28,6,1,,13731,histone H2B ISS  Ostreococcus tauri
26,2937,XP_003082252,104.10,25,6,1,,15314,histone H2B ISS  Ostreococcus tauri
26,2938,ETNP_70m_PROKKA_54543,104.10,23,6,1,,16840,Core histone H2A/H2B/H3/H4
26,2931,XP_003062035,104.10,30,6,1,,12701,predicted protein  Micromonas pusilla CCMP1545
26,2932,XP_003058519,104.10,30,6,1,,12701,predicted protein  Micromonas pusilla CCMP1545
26,2933,XP_003055512,104.10,30,6,1,,12701,histone H2B  Micromonas pusilla CCMP1545
17,1379,ETNP_100m_particle_PROKKA_11753,103.49,33,11,1,,20304,hypothetical protein
42,982,AGH07461.1,101.26,13,8,0,,50091,hypothetical protein CYVG_00017 [Cyanophage S-SSM6a]
24,99924,XP_002185730,100.97,12,8,3,,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
81,1828,YP_007673882.1,100.21,9,3,1,,40191,photosystem II reaction center D2 [Prochlorococcus phage MED4-213]
81,1829,AGH26237.1,100.21,9,3,1,,40191,photosystem II reaction center D2 [Prochlorococcus phage MED4-213]
81,1826,YP_004323582.1,100.21,9,3,1,,40173,photosystem II D2 protein [Prochlorococcus phage P-HM2]
81,1827,ADO99991.1,100.21,9,3,1,,40173,photosystem II D2 protein [Prochlorococcus phage P-HM2]
81,1831,YP_009213745.1,100.21,9,3,1,,40145,photosystem II D2 protein [Prochlorococcus phage P-TIM68]
81,1832,AIR93570.1,100.21,9,3,1,,40145,photosystem II D2 protein [Prochlorococcus phage P-TIM68]
81,1823,ETNP14_68mB_PROKKA_139370,100.21,30,3,1,,12288,Photosystem II D2 protein
81,57425,ETNP_70m_PROKKA_05760,100.21,23,3,1,,15957,Photosystem II D2 protein
81,1824,ETNP14_68maa_PROKKA_132678,100.21,20,3,1,,18221,Photosystem II D2 protein
