# MetaGOmics taxonomy report
# MetaGOmics version: 0.1.1
# Run date: Mon Sep 03 22:35:27 PDT 2018
GO acc	GO aspect	GO name	taxon name	NCBI taxonomy id	taxonomy rank	PSM count	ratio of GO	ratio of run
unknownfun	molecular_function	unknown molecular function	Rhizobium leguminosarum	384	species	9	0.08181818181818182	0.06521739130434782
unknownfun	molecular_function	unknown molecular function	root	1	no rank	14	0.12727272727272726	0.10144927536231885
unknownfun	molecular_function	unknown molecular function	Bacteria	2	superkingdom	14	0.12727272727272726	0.10144927536231885
unknownfun	molecular_function	unknown molecular function	Rhizobiaceae	82115	family	9	0.08181818181818182	0.06521739130434782
unknownfun	molecular_function	unknown molecular function	Rhizobiales	356	order	9	0.08181818181818182	0.06521739130434782
unknownfun	molecular_function	unknown molecular function	Rhodobacter	1060	genus	3	0.02727272727272727	0.021739130434782608
unknownfun	molecular_function	unknown molecular function	Rhodobacterales	204455	order	3	0.02727272727272727	0.021739130434782608
unknownfun	molecular_function	unknown molecular function	Rhodobacter capsulatus	1061	species	3	0.02727272727272727	0.021739130434782608
unknownfun	molecular_function	unknown molecular function	Proteobacteria	1224	phylum	14	0.12727272727272726	0.10144927536231885
unknownfun	molecular_function	unknown molecular function	Rhodobacter capsulatus SB 1003	272942	no rank	3	0.02727272727272727	0.021739130434782608
unknownfun	molecular_function	unknown molecular function	Alphaproteobacteria	28211	class	14	0.12727272727272726	0.10144927536231885
unknownfun	molecular_function	unknown molecular function	Rhodobacteraceae	31989	family	3	0.02727272727272727	0.021739130434782608
unknownfun	molecular_function	unknown molecular function	Rhizobium leguminosarum bv. viciae 3841	216596	no rank	9	0.08181818181818182	0.06521739130434782
unknownfun	molecular_function	unknown molecular function	Rhizobium	379	genus	9	0.08181818181818182	0.06521739130434782
GO:0009735	biological_process	response to cytokinin	root	1	no rank	15	1.0	0.10869565217391304
GO:0015630	cellular_component	microtubule cytoskeleton	root	1	no rank	3	1.0	0.021739130434782608
GO:0015630	cellular_component	microtubule cytoskeleton	Eukaryota	2759	superkingdom	3	1.0	0.021739130434782608
GO:0032403	molecular_function	protein complex binding	root	1	no rank	1	1.0	0.007246376811594203
GO:0032403	molecular_function	protein complex binding	Eukaryota	2759	superkingdom	1	1.0	0.007246376811594203
GO:0009741	biological_process	response to brassinosteroid	root	1	no rank	1	1.0	0.007246376811594203
GO:0009741	biological_process	response to brassinosteroid	Eukaryota	2759	superkingdom	1	1.0	0.007246376811594203
GO:0048311	biological_process	mitochondrion distribution	root	1	no rank	3	1.0	0.021739130434782608
GO:0048311	biological_process	mitochondrion distribution	Eukaryota	2759	superkingdom	3	1.0	0.021739130434782608
GO:0048312	biological_process	intracellular distribution of mitochondria	root	1	no rank	1	1.0	0.007246376811594203
GO:0048312	biological_process	intracellular distribution of mitochondria	Eukaryota	2759	superkingdom	1	1.0	0.007246376811594203
GO:0048315	biological_process	conidium formation	root	1	no rank	1	1.0	0.007246376811594203
GO:0048315	biological_process	conidium formation	Eukaryota	2759	superkingdom	1	1.0	0.007246376811594203
GO:0002576	biological_process	platelet degranulation	root	1	no rank	2	1.0	0.014492753623188406
GO:0002576	biological_process	platelet degranulation	Eukaryota	2759	superkingdom	2	1.0	0.014492753623188406
GO:0051604	biological_process	protein maturation	root	1	no rank	15	1.0	0.10869565217391304
