Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
2,182,ETNP_100m_particle_PROKKA_10535,119.78,25,11,3,,30242,hypothetical protein
2,129,ETNP_120m_PROKKA_318382,119.78,22,11,3,,34262,hypothetical protein
12,1612,ETNP_100m_particle_PROKKA_00069,111.04,55,5,5,,5311,hypothetical protein
7,1906,ETNP_100m_particle_PROKKA_55047,110.06,26,7,7,,9588,hypothetical protein
3,557,ETNP_100m_particle_PROKKA_140022,106.76,48,9,9,,11381,Core histone H2A/H2B/H3/H4
4,261,XP_003056479,102.56,13,9,0,,49615,beta tubulin  Micromonas pusilla CCMP1545
18,304,WP_006169870,95.73,44,5,5,,10584,carbon dioxide-concentrating mechanism protein CcmK Cyanobacteria
18,306,ETNP_90m_PROKKA_129379,95.73,44,5,5,,10571,Major carboxysome shell protein 1A
18,308,ETNP14_68maa_PROKKA_192080,95.73,44,5,5,,10571,Major carboxysome shell protein 1A
18,307,WP_011130577,95.73,44,5,5,,10557,carbon dioxide-concentrating mechanism protein CcmK Prochlorococcus
14,474,ETNP_100m_particle_PROKKA_82300,95.63,26,4,1,,14624,Tubulin/FtsZ family  GTPase domain
5,2932,XP_003058519,92.55,31,5,0,,12701,predicted protein  Micromonas pusilla CCMP1545
5,2931,XP_003062035,92.55,31,5,0,,12701,predicted protein  Micromonas pusilla CCMP1545
5,2933,XP_003055512,92.55,31,5,0,,12701,histone H2B  Micromonas pusilla CCMP1545
5,2934,ETNP_70m_PROKKA_120394,92.55,30,5,0,,13742,Core histone H2A/H2B/H3/H4
5,2935,XP_003080759,92.55,29,5,0,,13731,histone H2B ISS  Ostreococcus tauri
5,2937,XP_003082252,92.55,26,5,0,,15314,histone H2B ISS  Ostreococcus tauri
5,2938,ETNP_70m_PROKKA_54543,92.55,24,5,0,,16840,Core histone H2A/H2B/H3/H4
6,2916,ETNP_70m_PROKKA_90241,91.43,30,5,1,,13147,Core histone H2A/H2B/H3/H4
6,2915,ETNP_90m_PROKKA_183406,91.43,30,5,1,,13120,Core histone H2A/H2B/H3/H4
10,661,XP_003061104,90.84,11,6,6,,41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
8,431,XP_003074279,87.39,10,7,0,,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
11,244,XP_003062500,85.40,12,7,2,,49730,alpha tubulin  Micromonas pusilla CCMP1545
11,245,XP_003058621,85.40,12,7,2,,49730,alpha tubulin  Micromonas pusilla CCMP1545
22,2074,XP_002180656,82.93,7,4,1,,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
26,577,WP_011128866,82.54,24,3,2,,18085,C-phycoerythrin class 2 subunit beta Synechococcus
13,1853,ETNP_70m_PROKKA_134596,79.77,9,5,5,,53644,Ribulose bisphosphate carboxylase large chain
13,1852,ETNP_60m_PROKKA_34876,79.77,9,5,5,,53644,Ribulose bisphosphate carboxylase large chain
9,1712,ETNP_100m_particle_PROKKA_07518,77.93,51,5,2,,7412,Core histone H2A/H2B/H3/H4
23,943,ETNP_100m_particle_PROKKA_145656,73.43,19,4,0,,17714,hypothetical protein
19,85315,XP_002179551,72.10,28,4,2,,12629,histone H2B isoform 1a  Phaeodactylum tricornutum CCAP 1055
19,85316,XP_002179210,72.10,28,4,2,,12629,histone H2B isoform 1b  Phaeodactylum tricornutum CCAP 1055
19,85317,EJK69581,72.10,28,4,2,,12922,hypothetical protein THAOC_09149  Thalassiosira oceanica
19,85318,EJK60528,72.10,28,4,2,,12922,hypothetical protein THAOC_19091  Thalassiosira oceanica
19,85319,EJK52561,72.10,28,4,2,,12922,hypothetical protein THAOC_28149  Thalassiosira oceanica
19,85314,EJK74337,72.10,20,4,2,,17560,hypothetical protein THAOC_03988  Thalassiosira oceanica
19,85322,EJK52043,72.10,13,4,2,,27028,hypothetical protein THAOC_28729 partial  Thalassiosira oceanica
19,85323,EJK62506,72.10,11,4,2,,32474,hypothetical protein THAOC_16881  Thalassiosira oceanica
15,27433,ETNP_70m_PROKKA_20132,68.67,16,4,1,,19618,Core histone H2A/H2B/H3/H4
16,27422,ETNP_70m_PROKKA_64991,68.22,23,4,1,,13534,Core histone H2A/H2B/H3/H4
21,1670,XP_003059221,65.23,18,3,2,,15356,predicted protein  Micromonas pusilla CCMP1545
21,1669,XP_003061754,65.23,18,3,2,,15356,histone H3  Micromonas pusilla CCMP1545
21,1667,XP_003057560,65.23,18,3,2,,15436,histone H3  Micromonas pusilla CCMP1545
21,1668,XP_003061708,65.23,18,3,2,,15356,predicted protein  Micromonas pusilla CCMP1545
21,1672,XP_003082036,65.23,14,3,2,,18865,Histones H3 and H4 ISS  Ostreococcus tauri
21,1674,ETNP_100m_particle_PROKKA_140021,65.23,13,3,2,,21085,Core histone H2A/H2B/H3/H4
21,1675,XP_003079482,65.23,11,3,2,,23974,Histones H3 and H4 ISS  Ostreococcus tauri
47,99498,ETNP_70m_PROKKA_139337,60.80,29,2,1,,6361,hypothetical protein
47,99499,ETNP_120m_PROKKA_206053,60.80,8,2,1,,23591,Core histone H2A/H2B/H3/H4
47,86724,ETNP_120m_free_PROKKA_147607,60.80,8,2,1,,23591,Core histone H2A/H2B/H3/H4
47,86725,ETNP_120m_particle_PROKKA_10426,60.80,8,2,1,,23591,Core histone H2A/H2B/H3/H4
50,2240,ETNP_70m_PROKKA_142252,60.17,4,1,1,,41848,Bacterial actin-related protein
35,1618,WP_011823058,58.13,16,2,1,,13260,50S ribosomal protein L7L12 Prochlorococcus
32,543,WP_011293945,57.81,16,2,2,,12354,transcriptional regulator Prochlorococcus
32,542,ETNP_60m_PROKKA_04448,57.81,16,2,2,,12354,hypothetical protein
33,365,WP_006169762,53.99,16,2,1,,13004,50S ribosomal protein L7L12 Synechococcus
33,1619,WP_011129193,53.99,16,2,1,,13280,50S ribosomal protein L7L12 Synechococcus
33,1620,WP_038547285,53.99,16,2,1,,13267,50S ribosomal protein L7L12 Synechococcus sp KORDI-100
48,139,ETNP_100m_particle_PROKKA_112481,53.58,8,2,1,,19139,C-phycoerythrin class 1 subunit beta
48,140,ETNP_120m_PROKKA_239033,53.58,8,2,1,,19139,C-phycoerythrin class 1 subunit beta
48,138,ETNP_120m_free_PROKKA_147966,53.58,8,2,1,,19139,C-phycoerythrin class 1 subunit beta
48,508,WP_028953685,53.58,8,2,1,,19143,bleomycin hydrolase Synechococcus
49,2723,ETNP_120m_particle_PROKKA_209581,53.12,18,2,0,,14995,hypothetical protein
49,2724,ETNP_120m_particle_PROKKA_30032,53.12,17,2,0,,15516,hypothetical protein
25,970,WP_011128875,46.02,8,2,0,,19147,bleomycin hydrolase Synechococcus
84,2169,EJK44533,44.13,3,1,1,,47126,hypothetical protein THAOC_36915  Thalassiosira oceanica
84,3229,XP_002181593,44.13,3,1,1,,48056,predicted protein  Phaeodactylum tricornutum CCAP 1055
84,3230,XP_002186303,44.13,3,1,1,,48082,translation elongation factor EF-1 alpha subunit  Phaeodactylum tricornutum CCAP 1055
85,166901,ETNP_120m_PROKKA_294605,43.17,7,1,1,,16829,hypothetical protein
34,166894,XP_002179501,43.05,10,2,1,,15312,histone H3 isoform 1a  Phaeodactylum tricornutum CCAP 1055
34,166895,XP_002179289,43.05,10,2,1,,15312,histone H3 isoform 1b  Phaeodactylum tricornutum CCAP 1055
34,166896,EJK62504,43.05,10,2,1,,15312,hypothetical protein THAOC_16879  Thalassiosira oceanica
34,166897,XP_002177514,43.05,10,2,1,,15312,histone H3 isoform 1c  Phaeodactylum tricornutum CCAP 1055
34,166898,EJK60530,43.05,8,2,1,,18999,hypothetical protein THAOC_19093  Thalassiosira oceanica
34,166899,EJK54772,43.05,6,2,1,,24071,hypothetical protein THAOC_25571  Thalassiosira oceanica
27,1634,ETNP_70m_PROKKA_97513,41.93,8,2,1,,19186,R-phycoerythrin subunit beta
147,1673,WP_011128874,40.95,6,1,1,,17817,bleomycin hydrolase Synechococcus
52,1880,WP_011128867,39.98,9,2,2,,17729,C-phycoerythrin class 2 subunit alpha Synechococcus
86,166902,ETNP_120m_particle_PROKKA_101843,39.92,11,1,1,,12507,Chlorophyll A-B binding protein
41,1593,NP_100m_PROKKA_07753,37.56,3,2,1,,55375,ATP synthase subunit alpha
41,1598,NP_100m_PROKKA_09000,37.56,3,2,1,,56093,ATP synthase subunit alpha
28,99505,ETNP_120m_free_PROKKA_133039,37.17,3,1,1,,30958,Alpha-ketoglutarate-dependent taurine dioxygenase
73,662,ETNP14_68maa_PROKKA_191579,36.77,3,1,1,,44777,ATP synthase subunit beta
36,166900,NP_300m_PROKKA_13029,34.64,2,2,2,,99214,Aldehyde oxidoreductase
40,4638,ADB27517,33.91,2,1,1,,51909,photosystem II CP43 chlorophyll apoprotein chloroplast  Thalassiosira oceanica CCMP1005
40,152576,NP_85m_PROKKA_10104,33.91,10,1,1,,8583,Photosystem II 44 kDa reaction center protein
40,152577,ETNP_140m_PROKKA_46149,33.91,10,1,1,,8581,Photosystem II 44 kDa reaction center protein
40,877,ETNP_90m_PROKKA_124006,33.91,7,1,1,,12349,Photosystem II 44 kDa reaction center protein
40,1460,ETNP_100m_PROKKA_28369,33.91,6,1,1,,14777,Photosystem II 44 kDa reaction center protein
40,382,ETNP_120m_particle_PROKKA_151164,33.91,6,1,1,,15917,Photosystem II 44 kDa reaction center protein
40,660,ETNP_70m_PROKKA_51688,33.91,6,1,1,,15870,Photosystem II 44 kDa reaction center protein
40,2384,ETNP_60m_PROKKA_20513,33.91,4,1,1,,20586,Photosystem II 44 kDa reaction center protein
40,246,ETNP_100m_particle_PROKKA_21548,33.91,4,1,1,,22693,Photosystem II 44 kDa reaction center protein
40,250,ETNP_100m_PROKKA_93369,33.91,4,1,1,,23767,Photosystem II 44 kDa reaction center protein
40,988,ETNP_120m_particle_PROKKA_74362,33.91,3,1,1,,27086,Photosystem II 44 kDa reaction center protein
40,901,ETNP_120m_free_PROKKA_35266,33.91,3,1,1,,34936,Photosystem II 44 kDa reaction center protein
40,4636,EJK54215,33.91,2,1,1,,45605,hypothetical protein THAOC_26185  Thalassiosira oceanica
40,4637,EJK52339,33.91,2,1,1,,45605,hypothetical protein THAOC_28386  Thalassiosira oceanica
40,167,ETNP_160m_PROKKA_80027,33.91,2,1,1,,45882,Photosystem II 44 kDa reaction center protein
40,470,WP_006171776,33.91,2,1,1,,49866,photosystem II reaction center protein Synechococcus sp WH 5701
40,152534,ETNP_60m_PROKKA_23721,33.91,2,1,1,,50239,Photosystem II 44 kDa reaction center protein
40,152535,ETNP_70m_PROKKA_100373,33.91,2,1,1,,50239,Photosystem II 44 kDa reaction center protein
40,321,WP_011824174,33.91,2,1,1,,50493,photosystem II reaction center protein Prochlorococcus
40,322,WP_011818757,33.91,2,1,1,,50499,photosystem II reaction center protein Prochlorococcus
40,2414,ETNP14_68maa_PROKKA_144152,33.91,2,1,1,,50539,Photosystem II 44 kDa reaction center protein
40,2415,YP_717204.2,33.91,2,1,1,,50603,PsbC chloroplast  Ostreococcus tauri
40,642,ETNP_120m_PROKKA_226400,33.91,2,1,1,,50697,Photosystem II 44 kDa reaction center protein
40,471,WP_011127543,33.91,2,1,1,,50591,photosystem II reaction center protein Synechococcus
40,472,WP_038546000,33.91,2,1,1,,50721,photosystem II reaction center protein Synechococcus sp KORDI-100
40,643,ETNP_100m_particle_PROKKA_19111,33.91,2,1,1,,50697,Photosystem II 44 kDa reaction center protein
148,99500,ETNP_70m_PROKKA_134597,33.89,9,1,1,,15788,Ribulose bisphosphate carboxylase small chain  chromosomal
148,99501,ETNP_60m_PROKKA_34877,33.89,9,1,1,,15788,Ribulose bisphosphate carboxylase small chain  chromosomal
149,166905,ETNP14_68mB_PROKKA_98835,33.78,17,1,1,,4348,hypothetical protein
51,1625,NP_300m_PROKKA_03667,33.21,3,2,1,,55558,ATP synthase subunit alpha
150,166928,ETNP_120m_particle_PROKKA_240857,32.30,2,1,1,,36302,enterobactin exporter EntS
88,1211,ETNP14_68mB_PROKKA_01574,31.25,9,1,1,,12294,Photosystem II D2 protein
88,166910,ETNP_70m_PROKKA_01185,31.25,6,1,1,,17255,Photosystem II D2 protein
88,166911,ETNP_150m_particle_PROKKA_43283,31.25,4,1,1,,25598,Photosystem II D2 protein
88,166912,ETNP_120m_free_PROKKA_148995,31.25,4,1,1,,25598,Photosystem II D2 protein
88,166913,ETNP_60m_PROKKA_20510,31.25,3,1,1,,39386,Photosystem II D2 protein
88,166914,ETNP_120m_particle_PROKKA_154513,31.25,3,1,1,,39373,Photosystem II D2 protein
88,166915,ETNP_70m_PROKKA_48869,31.25,3,1,1,,39386,Photosystem II D2 protein
88,166916,YP_717205,31.25,3,1,1,,39386,PsbD chloroplast  Ostreococcus tauri
88,1169,ETNP14_68maa_PROKKA_149938,31.25,3,1,1,,39359,Photosystem II D2 protein
88,166929,ETNP_60m_PROKKA_13106,31.25,3,1,1,,36713,Photosystem II D2 protein
89,166919,ETNP14_120mab_PROKKA_20212,30.94,3,1,1,,28311,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
89,166930,ETNP_90m_PROKKA_202913,30.94,17,1,1,,4679,hypothetical protein
89,166931,WP_038651132,30.94,12,1,1,,6904,photosystem II reaction center protein H Prochlorococcus sp MIT 0801
89,166932,ETNP14_68maa_PROKKA_164394,30.94,12,1,1,,7023,Photosystem II reaction center protein H
89,166933,WP_002805661,30.94,12,1,1,,6952,photosystem II reaction center protein H Prochlorococcus
89,166934,ETNP_100m_PROKKA_74387,30.94,8,1,1,,10825,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
89,166935,ETNP14_120maa_PROKKA_192820,30.94,6,1,1,,14027,hypothetical protein
89,166936,ETNP14_120mab_PROKKA_69829,30.94,6,1,1,,14366,hypothetical protein
