,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,739,57,256,22,0,105,93,71,135
55-60,681,50,226,35,5,76,88,98,103
60-65,458,48,153,18,1,48,68,53,69
65-70,453,19,160,10,0,49,78,55,82
70-75,235,14,76,17,1,26,37,22,42
75-80,212,19,72,16,2,27,27,21,28
80-85,138,4,48,14,4,9,28,9,22
85-90,91,2,33,5,2,7,16,8,18
90-95,60,7,16,10,0,6,8,4,9
95-100,12,1,3,5,1,1,0,0,1
total,3079,221,1043,152,16,354,443,341,509
rel,1.79220023282887,0.128637951105937,0.607101280558789,0.088474970896391,0.009313154831199,0.206053550640279,0.257857974388824,0.19848661233993,0.29627473806752
