,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,4260,369,1544,190,4,458,632,417,646
55-60,3366,294,1270,162,3,336,535,287,479
60-65,2425,170,906,132,6,205,428,209,369
65-70,2159,168,785,141,3,165,394,186,317
70-75,1493,94,553,124,12,125,267,128,190
75-80,1010,58,362,107,14,88,183,62,136
80-85,649,38,236,86,6,48,123,32,80
85-90,392,31,132,56,5,22,68,29,49
90-95,122,18,28,34,6,4,16,6,10
95-100,0,0,0,0,0,0,0,0,0
total,15876,1240,5816,1032,59,1451,2646,1356,2276
rel,1.81918184943279,0.142087773576258,0.666437492838318,0.118253695427982,0.00676062793629,0.166265612467056,0.303196974905466,0.155379855620488,0.260799816660937
