,Total PTMs,Cys carb.,Met oxi.,Asp deam.,Glut deam.,Lys hydr,Pro hydr,Lys meth.,Arg meth.
50-55,4486,456,1671,199,3,418,713,411,615
55-60,4160,348,1559,241,7,402,703,349,551
60-65,3461,303,1288,200,8,300,588,280,494
65-70,2827,257,1021,170,6,212,525,241,395
70-75,2259,173,825,169,9,166,418,184,315
75-80,1639,135,589,160,8,123,296,120,208
80-85,996,74,334,121,17,66,194,63,127
85-90,627,47,192,97,8,30,113,46,94
90-95,194,27,49,51,1,9,22,6,29
95-100,24,3,6,5,1,0,4,0,5
total,20673,1823,7534,1413,68,1726,3576,1700,2833
rel,1.92396463471382,0.169660307119591,0.701163331782224,0.131503024662634,0.0063285248953,0.16063285248953,0.332805956258725,0.158213122382503,0.263657515123313
