Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) ETNP_NT02,Area ETNP_NT02,#Peptides,#Unique,#Spec ETNP_NT02,PTM,Avg. Mass,Description
1,58,gi|54036848,235.36,11,11,4.76E8,12,9,56,Deamidation (NQ); Dehydration; Sodium adduct; Replacement of 2 protons by nickel; Replacement of proton by potassium; 3 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
4,82,100mP_megahit_BKKBEGJO_23068,136.08,43,43,7.79E6,19,11,19,Oxidation (M),13793,hypothetical protein
4,83,70m_MEGAHIT_CJDMCFAD_68937,136.08,43,43,7.79E6,19,11,19,Oxidation (M),13858,hypothetical protein
6,291,100mP_megahit_BKKBEGJO_62241,121.02,36,36,9.83E5,11,3,11,,9588,hypothetical protein_ETNP_100m_particle_PROKKA_55047 hypothetical protein
3,6,70m_MEGAHIT_CJDMCFAD_72421,100.94,18,18,2.16E7,18,13,21,Oxidation or Hydroxylation; Mutation,43386,Bacterial actin-related protein
8,130,70m_MEGAHIT_CJDMCFAD_64580,92.54,35,35,1.97E6,7,7,7,,13498,hypothetical protein
5,1194,120mF_megahit_ILDJFKLB_102034,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96087,Chaperone protein ClpB
5,231673,100mP_megahit_BKKBEGJO_145073,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,95957,Chaperone protein ClpB_120m_megahit_CMKFGOPF_67309 Chaperone protein ClpB_ETNP_120m_PROKKA_74045 Chaperone protein ClpB
5,1353,120mP_megahit_HKJGLMBE_120900,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96281,Chaperone protein ClpB_ETNP_120m_particle_PROKKA_202762 Chaperone protein ClpB
5,231675,140m_megahit_KKMFCJLI_30947,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96315,Chaperone protein ClpB
5,1218,180m_megahit_DBICIOKE_96623,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96241,Chaperone protein ClpB
5,1217,160m_megahit_NHJEOBNC_270582,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96223,Chaperone protein ClpB_120mF_megahit_PEDPKPGI_160452 Chaperone protein ClpB
5,231676,NP_300m_PROKKA_06052,75.91,3,3,2.69E4,4,1,10,Deamidation (NQ); Sodium adduct,96223,Chaperone protein ClpB
7,530,100m_megahit_CLKLDGCM_82429,70.56,9,9,3.69E6,7,2,8,Carbamidomethylation,42356,Bacterial actin-related protein
7,529,ETNP14_120maa_PROKKA_78369,70.56,9,9,3.69E6,7,2,8,Carbamidomethylation,42383,Bacterial actin-related protein
