,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,42,2018-04-15 05:12:33,743844.2170486111,31.11723,153.3106,3960.6789999999996
1,[43],2018-04-15 15:06:02,743844.6291898148,26.619469999999993,166.33520000000001,4494.5380000000005
2,[44],2018-04-15 22:01:43,743844.9178587963,37.41611999999999,147.8594,4488.866
3,[45],2018-04-16 15:03:02,743846.6271064815,26.321679999999997,153.6094,3777.256
4,[46],2018-04-17 15:03:16,743848.6272685186,28.308089999999996,166.78460000000004,4828.2530000000015
5,[47],2018-04-17 21:04:08,743848.8778703704,32.00828,162.1821,4583.565999999999
6,[48],2018-04-18 15:03:03,743850.6271180556,30.841380000000004,212.51330000000002,7608.628999999999
7,[49],2018-04-18 22:05:25,743850.9204282408,20.93792,135.46929999999998,5038.272000000001
8,[50],2018-04-19 02:15:57,743852.0944097223,39.9007,179.59429999999998,5739.928
9,[51],2018-04-19 06:07:15,743852.2550347223,20.496329999999997,112.40449999999998,3447.476
10,[52],2018-04-19 12:06:26,743852.5044675926,28.52765,175.923,5151.912
11,[53],2018-04-19 14:16:53,743852.5950578704,31.63424,171.2763,5386.101999999999
12,[54],2018-04-19 18:05:49,743852.7540393518,27.3998,148.99099999999999,4356.096999999999
13,[55],2018-04-19 23:59:38,743852.9997453704,26.550159999999998,171.4968,5747.721000000001
14,[56],2018-04-20 06:06:48,743854.2547222222,23.13221,190.1284,6119.092999999999
15,[57],2018-04-20 11:01:56,743854.4596759259,18.20645,158.64,5694.884999999999
16,[58],2018-04-20 22:34:17,743854.9404745371,19.182389999999998,167.3002,6284.02
