Pressure [dbar],StartTime,timeS,scan,longitude,latitude,depSMignore,t090C,t190C,c0S/m,c1S/m,flSP,CStarAt0,CStarTr0,par,modError,v0,v1,v2,v3,v4,v5,v6,v7,sbeox0V,sal00,sal11,sigma-�00,sigma-�11,sbeox0Mg/L,sbox0Mm/Kg,sbeox0PS,flag
47.286,2018-04-19 23:59:38,288.616,6928.0,-106.9668,16.9775,47.0,23.9537,23.9684,5.141708,5.1432459999999995,0.16642,12.3742,4.5341,11.72,0.0,4.5341,0.0554,2.7892,0.0,4.5479,0.0,2.3656,0.0,2.7893,34.5582,34.5583,23.3235,23.3193,6.9512,212.27599999999998,100.58,False
48.292,2018-04-19 23:59:38,289.95099999999996,6960.0,-106.9668,16.9775,48.0,23.8969,23.896,5.134969,5.134715,0.16744,12.3742,4.5341,11.125,0.0,4.5341,0.0558,2.7838,0.0,4.5494,0.0,2.343,0.0,2.7839,34.551,34.5497,23.3348,23.3342,6.9461,212.12,100.404,False
49.299,2018-04-19 23:59:38,291.487,6997.0,-106.9668,16.977510000000002,49.0,23.732,23.744,5.1159349999999995,5.117334,0.17812,12.3737,4.5347,10.505999999999998,0.0,4.5347,0.0594,2.7809,0.0,4.5509,0.0,2.318,0.0,2.7809,34.5347,34.5359,23.371,23.3684,6.9559,212.41099999999997,100.25,False
50.305,2018-04-19 23:59:38,294.855,7078.0,-106.9668,16.977520000000002,50.0,23.5839,23.5956,5.099002,5.10048,0.19926,12.3755,4.5326,10.029,0.0,4.5326,0.0664,2.7695,0.0,4.5543,0.0,2.298,0.0,2.7696,34.5209,34.5231,23.404,23.4023,6.9247,211.452,99.537,False
51.31100000000001,2018-04-19 23:59:38,297.1,7131.0,-106.9668,16.977520000000002,51.0,23.0718,23.0806,5.039502,5.04015,0.21805,12.3773,4.5306,9.5376,0.0,4.5306,0.0727,2.736,0.0,4.5575,0.0,2.2761,0.0,2.736,34.466,34.4641,23.511,23.5069,6.864,209.575,97.755,False
52.317,2018-04-19 23:59:38,298.605,7168.0,-106.9668,16.977520000000002,52.0,22.7974,22.8026,5.007766,5.00812,0.23878000000000002,12.3805,4.527,8.9935,0.0,4.527,0.0796,2.7261,0.0,4.5596,0.0,2.2506,0.0,2.7261,34.4366,34.4353,23.5674,23.5649,6.9082,210.91400000000002,97.896,False
53.324,2018-04-19 23:59:38,301.996,7249.0,-106.9668,16.977520000000002,53.0,22.6838,22.6938,4.994927,4.995989,0.27362,12.3852,4.5216,8.457,0.0,4.5216,0.0912,2.7199,0.0,4.5634,0.0,2.224,0.0,2.72,34.4265,34.4268,23.5922,23.5896,6.8976,210.585,97.544,False
54.33,2018-04-19 23:59:38,304.447,7308.0,-106.9668,16.97754,54.0,22.4806,22.4769,4.971254,4.970504,0.27926999999999996,12.3872,4.5194,7.9853,0.0,4.5194,0.0931,2.6876,0.0,4.5668,0.0,2.199,0.0,2.6876,34.4026,34.3996,23.6317,23.6306,6.7516,206.118,95.124,False
55.336000000000006,2018-04-19 23:59:38,305.645,7336.0,-106.9668,16.97754,55.0,21.8974,21.8919,4.906033,4.905036,0.44317,12.399,4.5061,7.4533,0.0,4.5061,0.1477,2.6592,0.0,4.569,0.0,2.169,0.0,2.6592,34.3543,34.3508,23.7588,23.7577,6.7538,206.16,94.15,False
56.342,2018-04-19 23:59:38,307.52099999999996,7382.0,-106.9668,16.97754,56.0,21.6217,21.6576,4.875864,4.8793370000000005,0.68191,12.413,4.4904,6.9194,0.0,4.4904,0.2273,2.6331,0.0,4.5712,0.0,2.1367,0.0,2.6331,34.3355,34.3344,23.821,23.8103,6.7372,205.642,93.448,False
