Peptides,InterPro-entry,Name
15,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
8,IPR:IPR003593,AAA+ ATPase domain
7,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
7,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
5,IPR:IPR005467,Histidine kinase domain
5,IPR:IPR003661,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
5,IPR:IPR004358,"Signal transduction histidine kinase-related protein, C-terminal"
5,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
4,IPR:IPR036097,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily"
4,IPR:IPR035965,PAS domain superfamily
