Peptides,InterPro-entry,Name
49,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
17,IPR:IPR003593,AAA+ ATPase domain
14,IPR:IPR036291,NAD(P)-binding domain superfamily
9,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
8,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
7,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
7,IPR:IPR013785,Aldolase-type TIM barrel
7,IPR:IPR001650,"Helicase, C-terminal"
7,IPR:IPR014001,"Helicase superfamily 1/2, ATP-binding domain"
7,IPR:IPR013783,Immunoglobulin-like fold
