Peptides,InterPro-entry,Name
26,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
17,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
16,IPR:IPR013783,Immunoglobulin-like fold
12,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
12,IPR:IPR009057,Homeobox-like domain superfamily
12,IPR:IPR036291,NAD(P)-binding domain superfamily
11,IPR:IPR029058,Alpha/Beta hydrolase fold
11,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
11,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
10,IPR:IPR013785,Aldolase-type TIM barrel
