Peptides,InterPro-entry,Name
117,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
25,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
24,IPR:IPR036291,NAD(P)-binding domain superfamily
22,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
21,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
20,IPR:IPR003593,AAA+ ATPase domain
17,IPR:IPR036390,Winged helix DNA-binding domain superfamily
16,IPR:IPR011009,Protein kinase-like domain superfamily
16,IPR:IPR013783,Immunoglobulin-like fold
15,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
