Peptides,InterPro-entry,Name
200,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
43,IPR:IPR003593,AAA+ ATPase domain
40,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
38,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
34,IPR:IPR036291,NAD(P)-binding domain superfamily
33,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
31,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
30,IPR:IPR011009,Protein kinase-like domain superfamily
29,IPR:IPR036390,Winged helix DNA-binding domain superfamily
29,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
