Peptides,InterPro-entry,Name
273,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
66,IPR:IPR003593,AAA+ ATPase domain
57,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
56,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
53,IPR:IPR036291,NAD(P)-binding domain superfamily
43,IPR:IPR013783,Immunoglobulin-like fold
42,IPR:IPR036188,FAD/NAD(P)-binding domain superfamily
39,IPR:IPR011009,Protein kinase-like domain superfamily
34,IPR:IPR036390,Winged helix DNA-binding domain superfamily
33,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
