Peptides,InterPro-entry,Name
5,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
4,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
2,IPR:IPR013783,Immunoglobulin-like fold
2,IPR:IPR036390,Winged helix DNA-binding domain superfamily
2,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
2,IPR:IPR005467,Histidine kinase domain
2,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
2,IPR:IPR038765,Papain-like cysteine peptidase superfamily
2,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
2,IPR:IPR004358,"Signal transduction histidine kinase-related protein, C-terminal"
