Peptides,InterPro-entry,Name
12,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
6,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
5,IPR:IPR029044,Nucleotide-diphospho-sugar transferases
4,IPR:IPR012910,"TonB-dependent receptor, plug domain"
4,IPR:IPR000531,"TonB-dependent receptor-like, beta-barrel"
4,IPR:IPR037066,"TonB-dependent receptor, plug domain superfamily"
4,IPR:IPR003593,AAA+ ATPase domain
3,IPR:IPR013783,Immunoglobulin-like fold
3,IPR:IPR035965,PAS domain superfamily
3,IPR:IPR000700,"PAS-associated, C-terminal"
