Peptides,InterPro-entry,Name
9,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
7,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
6,IPR:IPR036291,NAD(P)-binding domain superfamily
5,IPR:IPR035965,PAS domain superfamily
5,IPR:IPR013767,PAS fold
5,IPR:IPR000014,PAS domain
5,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
5,IPR:IPR029058,Alpha/Beta hydrolase fold
5,IPR:IPR003593,AAA+ ATPase domain
5,IPR:IPR036390,Winged helix DNA-binding domain superfamily
