Peptides,InterPro-entry,Name
1913,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
740,IPR:IPR003593,AAA+ ATPase domain
639,IPR:IPR036291,NAD(P)-binding domain superfamily
303,IPR:IPR003439,ABC transporter-like
295,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
283,IPR:IPR015421,"Pyridoxal phosphate-dependent transferase, major domain"
283,IPR:IPR015424,Pyridoxal phosphate-dependent transferase
277,IPR:IPR013785,Aldolase-type TIM barrel
262,IPR:IPR014729,Rossmann-like alpha/beta/alpha sandwich fold
259,IPR:IPR036188,FAD/NAD(P)-binding domain superfamily
