Peptides,InterPro-entry,Name
2011,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
809,IPR:IPR003593,AAA+ ATPase domain
693,IPR:IPR036291,NAD(P)-binding domain superfamily
338,IPR:IPR015421,"Pyridoxal phosphate-dependent transferase, major domain"
338,IPR:IPR015424,Pyridoxal phosphate-dependent transferase
333,IPR:IPR003439,ABC transporter-like
319,IPR:IPR013785,Aldolase-type TIM barrel
307,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
306,IPR:IPR015422,Pyridoxal phosphate-dependent transferase domain 1
300,IPR:IPR014729,Rossmann-like alpha/beta/alpha sandwich fold
