Peptides,InterPro-entry,Name
365,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
89,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
88,IPR:IPR003593,AAA+ ATPase domain
76,IPR:IPR036291,NAD(P)-binding domain superfamily
59,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
58,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
53,IPR:IPR036390,Winged helix DNA-binding domain superfamily
52,IPR:IPR011009,Protein kinase-like domain superfamily
50,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
47,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
