Peptides,InterPro-entry,Name
290,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
71,IPR:IPR036291,NAD(P)-binding domain superfamily
70,IPR:IPR003593,AAA+ ATPase domain
63,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
41,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
40,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
39,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
37,IPR:IPR036390,Winged helix DNA-binding domain superfamily
35,IPR:IPR011009,Protein kinase-like domain superfamily
32,IPR:IPR003594,Histidine kinase/HSP90-like ATPase
