Peptides,InterPro-entry,Name
1444,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
456,IPR:IPR003593,AAA+ ATPase domain
337,IPR:IPR036291,NAD(P)-binding domain superfamily
260,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
219,IPR:IPR003439,ABC transporter-like
187,IPR:IPR036890,Histidine kinase/HSP90-like ATPase superfamily
182,IPR:IPR017871,"ABC transporter, conserved site"
180,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
164,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
152,IPR:IPR036188,FAD/NAD(P)-binding domain superfamily
