Peptides,InterPro-entry,Name
148,IPR:IPR027417,P-loop containing nucleoside triphosphate hydrolase
35,IPR:IPR036291,NAD(P)-binding domain superfamily
32,IPR:IPR003593,AAA+ ATPase domain
26,IPR:IPR036388,Winged helix-like DNA-binding domain superfamily
23,IPR:IPR011990,Tetratricopeptide-like helical domain superfamily
23,IPR:IPR011009,Protein kinase-like domain superfamily
18,IPR:IPR003439,ABC transporter-like
18,IPR:IPR036390,Winged helix DNA-binding domain superfamily
17,IPR:IPR012340,"Nucleic acid-binding, OB-fold"
16,IPR:IPR029063,S-adenosyl-L-methionine-dependent methyltransferase
