Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
6,107163,ETNP_110m_PROKKA_17489,129.32,27,9,2,,32534,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1891,NP_125m_PROKKA_02672,129.32,22,9,2,,39275,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,118935,ETNP_100m_PROKKA_52129,129.32,22,9,2,,39291,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
6,1890,NP_85m_PROKKA_10653,129.32,22,9,2,,39305,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
13,38,ETNP_120m_PROKKA_239026,127.99,44,8,8,,17736,C-phycoerythrin class 2 subunit alpha
13,39,ETNP_90m_PROKKA_15075,127.99,44,8,8,,17736,C-phycoerythrin class 2 subunit alpha
13,37,ETNP_100m_particle_PROKKA_144421,127.99,44,8,8,,17736,C-phycoerythrin class 2 subunit alpha
13,58,ETNP_120m_free_PROKKA_182311,127.99,44,8,8,,17722,C-phycoerythrin class 2 subunit alpha
22,4738,NP_300m_PROKKA_06204,126.05,16,6,4,,39385,Bacterial extracellular solute-binding protein
22,4739,ETNP_120m_particle_PROKKA_168206,126.05,16,6,4,,39375,Bacterial extracellular solute-binding protein
22,4737,ETNP_120m_PROKKA_307121,126.05,16,6,4,,39385,Bacterial extracellular solute-binding protein
22,4740,ETNP_140m_PROKKA_80561,126.05,16,6,4,,39385,Bacterial extracellular solute-binding protein
5,107164,ETNP_120m_PROKKA_147642,125.48,25,9,0,,31075,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
5,889,ETNP_140m_PROKKA_69877,125.48,22,9,0,,35015,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
2,107167,ETNP_110m_PROKKA_49243,124.09,33,13,13,,47623,Aliphatic amidase expression-regulating protein
2,107168,NP_100m_PROKKA_08459,124.09,31,13,13,,50268,Aliphatic amidase expression-regulating protein
2,107169,NP_125m_PROKKA_07093,124.09,31,13,13,,50268,Aliphatic amidase expression-regulating protein
9,900,NP_300m_PROKKA_20959,122.35,19,8,1,,39379,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,107165,ETNP_100m_particle_PROKKA_120937,122.12,22,9,1,,39293,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
4,107166,ETNP_120m_PROKKA_178829,122.12,22,9,1,,39319,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1173,NP_85m_PROKKA_14278,119.95,16,8,0,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
14,1174,NP_300m_PROKKA_22657,119.95,16,8,0,,39694,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
8,1177,ETNP14_120maa_PROKKA_92245,118.16,19,9,0,,39544,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
19,107174,ETNP_300m_PROKKA_184521,112.99,11,7,7,,67558,Methanol dehydrogenase [cytochrome c] subunit 1
19,107175,NP_300m_PROKKA_11083,112.99,10,7,7,,71720,Methanol dehydrogenase [cytochrome c] subunit 1 precursor
21,34,ETNP_90m_PROKKA_178606,106.54,18,4,4,,29123,Photosystem II manganese-stabilizing polypeptide precursor
23,389,ETNP14_120maa_PROKKA_111366,104.07,17,6,0,,37337,General L-amino acid-binding periplasmic protein AapJ precursor
23,107176,ETNP14_120maa_PROKKA_66447,104.07,17,6,0,,37413,General L-amino acid-binding periplasmic protein AapJ precursor
11,1140,NP_85m_PROKKA_05533,104.03,14,8,0,,39724,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
11,1914,NP_300m_PROKKA_02121,104.03,14,8,0,,39744,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
10,1197,ETNP_120m_free_PROKKA_239923,103.55,15,8,0,,39559,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
30,145,ETNP_100m_PROKKA_13915,103.34,19,4,4,,27289,Divinyl chlorophyll a/b light-harvesting protein PcbB
30,146,ETNP_140m_PROKKA_160181,103.34,18,4,4,,28052,Divinyl chlorophyll a/b light-harvesting protein PcbB
30,191,ETNP_140m_PROKKA_58522,103.34,18,4,4,,28052,Divinyl chlorophyll a/b light-harvesting protein PcbB
30,93,NP_85m_PROKKA_25466,103.34,14,4,4,,34628,Divinyl chlorophyll a/b light-harvesting protein PcbB
30,94,ETNP_90m_PROKKA_151411,103.34,13,4,4,,38538,Divinyl chlorophyll a/b light-harvesting protein PcbB
30,152,NP_85m_PROKKA_17755,103.34,13,4,4,,38586,Divinyl chlorophyll a/b light-harvesting protein PcbB
27,1077,NP_85m_PROKKA_06199,103.32,23,6,4,,37599,Sialic acid-binding periplasmic protein SiaP precursor
27,1078,ETNP_300m_PROKKA_160614,103.32,23,6,4,,37618,Sialic acid-binding periplasmic protein SiaP precursor
27,1079,ETNP_160m_PROKKA_56951,103.32,23,6,4,,37618,Sialic acid-binding periplasmic protein SiaP precursor
27,1080,ETNP_180m_PROKKA_87014,103.32,23,6,4,,37618,Sialic acid-binding periplasmic protein SiaP precursor
27,1081,ETNP_120m_PROKKA_148649,103.32,23,6,4,,37618,Sialic acid-binding periplasmic protein SiaP precursor
3,244,XP_003062500,102.73,21,13,7,,49730,alpha tubulin  Micromonas pusilla CCMP1545
3,245,XP_003058621,102.73,21,13,7,,49730,alpha tubulin  Micromonas pusilla CCMP1545
44,140,ETNP_120m_PROKKA_239033,101.64,30,5,4,,19139,C-phycoerythrin class 1 subunit beta
44,138,ETNP_120m_free_PROKKA_147966,101.64,30,5,4,,19139,C-phycoerythrin class 1 subunit beta
44,139,ETNP_100m_particle_PROKKA_112481,101.64,30,5,4,,19139,C-phycoerythrin class 1 subunit beta
1,154,ETNP_120m_PROKKA_239025,98.78,43,11,8,,18407,C-phycoerythrin class 2 subunit beta
1,155,ETNP_120m_free_PROKKA_182310,98.78,43,11,8,,18407,C-phycoerythrin class 2 subunit beta
1,153,ETNP_90m_PROKKA_15076,98.78,43,11,8,,18407,C-phycoerythrin class 2 subunit beta
24,107189,NP_100m_PROKKA_12960,98.15,18,6,0,,35769,General L-amino acid-binding periplasmic protein AapJ precursor
17,1900,NP_100m_PROKKA_09018,97.78,16,7,0,,31289,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1172,NP_85m_PROKKA_09702,97.47,15,7,1,,39742,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1176,NP_125m_PROKKA_07506,97.47,15,7,1,,39830,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
15,1175,ETNP14_68maa_PROKKA_144097,97.47,15,7,1,,39674,Monocarboxylate 2-oxoacid-binding periplasmic protein precursor
56,144,ETNP_120m_free_PROKKA_60142,95.03,15,3,3,,28624,hypothetical protein
45,4,ETNP_90m_PROKKA_165095,94.42,11,5,4,,57358,60 kDa chaperonin 1
45,1,ETNP_90m_PROKKA_150918,94.42,11,5,4,,57387,60 kDa chaperonin 1
45,8,WP_036912335,94.42,11,5,4,,57393,molecular chaperone GroEL Prochlorococcus
45,9,WP_011130817,94.42,11,5,4,,57397,molecular chaperone GroEL Prochlorococcus marinus
45,10,ETNP14_68maa_PROKKA_102614,94.42,11,5,4,,57434,60 kDa chaperonin 1
34,221,ETNP14_68maa_PROKKA_162902,94.16,17,6,0,,37294,General L-amino acid-binding periplasmic protein AapJ precursor
34,361,ETNP14_68maa_PROKKA_99193,94.16,17,6,0,,37467,General L-amino acid-binding periplasmic protein AapJ precursor
34,107190,ETNP14_68maa_PROKKA_64086,94.16,17,6,0,,37979,General L-amino acid-binding periplasmic protein AapJ precursor
20,57413,NP_300m_PROKKA_14803,90.10,10,6,2,,57679,60 kDa chaperonin
20,57411,ETNP_180m_PROKKA_186511,90.10,10,6,2,,57711,60 kDa chaperonin
20,57412,ETNP_160m_PROKKA_52423,90.10,10,6,2,,57723,60 kDa chaperonin
53,107202,NP_300m_PROKKA_08503,89.50,11,4,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
53,107203,ETNP_120m_PROKKA_310245,89.50,11,4,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
53,107204,ETNP_120m_particle_PROKKA_108393,89.50,11,4,3,,39772,Alpha-keto acid-binding periplasmic protein TakP precursor
