Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 12: 278 4-19_265m_top+P-A_90min,Area Sample 12: 278 4-19_265m_top+P-A_90min,#Peptides,#Unique,#Spec Sample 12: 278 4-19_265m_top+P-A_90min,PTM,Avg. Mass,Description
1,1,54036848,262.88,11,11,6.57E8,11,9,34,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
5,2,CAA76847.1,168.79,22,22,7.38E6,9,9,14,Carbamidomethylation,69324,bovine serum albumin [Bos taurus]
3,8265,ETNP_70,139.54,12,12,4.9E7,12,6,15,Oxidation (M),41848,Bacterial actin-related protein
2,4,XP_003061104,136.73,27,27,5.06E6,20,4,26,Carbamidomethylation; Oxidation (M),41766,actin flagellar inner arm intermediate chain  Micromonas pusilla CCMP1545
14,8304,EJK77863,116.70,32,32,8.5E6,10,10,10,Oxidation (M),16858,hypothetical protein THAOC_00268  Thalassiosira oceanica
14,8305,EJK58168,116.70,32,32,8.5E6,10,10,10,Oxidation (M),16858,hypothetical protein THAOC_21730  Thalassiosira oceanica
14,8303,XP_002185049,116.70,32,32,8.5E6,10,10,10,Oxidation (M),16829,calmoduline  Phaeodactylum tricornutum CCAP 1055
14,8306,ETNP_90,116.70,29,29,8.5E6,10,10,10,Oxidation (M),18514,EF hand
23,143832,WP_011220004.1,114.63,10,10,1.08E7,4,4,6,,51773,glutamine synthetase [Photobacterium profundum]
7,143843,WP_041393911.1,112.70,32,32,2.65E6,10,3,12,Carbamidomethylation,22084,peroxidase [Photobacterium profundum]
6,17455,WP_011219964.1,112.42,14,14,1.47E6,11,2,13,Carbamidomethylation,43220,elongation factor Tu [Photobacterium profundum]
6,17463,WP_011217126.1,112.42,14,14,1.47E6,11,2,13,Carbamidomethylation,42975,elongation factor Tu [Photobacterium profundum]
10,17720,ETNP_70,108.53,27,27,8.04E6,9,4,11,,16840,Core histone H2A/H2B/H3/H4
10,17652,XP_003080759,108.53,33,33,8.04E6,9,4,11,,13731,histone H2B ISS  Ostreococcus tauri
10,17714,XP_003062035,108.53,35,35,8.04E6,9,4,11,,12701,predicted protein  Micromonas pusilla CCMP1545
10,17715,XP_003058519,108.53,35,35,8.04E6,9,4,11,,12701,predicted protein  Micromonas pusilla CCMP1545
10,17716,XP_003055512,108.53,35,35,8.04E6,9,4,11,,12701,histone H2B  Micromonas pusilla CCMP1545
10,17719,XP_003082252,108.53,30,30,8.04E6,9,4,11,,15314,histone H2B ISS  Ostreococcus tauri
4,17467,NP_125,103.58,14,14,1.41E6,12,2,14,Carbamidomethylation,43465,Elongation factor Tu
12,193571,CAI85920.1,100.79,18,18,1.1E7,9,2,10,,22115,peroxiredoxin 2 (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thiol-specific antioxidant protein) (TSA) (PRP) [Pseudoalteromonas haloplanktis TAC125]
13,193572,ETNP14_68,100.36,8,8,1.27E6,8,1,10,Carbamidomethylation,44228,Elongation factor Tu
24,17481,XP_003074279,94.46,12,12,2.97E5,6,1,6,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
53,143836,WP_013262876,92.52,8,8,1.1E6,4,2,4,,57692,molecular chaperone GroEL gamma proteobacterium HdN1
9,2735,ETNP_90,92.21,17,17,7.91E6,8,1,11,Carbamidomethylation,33070,Bacterial actin-related protein
16,25155,CAI86879.1,87.98,28,28,1.42E7,9,9,9,,8758,acyl carrier protein [Pseudoalteromonas haloplanktis TAC125]
16,25167,ETNP_90,87.98,28,28,1.42E7,9,9,9,,8803,Acyl carrier protein
16,25168,ETNP14_120,87.98,28,28,1.42E7,9,9,9,,8803,Acyl carrier protein
16,25169,WP_012518211,87.98,28,28,1.42E7,9,9,9,,8803,acyl carrier protein Alteromonadaceae
16,26696,ETNP_120,87.98,28,28,1.42E7,9,9,9,,8807,Acyl carrier protein
211,193615,ETNP_120,84.67,9,9,2.24E5,2,2,2,,22819,putative peptidase
211,148189,ETNP_120,84.67,5,5,2.24E5,2,2,2,,42917,Aminopeptidase
18,24029,XP_003074685,83.82,18,18,2.4E7,7,7,8,Oxidation (M),31136,Histone H4 ISS  Ostreococcus tauri
8,469,ETNP_70,83.23,39,39,5.96E7,9,9,12,,13534,Core histone H2A/H2B/H3/H4
15,38,XP_002183424,83.10,19,19,,8,0,9,Carbamidomethylation; Oxidation (M),41791,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
15,39,XP_002183295,83.10,19,19,,8,0,9,Carbamidomethylation; Oxidation (M),41791,predicted protein  Phaeodactylum tricornutum CCAP 1055
15,40,XP_002182221,83.10,19,19,,8,0,9,Carbamidomethylation; Oxidation (M),41839,actin actin like protein  Phaeodactylum tricornutum CCAP 1055
52,17543,XP_002180656,82.54,9,9,2.29E6,4,2,4,Carbamidomethylation,49747,predicted protein  Phaeodactylum tricornutum CCAP 1055
29,17542,XP_003056479,78.64,10,10,9.92E4,5,1,5,,49615,beta tubulin  Micromonas pusilla CCMP1545
87,13614,CAG23421.1,76.90,11,11,2.93E6,2,2,3,,30633,Putative ribose ABC transporter  periplasmic D-ribose-binding protein [Photobacterium profundum SS9]
38,2749,XP_003080933,74.32,11,11,3.52E6,5,3,5,Carbamidomethylation,52460,TBA_CHLVU Tubulin alpha chain ISS  Ostreococcus tauri
11,2742,ETNP14_120,73.66,8,8,2.08E7,7,3,10,Carbamidomethylation,42383,Bacterial actin-related protein
89,143891,CAI86717.1,73.26,13,13,1.36E6,3,3,3,Carbamidomethylation,30051,succinyl-CoA synthetase  alpha subunit  NAD(P)-binding [Pseudoalteromonas haloplanktis TAC125]
20,23992,ABQ69278.1,71.94,9,9,7.41E6,5,5,7,Carbamidomethylation; Oxidation (M),59061,isocitrate lyase [Sphingomonas wittichii RW1]
25,17786,ETNP14_120,70.06,19,19,6.01E7,5,5,6,,11741,50S ribosomal protein L7/L12
25,17788,ETNP14_68,70.06,17,17,6.01E7,5,5,6,,13448,50S ribosomal protein L7/L12
25,17789,ETNP14_120,70.06,17,17,6.01E7,5,5,6,,13532,50S ribosomal protein L7/L12
90,17509,WP_011217182.1,68.90,11,11,2.92E6,3,3,3,,32293,malate dehydrogenase [Photobacterium profundum]
88,144102,WP_011220056.1,68.22,8,8,1.12E6,3,3,3,Carbamidomethylation,48461,glutathione-disulfide reductase [Photobacterium profundum]
19,17527,ETNP_100,68.02,48,48,1.74E6,6,1,7,,7412,Core histone H2A/H2B/H3/H4
66,17551,XP_002185730,67.08,7,7,4.94E5,3,1,3,Carbamidomethylation,49582,predicted protein  Phaeodactylum tricornutum CCAP 1055
17,8267,EJK63020,66.00,10,10,1.92E6,7,2,8,Carbamidomethylation; Oxidation (M),68429,hypothetical protein THAOC_16346  Thalassiosira oceanica
27,29,CAN98337.1,65.38,2,2,1.44E6,3,1,5,,97340,ATPase with chaperone activity  two ATP-bindingdomains [Sorangium cellulosum So ce56]
64,170815,ETNP14_68,64.18,5,5,4.83E5,3,2,3,,45009,Elongation factor G 1
36,57195,XP_003056674,63.92,7,7,2.46E5,5,2,5,,60236,ATP synthase  Micromonas pusilla CCMP1545
28,11,WP_009773391.1,63.75,3,3,2.81E5,3,1,5,,79198,protein disaggregation chaperone [marine actinobacterium PHSC20C1]
28,26,WP_011376136.1,63.75,3,3,2.81E5,3,1,5,,97126,chaperone protein ClpB [Prochlorococcus marinus]
28,27,WP_011132214.1,63.75,3,3,2.81E5,3,1,5,,97364,chaperone protein ClpB [Prochlorococcus marinus]
28,8,ACJ00008.1,63.75,3,3,2.81E5,3,1,5,,96573,ATP-dependent chaperone protein ClpB [Rhodospirillum centenum SW]
28,25,ACL71908.1,63.75,3,3,2.81E5,3,1,5,,95840,ATP-dependent chaperone ClpB [Thioalkalivibrio sulfidiphilus HL-EbGr7]
28,8276,WP_014707596,63.75,3,3,2.81E5,3,1,5,,95984,chaperone protein ClpB Methylophaga nitratireducenticrescens
28,2621,NP_300,63.75,3,3,2.81E5,3,1,5,,96223,Chaperone protein ClpB
30,37,ABS63370.1,63.53,2,2,2.51E6,3,1,5,,96684,ATPase AAA-2 domain protein [Parvibaculum lavamentivorans DS-1]
33,9,ABF62863.1,63.48,3,3,7.94E5,3,1,5,,95490,ATPase AAA-2 [Ruegeria sp. TM1040]
49,193587,WP_014705255,62.26,8,8,2.49E5,4,1,4,,57199,molecular chaperone GroEL Methylophaga nitratireducenticrescens
137,193578,CAI85270.1,59.80,3,3,5.77E5,2,2,2,,51987,glutamine synthetase [Pseudoalteromonas haloplanktis TAC125]
42,193574,WP_011467368.1,58.67,9,9,2.53E7,2,2,4,,21351,superoxide dismutase [Fe] [Saccharophagus degradans]
62,143848,ABQ66991.1,57.92,7,7,1.51E6,3,1,3,,51479,ATP synthase F1  beta subunit [Sphingomonas wittichii RW1]
67,17535,WP_011219116.1,57.08,4,4,2.14E6,3,1,3,,60785,30S ribosomal protein S1 [Photobacterium profundum]
34,24233,SAR11,56.77,9,9,2.59E6,5,2,5,,55817,ATP synthase subunit alpha
70,193583,EJP73075,56.59,6,6,9.74E4,3,1,3,Carbamidomethylation,49662,ATP synthase F1 beta subunit SAR86 cluster bacterium SAR86B
98,18263,ETNP_70,56.23,38,38,2.4E7,3,2,3,,6590,50S ribosomal protein L7/L12
165,193579,WP_007231575,55.79,4,4,3.23E5,2,1,2,Oxidation (M),45555,enolase gamma proteobacterium HTCC2207
125,193576,WP_011219654.1,55.57,5,5,5.98E5,2,1,2,,45615,enolase [Photobacterium profundum]
164,18043,WP_011218872.1,55.18,6,6,1.8E5,2,1,2,,36725,amino acid ABC transporter substrate-binding protein [Photobacterium profundum]
164,26730,WP_012563200,55.18,7,7,1.8E5,2,1,2,,36856,amino acid ABC transporter substrate-binding protein Oligotropha carboxidovorans
164,26731,ETNP14_68,55.18,6,6,1.8E5,2,1,2,,36302,General L-amino acid-binding periplasmic protein AapJ precursor
459,193590,ADI90412.1,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,49440,glutathione reductase [Acinetobacter oleivorans DR1]
459,146115,WP_012519895,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,48637,glutathione-disulfide reductase Alteromonas mediterranea
459,193616,ETNP_140,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,47936,Glutathione amide reductase
459,193617,ETNP_120,54.77,3,3,1.45E5,1,1,1,Carbamidomethylation,48347,Glutathione amide reductase
166,193580,CAG23754.1,54.34,3,3,1.81E6,1,1,2,,45916,putative ABC-type sugar transport system  periplasmic component [Photobacterium profundum SS9]
91,17622,WP_011219211.1,54.23,20,20,1.52E7,3,3,3,,18750,peptidoglycan-associated lipoprotein [Photobacterium profundum]
167,193589,ETNP14_68,54.17,12,12,,2,0,2,,21063,ATP synthase subunit beta
189,193627,ETNP14_120,53.24,9,9,1.98E6,2,2,2,,17544,Enolase
189,193649,ETNP14_120,53.24,3,3,1.98E6,2,2,2,,46954,Enolase
186,144099,WP_011218847.1,53.00,15,15,3.04E6,2,2,2,,13367,50S ribosomal protein L20 [Photobacterium profundum]
92,17773,WP_011217143.1,52.55,8,8,3.07E5,2,1,3,,15009,50S ribosomal protein L15 [Photobacterium profundum]
92,17774,WP_011467460.1,52.55,8,8,3.07E5,2,1,3,,15148,50S ribosomal protein L15 [Saccharophagus degradans]
106,17561,WP_011217975.1,52.48,3,3,,2,0,2,,75816,elongation factor G [Photobacterium profundum]
106,17560,WP_011467413.1,52.48,3,3,,2,0,2,,76678,elongation factor G [Saccharophagus degradans]
106,193585,WP_038130818.1,52.48,3,3,,2,0,2,,66728,translation elongation factor G  partial [Verrucomicrobia bacterium SCGC AAA168-F10]
99,193601,ETNP_120,52.03,7,7,9.69E5,3,1,3,,45856,60 kDa chaperonin
99,143882,ADI89680.1,52.03,6,6,9.69E5,3,1,3,,57182,chaperonin GroEL [Acinetobacter oleivorans DR1]
99,193602,WP_001274623,52.03,6,6,9.69E5,3,1,3,,57167,molecular chaperone GroEL Bacteria
188,17588,ETNP_150,51.90,57,57,,2,0,2,Carbamidomethylation,4626,Tubulin/FtsZ family  GTPase domain
63,143892,CAI85921.1,51.49,2,2,2.31E7,2,1,3,,93961,conserved protein of unknown function; putative TonB-dependent receptor [Pseudoalteromonas haloplanktis TAC125]
71,24096,XP_003074861,51.33,5,5,3.09E5,3,2,3,,73277,Bip Luminal binding protein precursor probable IC  Ostreococcus tauri
71,24144,ETNP_70,51.33,6,6,3.09E5,3,2,3,,53909,Chaperone protein DnaK
80,144130,CAI87855.1,51.33,8,8,2.74E5,3,1,3,,20095,50S ribosomal subunit protein L5 [Pseudoalteromonas haloplanktis TAC125]
80,144511,WP_011217137.1,51.33,8,8,2.74E5,3,1,3,,20388,50S ribosomal protein L5 [Photobacterium profundum]
