Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 273_965m_trap_SKQ17_P2,Area 273_965m_trap_SKQ17_P2,#Peptides,#Unique,#Spec 273_965m_trap_SKQ17_P2,PTM,Avg. Mass,Description
1,392072,gi|54036848,233.55,11,11,1.11E9,7,5,42,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
10,393101,ETNP_90m_PROKKA_166636,93.84,24,24,4.12E4,9,1,11,Carbamidomethylation; Deamidation (NQ),33070,Bacterial actin-related protein
17,523,XP_003074279,86.72,10,10,8.58E5,6,1,6,Carbamidomethylation,52955,TBB1_VOLCA Tubulin beta chain ISS  Ostreococcus tauri
11,392493,gi|1377607000,86.25,21,21,5.21E4,6,1,8,,24617,Tubulin beta chain [Hondaea fermentalgiana]
15,416625,ETNP_70m_PROKKA_65164,83.74,17,17,2.2E5,5,1,6,Carbamidomethylation,27021,Bacterial actin-related protein
40,701,XP_003080759,80.82,21,21,3.95E5,3,1,3,,13731,histone H2B ISS  Ostreococcus tauri
40,392587,ETNP_70m_PROKKA_54543,80.82,17,17,3.95E5,3,1,3,,16840,Core histone H2A/H2B/H3/H4
40,697,XP_003062035,80.82,22,22,3.95E5,3,1,3,,12701,predicted protein  Micromonas pusilla CCMP1545
40,698,XP_003058519,80.82,22,22,3.95E5,3,1,3,,12701,predicted protein  Micromonas pusilla CCMP1545
40,699,XP_003055512,80.82,22,22,3.95E5,3,1,3,,12701,histone H2B  Micromonas pusilla CCMP1545
40,392589,ETNP_70m_PROKKA_120394,80.82,21,21,3.95E5,3,1,3,,13742,Core histone H2A/H2B/H3/H4
40,702,XP_003082252,80.82,19,19,3.95E5,3,1,3,,15314,histone H2B ISS  Ostreococcus tauri
19,82650,WP_007232156,75.52,5,5,1.1E7,3,3,3,,57912,isocitrate lyase gamma proteobacterium HTCC2207
44,379539,WP_006231982.1,74.02,33,33,9.61E5,3,2,3,,7426,cold-shock protein [Photobacterium profundum]
