Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) RAL95_trypsin_MED_1,Area RAL95_trypsin_MED_1,#Peptides,#Unique,#Spec RAL95_trypsin_MED_1,PTM,Avg. Mass,Description
1,9880,PMM1436,409.57,94,94,5.03E10,182,181,1295,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),57441,| groEL | chaperonin GroEL
3,10366,PMM0452,339.33,68,68,7.65E9,66,65,259,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61441,| groEL | chaperonin GroEL
5,12773,PMM0228,322.95,84,84,4.36E9,51,51,164,Carbamidomethylation; Oxidation (M); Deamidation (NQ),28114,| psbO | photosystem II manganese-stabilizing protein
14,9877,PMM1485,316.97,57,57,1.12E9,55,54,105,Carbamidomethylation; Oxidation (M); Deamidation (NQ),122908,| rpoB | DNA-directed RNA polymerase subunit beta
4,9777,PMM1704,314.23,63,63,3.73E9,46,46,176,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),68244,| dnaK | molecular chaperone DnaK
15,10439,PMM0710,306.42,67,67,2.05E9,58,58,97,Oxidation (M),33887,| PMM0710 | ABC transporter  substrate binding protein  phosphate
7,12780,PMM0901,302.94,71,71,2.48E9,56,54,151,Carbamidomethylation; Oxidation (M); Deamidation (NQ); Methylation(KR),72552,| htpG | heat shock protein 90
6,16009,PMM0642,300.99,91,91,5.23E9,40,40,153,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48059,| cysD | putative O-Acetyl homoserine sulfhydrylase
13,10413,PMM1483,296.04,54,54,1.02E9,54,54,106,Carbamidomethylation; Oxidation (M); Deamidation (NQ),149637,| rpoC2 | DNA-directed RNA polymerase subunit beta'
11,16035,PMM0315,288.57,41,41,2.75E9,33,33,113,Oxidation (M); Deamidation (NQ),56091,| psbB | photosystem II PsbB protein (CP47)
9,16023,PMM0407,283.02,82,82,2.22E9,29,29,138,Carbamidomethylation; Oxidation (M); Deamidation (NQ),34981,| cysK1 | O-acetylserine (thiol)-lyase A
22,9717,PMM1088,279.20,64,64,5.8E8,45,43,79,Carbamidomethylation; Oxidation (M); Deamidation (NQ),93427,| clpC | ClpC
8,10114,PMM1508,279.09,72,72,2.78E9,42,42,130,Carbamidomethylation; Oxidation (M); Deamidation (NQ),43622,| tuf | elongation factor Tu
27,10079,PMM1494,278.66,48,48,3.62E8,46,45,73,Carbamidomethylation; Oxidation (M); Deamidation (NQ),127148,| infB | translation initiation factor IF-2
59,10485,PMM0226,267.26,50,50,2.79E8,24,20,48,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66746,| ftsH2 | cell division protein FtsH2
23,10147,PMM1191,266.16,49,49,9.32E8,36,34,78,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78668,| pnp | polynucleotide phosphorylase/polyadenylase
28,9922,PMM0661,263.92,54,54,4.67E8,36,36,71,Carbamidomethylation; Deamidation (NQ),90662,| nrdJ | ribonucleotide reductase (class II)
24,12807,PMM1264,263.86,48,48,8.74E8,37,33,76,Carbamidomethylation; Oxidation (M),67227,| ftsH3 | cell division protein FtsH3
29,16061,PMM0583,261.21,57,57,6.26E8,24,24,63,Oxidation (M),38974,| hemE | uroporphyrinogen decarboxylase
26,9970,PMM0970,260.88,55,55,1.05E9,20,20,72,Carbamidomethylation; Oxidation (M),47600,| urtA | putative urea ABC transporter  substrate binding protein
17,10505,PMM1309,256.04,74,74,2.55E9,29,29,98,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39151,| ftsZ | cell division protein FtsZ
88,10111,PMM0743,255.03,44,44,2.06E8,25,24,41,Carbamidomethylation; Oxidation (M),68885,| ftsH1 | FtsH ATP-dependent protease-like protein
12,10638,PMM1350,250.80,70,70,3.97E9,24,24,111,Carbamidomethylation; Oxidation (M); Deamidation (NQ),20921,| PMM1350 | pentapeptide repeat-containing protein
83,9842,PMM1712,249.60,43,43,1.63E8,33,33,41,Carbamidomethylation,105952,| uvrA | excinuclease ABC subunit A
21,16072,PMM0856,249.55,87,87,3.87E9,20,20,85,Carbamidomethylation; Oxidation (M); Deamidation (NQ),21758,| tpx | thioredoxin peroxidase
38,10695,PMM1247,248.86,62,62,8.69E8,22,22,61,Carbamidomethylation; Oxidation (M),46454,| PMM1247 | hypothetical protein
52,10009,PMM1509,248.65,58,58,2.98E8,30,30,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),75690,| fusA | elongation factor G
37,16012,PMM0769,246.86,66,66,5.46E8,32,32,59,Carbamidomethylation; Oxidation (M); Deamidation (NQ),48074,| glgC | glucose-1-phosphate adenylyltransferase
31,16014,PMM0405,246.74,72,72,5.57E8,29,29,63,Carbamidomethylation; Oxidation (M),49186,| pdhC | branched-chain alpha-keto acid dehydrogenase subunit E2
110,10275,PMM1062,246.25,68,68,3.02E8,24,24,38,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41000,| guaB | inosine 5-monophosphate dehydrogenase
16,13010,PMM0195,246.16,74,74,2.16E9,30,30,99,Carbamidomethylation; Oxidation (M),42964,| pgk | phosphoglycerate kinase
30,16013,PMM1315,245.65,77,77,8.78E8,23,23,71,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36630,| ilvC | ketol-acid reductoisomerase
49,10593,PMM1438,244.26,64,64,4.66E8,24,24,51,Oxidation (M),51980,| atpB | F0F1 ATP synthase subunit beta
39,13324,PMM0552,244.02,47,47,3.14E8,32,32,53,Carbamidomethylation; Oxidation (M),81882,| csoS2 | carboxysome shell protein CsoS2
53,13311,PMM1492,243.82,62,62,3.29E8,24,24,51,Carbamidomethylation; Oxidation (M),52999,| nusA | transcription elongation factor NusA
50,9881,PMM1610,242.23,60,60,3.57E8,28,28,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72988,| tktA | transketolase
33,12823,PMM1287,241.71,53,53,3.56E8,34,34,68,,79939,| PMM1287 | hypothetical protein
47,16026,PMM0920,241.57,49,49,7.59E8,22,22,49,Carbamidomethylation,52878,| glnA | glutamine synthetase  glutamate--ammonia ligase
98,10120,PMM1416,240.75,51,51,2.17E8,24,24,40,Oxidation (M); Deamidation (NQ),75064,| PMM1416 | hypothetical protein
55,16029,PMM0208,240.44,52,52,6.69E8,18,18,50,Carbamidomethylation; Oxidation (M),45899,| eno | enolase
64,9897,PMM0010,239.98,57,57,1.75E8,27,27,46,Deamidation (NQ),48441,| ftsY | signal recognition particle docking protein FtsY
73,16025,PMM0311,239.97,60,60,5.9E8,21,21,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ),45083,| metK | S-adenosylmethionine synthetase
58,9760,PMM1512,238.74,27,27,1.14E8,36,36,48,Carbamidomethylation; Oxidation (M),168148,| glsF | ferredoxin-dependent glutamate synthase
70,16024,PMM0023,237.29,71,71,7.52E8,19,19,41,Carbamidomethylation; Oxidation (M); Deamidation (NQ),36991,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
