,ProteinID,Alignments_x,SpecCounts_x,Unique_x,Coverage_x,Protein description_x,Alignments_y,SpecCounts_y,Unique_y,Coverage_y,Protein description_y
0,PMM0001,8.0,9.0,8.0,0.179,| dnaN | DNA polymerase III subunit beta8980.179| dnaN | DNA polymerase III subunit beta,8.0,10.0,8.0,0.153,| dnaN | DNA polymerase III subunit beta
1,PMM0002,2.0,2.0,1.0,0.038,| PMM0002 | hypothetical protein2210.038| PMM0002 | hypothetical protein,2.0,2.0,1.0,0.038,| PMM0002 | hypothetical protein
2,PMM0003,8.0,8.0,8.0,0.092,| purL | phosphoribosylformylglycinamidine synthase II8880.092| purL | phosphoribosylformylglycinamidine synthase II,7.0,8.0,7.0,0.085,| purL | phosphoribosylformylglycinamidine synthase II
3,PMM0004,2.0,2.0,2.0,0.028999999999999998,| purF | amidophosphoribosyltransferase2220.029| purF | amidophosphoribosyltransferase,3.0,3.0,3.0,0.049,| purF | amidophosphoribosyltransferase
4,PMM0005,9.0,9.0,9.0,0.098,| PMM0005 | DNA gyrase/topoisomerase IV9990.098| PMM0005 | DNA gyrase/topoisomerase IV,8.0,8.0,8.0,0.09300000000000001,| PMM0005 | DNA gyrase/topoisomerase IV subunit A
5,PMM0006,1.0,1.0,1.0,0.027999999999999997,| PMM0006 | hypothetical protein1110.028| PMM0006 | hypothetical protein,,,,,
6,PMM0008,3.0,3.0,3.0,0.139,| PMM0008 | hypothetical protein3330.139| PMM0008 | hypothetical protein,4.0,5.0,4.0,0.131,| PMM0008 | hypothetical protein
7,PMM0009,1.0,1.0,1.0,0.033,| nusB | transcription antitermination protein NusB1110.033| nusB | transcription antitermination protein NusB,2.0,3.0,2.0,0.077,| nusB | transcription antitermination protein NusB
8,PMM0010,8.0,8.0,8.0,0.191,| ftsY | signal recognition particle docking protein FtsY8880.191| ftsY | signal recognition particle docking protein FtsY,10.0,11.0,10.0,0.273,| ftsY | signal recognition particle docking protein FtsY
9,PMM0011,2.0,2.0,2.0,0.047,| PMM0011 | protein phosphatase 2C domain-containing protein2220.047| PMM0011 | protein phosphatase 2C domain-containing protein,2.0,2.0,2.0,0.049,| PMM0011 | protein phosphatase 2C domain-containing protein
10,PMM0012,3.0,3.0,3.0,0.07200000000000001,| argH | argininosuccinate lyase3330.072| argH | argininosuccinate lyase,8.0,8.0,8.0,0.161,| argH | argininosuccinate lyase
11,PMM0013,3.0,3.0,3.0,0.077,| PMM0013 | RNA recognition motif-containing protein3330.077| PMM0013 | RNA recognition motif-containing protein,3.0,3.0,3.0,0.045,| PMM0013 | RNA recognition motif-containing protein
12,PMM0014,1.0,1.0,1.0,0.021,| PMM0014 | tRNA-dihydrouridine synthase A1110.021| PMM0014 | tRNA-dihydrouridine synthase A,1.0,1.0,1.0,0.018000000000000002,| PMM0014 | tRNA-dihydrouridine synthase A
