ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM0001,8,9,8,0.179,| dnaN | DNA polymerase III subunit beta8980.179| dnaN | DNA polymerase III subunit beta
PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein2210.038| PMM0002 | hypothetical protein
PMM0003,8,8,8,0.092,| purL | phosphoribosylformylglycinamidine synthase II8880.092| purL | phosphoribosylformylglycinamidine synthase II
PMM0004,2,2,2,0.029,| purF | amidophosphoribosyltransferase2220.029| purF | amidophosphoribosyltransferase
PMM0005,9,9,9,0.098,| PMM0005 | DNA gyrase/topoisomerase IV9990.098| PMM0005 | DNA gyrase/topoisomerase IV
PMM0006,1,1,1,0.028,| PMM0006 | hypothetical protein1110.028| PMM0006 | hypothetical protein
PMM0008,3,3,3,0.139,| PMM0008 | hypothetical protein3330.139| PMM0008 | hypothetical protein
PMM0009,1,1,1,0.033,| nusB | transcription antitermination protein NusB1110.033| nusB | transcription antitermination protein NusB
PMM0010,8,8,8,0.191,| ftsY | signal recognition particle docking protein FtsY8880.191| ftsY | signal recognition particle docking protein FtsY
PMM0011,2,2,2,0.047,| PMM0011 | protein phosphatase 2C domain-containing protein2220.047| PMM0011 | protein phosphatase 2C domain-containing protein
PMM0012,3,3,3,0.072,| argH | argininosuccinate lyase3330.072| argH | argininosuccinate lyase
PMM0013,3,3,3,0.077,| PMM0013 | RNA recognition motif-containing protein3330.077| PMM0013 | RNA recognition motif-containing protein
PMM0014,1,1,1,0.021,| PMM0014 | tRNA-dihydrouridine synthase A1110.021| PMM0014 | tRNA-dihydrouridine synthase A
PMM0015,1,1,1,0.079,| PMM0015 | hypothetical protein1110.079| PMM0015 | hypothetical protein
PMM0016,8,12,8,0.326,| grpE | heat shock protein GrpE81280.326| grpE | heat shock protein GrpE
PMM0017,4,6,4,0.07,| dnaJ | DnaJ protein4640.07| dnaJ | DnaJ protein
PMM0020,5,6,5,0.379,| PMM0020 | hypothetical protein5650.379| PMM0020 | hypothetical protein
PMM0021,4,4,3,0.132,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase4430.132| murB | UDP-N-acetylenolpyruvoylglucosamine reductase
PMM0023,9,12,9,0.274,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)91290.274| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
PMM0024,1,1,1,0.018,| thiL | putative thiamine-monophosphate kinase1110.018| thiL | putative thiamine-monophosphate kinase
PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase1110.025| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
PMM0026,3,3,3,0.129,| efp | elongation factor P3330.129| efp | elongation factor P
PMM0027,1,1,1,0.06,| accB1110.06| accB
PMM0028,1,1,1,0.026,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase1110.026| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase
PMM0029,2,2,2,0.054,| PMM0029 | hypothetical protein2220.054| PMM0029 | hypothetical protein
PMM0032,5,6,5,0.309,| PMM0032 | type II secretion system pr5650.309| PMM0032 | type II secretion system pr
PMM0034,1,1,1,0.169,| PMM0034 | hypothetical protein1110.169| PMM0034 | hypothetical protein
PMM0035,1,2,1,0.021,| DHSS | soluble hydrogenase small subunit1210.021| DHSS | soluble hydrogenase small subunit
PMM0036,1,1,1,0.019,| cbiD | cobalt-precorrin-6A synthase1110.019| cbiD | cobalt-precorrin-6A synthase
PMM0037,5,7,5,0.112,| guaA | GMP synthase5750.112| guaA | GMP synthase
PMM0038,1,1,1,0.03,| PMM0038 | hypothetical protein1110.03| PMM0038 | hypothetical protein
PMM0039,2,2,2,0.094,| PMM0039 | hypothetical protein2220.094| PMM0039 | hypothetical protein
PMM0040,1,1,1,0.012,| PMM0040 | putative penicillin-binding protein1110.012| PMM0040 | putative penicillin-binding protein
PMM0041,2,2,2,0.109,| PMM0041 | putative reductase2220.109| PMM0041 | putative reductase
PMM0042,1,1,1,0.02,| PMM0042 | flavoprotein1110.02| PMM0042 | flavoprotein
PMM0043,1,1,1,0.017,| PMM0043 | flavoprotein1110.017| PMM0043 | flavoprotein
PMM0044,8,8,8,0.08,| alaS | alanyl-tRNA synthetase8880.08| alaS | alanyl-tRNA synthetase
PMM0045,3,3,3,0.054,| PMM0045 | arginine decarboxylase3330.054| PMM0045 | arginine decarboxylase
PMM0046,2,3,2,0.118,| ndk | nucleoside diphosphate kinase2320.118| ndk | nucleoside diphosphate kinase
PMM0047,3,4,3,0.084,| thiO | putative thiamine biosynthesis oxidoreductase3430.084| thiO | putative thiamine biosynthesis oxidoreductase
PMM0048,6,6,6,0.1,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B6660.1| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
PMM0049,1,1,1,0.054,| coaE | putative dephospho-CoA kinase1110.054| coaE | putative dephospho-CoA kinase
PMM0050,1,1,1,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein1110.025| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
PMM0051,2,2,2,0.117,| PMM0051 | hypothetical protein2220.117| PMM0051 | hypothetical protein
PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein1110.062| PMM0054 | hypothetical protein
PMM0055,1,3,1,0.085,| PMM0055 | hypothetical protein1310.085| PMM0055 | hypothetical protein
PMM0057,2,2,2,0.021,| PMM0057 | SMC ATPase superfamily chromosome segregation protein2220.021| PMM0057 | SMC ATPase superfamily chromosome segregation protein
PMM0058,1,1,1,0.033,| PMM0058 | hypothetical protein1110.033| PMM0058 | hypothetical protein
PMM0060,3,3,3,0.089,| accC | acetyl-CoA carboxylase biotin carboxylase subunit3330.089| accC | acetyl-CoA carboxylase biotin carboxylase subunit
PMM0063,1,1,1,0.029,| PMM0063 | hypothetical protein1110.029| PMM0063 | hypothetical protein
PMM0064,1,1,1,0.143,| hli2 | high light inducible protein1110.143| hli2 | high light inducible protein
PMM0065,11,13,11,0.127,| PMM0065 | ABC transporter1113110.127| PMM0065 | ABC transporter
PMM0067,3,3,3,0.097,| PMM0067 | HIT (histidine triad) family protein3330.097| PMM0067 | HIT (histidine triad) family protein
PMM0068,2,2,2,0.1,| def | peptide deformylase2220.1| def | peptide deformylase
PMM0069,1,1,1,0.011,| PMM0069 | esterase/lipase/thioesterase family protein1110.011| PMM0069 | esterase/lipase/thioesterase family protein
PMM0070,4,4,4,0.085,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase4440.085| PMM0070 | putative cysteine desulfurase or selenocysteine lyase
PMM0071,3,3,3,0.081,| PMM0071 | ABC transporter3330.081| PMM0071 | ABC transporter
PMM0072,2,2,2,0.05,| PMM0072 | ABC transporter2220.05| PMM0072 | ABC transporter
PMM0073,4,4,4,0.075,| PMM0073 | cysteine desulfurase activator complex subunit SufB4440.075| PMM0073 | cysteine desulfurase activator complex subunit SufB
PMM0074,1,1,1,0.058,| PMM0074 | hypothetical protein1110.058| PMM0074 | hypothetical protein
PMM0075,5,5,5,0.111,| PMM0075 | hypothetical protein5550.111| PMM0075 | hypothetical protein
PMM0076,2,3,2,0.033,| pgm | phosphoglucomutase2320.033| pgm | phosphoglucomutase
