,ProteinID,Alignments,SpecCounts,Unique,Coverage,Description
0,PMM0001,10,11,10,0.257,| dnaN | DNA polymerase III subunit beta
1,PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein
2,PMM0003,11,12,11,0.139,| purL | phosphoribosylformylglycinamidine synthase II
3,PMM0004,2,2,2,0.028999999999999998,| purF | amidophosphoribosyltransferase
4,PMM0005,10,10,10,0.114,"| PMM0005 | DNA gyrase/topoisomerase IV, subunit A"
5,PMM0006,1,1,1,0.027999999999999997,| PMM0006 | hypothetical protein
6,PMM0007,1,1,1,0.035,| PMM0007 | hypothetical protein
7,PMM0008,6,6,6,0.171,| PMM0008 | hypothetical protein
8,PMM0009,2,2,2,0.067,| nusB | transcription antitermination protein NusB
9,PMM0010,13,13,13,0.28,| ftsY | signal recognition particle docking protein FtsY
10,PMM0011,2,2,2,0.047,| PMM0011 | protein phosphatase 2C domain-containing protein
11,PMM0012,10,10,10,0.235,| argH | argininosuccinate lyase
12,PMM0013,4,4,4,0.081,| PMM0013 | RNA recognition motif-containing protein
13,PMM0014,1,1,1,0.021,| PMM0014 | tRNA-dihydrouridine synthase A
14,PMM0015,2,2,2,0.146,| PMM0015 | hypothetical protein
15,PMM0016,14,19,14,0.523,| grpE | heat shock protein GrpE
16,PMM0017,6,8,6,0.126,| dnaJ | DnaJ protein
17,PMM0020,7,8,7,0.517,| PMM0020 | hypothetical protein
18,PMM0021,4,4,3,0.132,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase
19,PMM0022,2,2,2,0.038,| murC | UDP-N-acetylmuramate-alanine ligase
20,PMM0023,11,14,11,0.27399999999999997,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
21,PMM0024,2,2,2,0.046,| thiL | putative thiamine-monophosphate kinase
22,PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
23,PMM0026,3,3,3,0.129,| efp | elongation factor P
24,PMM0027,1,1,1,0.06,"| accB,fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit"
25,PMM0028,1,1,1,0.026000000000000002,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase
26,PMM0029,3,3,3,0.098,| PMM0029 | hypothetical protein
27,PMM0032,4,5,4,0.266,| PMM0032 | type II secretion system pr
28,PMM0034,1,1,1,0.16899999999999998,| PMM0034 | hypothetical protein
29,PMM0035,1,2,1,0.021,| DHSS | soluble hydrogenase small subunit
30,PMM0036,2,2,2,0.051,| cbiD | cobalt-precorrin-6A synthase
31,PMM0037,7,9,7,0.153,| guaA | GMP synthase
32,PMM0038,1,1,1,0.03,| PMM0038 | hypothetical protein
33,PMM0039,3,3,3,0.129,| PMM0039 | hypothetical protein
34,PMM0040,1,1,1,0.012,| PMM0040 | putative penicillin-binding protein
35,PMM0041,2,2,2,0.109,| PMM0041 | putative reductase
36,PMM0042,2,2,2,0.032,| PMM0042 | flavoprotein
37,PMM0043,2,2,2,0.039,| PMM0043 | flavoprotein
38,PMM0044,9,9,9,0.09300000000000001,| alaS | alanyl-tRNA synthetase
39,PMM0045,5,5,4,0.079,| PMM0045 | arginine decarboxylase
40,PMM0046,2,4,2,0.11800000000000001,| ndk | nucleoside diphosphate kinase
41,PMM0047,4,5,4,0.111,| thiO | putative thiamine biosynthesis oxidoreductase
42,PMM0048,9,9,9,0.16899999999999998,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
43,PMM0049,3,3,3,0.10800000000000001,| coaE | putative dephospho-CoA kinase
44,PMM0050,2,2,2,0.06,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
45,PMM0051,3,3,3,0.11699999999999999,| PMM0051 | hypothetical protein
46,PMM0052,1,1,1,0.031,| PMM0052 | aldo/keto reductase
47,PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein
48,PMM0055,1,3,1,0.085,| PMM0055 | hypothetical protein
49,PMM0057,3,3,3,0.026000000000000002,| PMM0057 | SMC ATPase superfamily chromosome segregation protein
50,PMM0058,2,2,2,0.07400000000000001,| PMM0058 | hypothetical protein
51,PMM0059,1,1,1,0.019,| PMM0059 | hypothetical protein
52,PMM0060,4,4,4,0.122,| accC | acetyl-CoA carboxylase biotin carboxylase subunit
53,PMM0063,1,1,1,0.028999999999999998,| PMM0063 | hypothetical protein
54,PMM0064,1,1,1,0.14300000000000002,| hli2 | high light inducible protein
55,PMM0065,11,13,11,0.127,"| PMM0065 | ABC transporter, ATP binding protein"
56,PMM0067,3,3,3,0.09699999999999999,| PMM0067 | HIT (histidine triad) family protein
57,PMM0068,3,3,3,0.159,| def | peptide deformylase
58,PMM0069,1,1,1,0.011000000000000001,| PMM0069 | esterase/lipase/thioesterase family protein
59,PMM0070,7,7,7,0.195,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase
60,PMM0071,3,3,3,0.081,"| PMM0071 | ABC transporter, membrane component"
61,PMM0072,3,3,3,0.115,"| PMM0072 | ABC transporter, ATP binding component"
62,PMM0073,5,5,5,0.092,| PMM0073 | cysteine desulfurase activator complex subunit SufB
63,PMM0074,1,1,1,0.057999999999999996,| PMM0074 | hypothetical protein
64,PMM0075,7,7,7,0.198,| PMM0075 | hypothetical protein
65,PMM0076,4,5,4,0.08800000000000001,| pgm | phosphoglucomutase
66,PMM0077,2,2,2,0.044000000000000004,| yrvN | recombination factor protein RarA
67,PMM0079,6,8,6,0.316,| bcp | putative bacterioferritin comigratory (BCP) protein
68,PMM0081,1,1,1,0.05,| cysH | phosphoadenosine phosphosulfate reductase
69,PMM0082,2,2,2,0.040999999999999995,"| PMM0082 | putative NADH dehydrogenase, transport associated"
70,PMM0083,1,1,1,0.015,| PMM0083 | DASS family sodium/sulfate transporter
71,PMM0085,7,7,7,0.27399999999999997,| PMM0085 | VIC family potassium channel protein
72,PMM0088,4,4,4,0.605,| PMM0088 | hypothetical protein
73,PMM0090,6,7,6,0.149,| PMM0090 | serine protease
74,PMM0091,1,1,1,0.138,| PMM0091 | hypothetical protein
75,PMM0092,1,1,1,0.107,| PMM0092 | hypothetical protein
76,PMM0093,2,2,2,0.271,| hli1 | high light inducible protein
77,PMM0096,7,7,7,0.245,| PMM0096 | inositol monophosphate family protein
78,PMM0097,4,4,4,0.08800000000000001,| PMM0097 | RND family outer membrane efflux protein
79,PMM0098,1,1,1,0.03,| PMM0098 | putative Fe-S oxidoreductase
80,PMM0099,1,1,1,0.035,| PMM0099 | hypothetical protein
81,PMM0100,4,4,4,0.07200000000000001,| nadB | L-aspartate oxidase
82,PMM0101,1,1,1,0.039,| PMM0101 | hypothetical protein
83,PMM0103,3,3,3,0.22699999999999998,| PMM0103 | hypothetical protein
84,PMM0104,1,1,1,0.031,| PMM0104 | hypothetical protein
85,PMM0105,1,1,1,0.055,| ribG | RibD/RibG domain-containing protein
86,PMM0106,1,1,1,0.036000000000000004,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase
87,PMM0107,4,4,4,0.146,| aroK | shikimate kinase
88,PMM0109,2,2,2,0.076,| PMM0109 | POLO box duplicated region
89,PMM0110,5,5,5,0.17,| PMM0110 | putative glutathione S-transferase
90,PMM0113,1,1,1,0.026000000000000002,| hemD | putative uroporphyrinogen III synthase
