ProteinID,Alignments,SpecCounts,Unique,Coverage,Description,,,,
PMM0001,8,10,8,0.153,| dnaN | DNA polymerase III subunit beta,,,,
PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein,,,,
PMM0003,7,8,7,0.085,| purL | phosphoribosylformylglycinamidine synthase II,,,,
PMM0004,3,3,3,0.049,| purF | amidophosphoribosyltransferase,,,,
PMM0005,8,8,8,0.093,| PMM0005 | DNA gyrase/topoisomerase IV, subunit A,,,
PMM0008,4,5,4,0.131,| PMM0008 | hypothetical protein,,,,
PMM0009,2,3,2,0.077,| nusB | transcription antitermination protein NusB,,,,
PMM0010,10,11,10,0.27,| ftsY | signal recognition particle docking protein FtsY,,,,
PMM0011,2,2,2,0.049,| PMM0011 | protein phosphatase 2C domain-containing protein,,,,
PMM0012,8,8,8,0.161,| argH | argininosuccinate lyase,,,,
PMM0013,3,3,3,0.045,| PMM0013 | RNA recognition motif-containing protein,,,,
PMM0014,1,1,1,0.018,| PMM0014 | tRNA-dihydrouridine synthase A,,,,
PMM0015,1,1,1,0.061,| PMM0015 | hypothetical protein,,,,
PMM0016,8,16,8,0.276,| grpE | heat shock protein GrpE,,,,
PMM0017,4,7,4,0.099,| dnaJ | DnaJ protein,,,,
PMM0020,5,7,5,0.379,| PMM0020 | hypothetical protein,,,,
PMM0021,2,2,2,0.064,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase,,,,
PMM0023,10,12,10,0.279,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),,,,
PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase,,,,
PMM0026,1,1,1,0.043,| efp | elongation factor P,,,,
PMM0027,1,1,1,0.06,| accB,fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,,,
PMM0029,1,1,1,0.041,| PMM0029 | hypothetical protein,,,,
PMM0032,4,5,4,0.309,| PMM0032 | type II secretion system pr,,,,
PMM0034,2,2,2,0.354,| PMM0034 | hypothetical protein,,,,
PMM0035,1,2,1,0.021,| DHSS | soluble hydrogenase small subunit,,,,
PMM0036,2,2,2,0.051,| cbiD | cobalt-precorrin-6A synthase,,,,
PMM0037,4,5,4,0.081,| guaA | GMP synthase,,,,
PMM0039,1,1,1,0.054,| PMM0039 | hypothetical protein,,,,
PMM0041,2,2,2,0.109,| PMM0041 | putative reductase,,,,
PMM0042,1,1,1,0.02,| PMM0042 | flavoprotein,,,,
PMM0043,2,2,2,0.034,| PMM0043 | flavoprotein,,,,
PMM0044,8,8,8,0.093,| alaS | alanyl-tRNA synthetase,,,,
PMM0045,6,6,5,0.079,| PMM0045 | arginine decarboxylase,,,,
PMM0046,2,4,2,0.118,| ndk | nucleoside diphosphate kinase,,,,
PMM0047,3,4,3,0.084,| thiO | putative thiamine biosynthesis oxidoreductase,,,,
PMM0048,8,8,8,0.167,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B,,,,
PMM0049,1,1,1,0.054,| coaE | putative dephospho-CoA kinase,,,,
PMM0050,1,1,1,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein,,,,
PMM0051,2,2,2,0.117,| PMM0051 | hypothetical protein,,,,
PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein,,,,
PMM0055,2,3,2,0.085,| PMM0055 | hypothetical protein,,,,
PMM0057,2,2,2,0.018,| PMM0057 | SMC ATPase superfamily chromosome segregation protein,,,,
PMM0058,2,2,2,0.062,| PMM0058 | hypothetical protein,,,,
PMM0059,1,1,1,0.019,| PMM0059 | hypothetical protein,,,,
PMM0060,2,2,2,0.042,| accC | acetyl-CoA carboxylase biotin carboxylase subunit,,,,
PMM0061,1,1,1,0.089,| PMM0061 | hypothetical protein,,,,
PMM0063,1,1,1,0.029,| PMM0063 | hypothetical protein,,,,
PMM0064,1,1,1,0.143,| hli2 | high light inducible protein,,,,
PMM0065,8,9,8,0.105,| PMM0065 | ABC transporter, ATP binding protein,,,
PMM0067,2,3,2,0.097,| PMM0067 | HIT (histidine triad) family protein,,,,
PMM0068,1,1,1,0.045,| def | peptide deformylase,,,,
PMM0069,1,1,1,0.011,| PMM0069 | esterase/lipase/thioesterase family protein,,,,
PMM0070,4,4,4,0.078,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase,,,,
PMM0071,4,4,4,0.099,| PMM0071 | ABC transporter, membrane component,,,
PMM0072,5,6,5,0.203,| PMM0072 | ABC transporter, ATP binding component,,,
PMM0073,3,3,3,0.054,| PMM0073 | cysteine desulfurase activator complex subunit SufB,,,,
PMM0074,1,1,1,0.058,| PMM0074 | hypothetical protein,,,,
PMM0075,4,4,4,0.09,| PMM0075 | hypothetical protein,,,,
PMM0076,5,7,4,0.07,| pgm | phosphoglucomutase,,,,
PMM0077,2,2,2,0.04,| yrvN | recombination factor protein RarA,,,,
PMM0079,9,11,9,0.426,| bcp | putative bacterioferritin comigratory (BCP) protein,,,,
PMM0080,1,1,1,0.04,| PMM0080 | hypothetical protein,,,,
PMM0081,1,1,1,0.029,| cysH | phosphoadenosine phosphosulfate reductase,,,,
PMM0082,2,2,1,0.041,| PMM0082 | putative NADH dehydrogenase, transport associated,,,
PMM0085,4,4,4,0.171,| PMM0085 | VIC family potassium channel protein,,,,
PMM0088,3,3,3,0.355,| PMM0088 | hypothetical protein,,,,
PMM0090,4,5,4,0.107,| PMM0090 | serine protease,,,,
PMM0092,2,2,2,0.214,| PMM0092 | hypothetical protein,,,,
PMM0096,5,5,5,0.204,| PMM0096 | inositol monophosphate family protein,,,,
PMM0097,3,3,3,0.069,| PMM0097 | RND family outer membrane efflux protein,,,,
PMM0099,2,2,2,0.071,| PMM0099 | hypothetical protein,,,,
PMM0100,3,3,3,0.047,| nadB | L-aspartate oxidase,,,,
PMM0101,1,1,1,0.039,| PMM0101 | hypothetical protein,,,,
PMM0103,2,2,2,0.172,| PMM0103 | hypothetical protein,,,,
PMM0104,1,1,1,0.029,| PMM0104 | hypothetical protein,,,,
PMM0106,3,3,3,0.117,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase,,,,
PMM0107,1,2,1,0.054,| aroK | shikimate kinase,,,,
PMM0110,6,6,6,0.166,| PMM0110 | putative glutathione S-transferase,,,,
PMM0115,1,1,1,0.023,| crtQ | zeta-carotene desaturase,,,,
PMM0117,1,1,1,0.063,| PMM0117 | hypothetical protein,,,,
PMM0120,2,2,2,0.048,| PMM0120 | putative cell division inhibitor,,,,
PMM0123,6,7,6,0.171,| cysK2 | O-acetylserine (thiol)-lyase A,,,,
PMM0124,3,4,3,0.326,| PMM0124 | hypothetical protein,,,,
PMM0126,4,4,4,0.115,| PMM0126 | hypothetical protein,,,,
PMM0127,1,1,1,0.076,| PMM0127 | signal peptide binding domain-containing protein,,,,
PMM0128,4,4,4,0.088,| rpaA | two-component response regulator,,,,
PMM0130,3,3,3,0.173,| PMM0130 | thymidylate kinase,,,,
PMM0131,2,2,2,0.027,| PMM0131 | putative P-type ATPase transporter for copper,,,,
PMM0133,2,2,2,0.047,| radA | DNA repair protein RadA,,,,
PMM0134,8,8,8,0.315,| rpaB | two-component response regulator,,,,
PMM0135,4,5,4,0.086,| plsX | putative glycerol-3-phosphate acyltransferase PlsX,,,,
PMM0136,1,1,1,0.036,| fabH | 3-oxoacyl-(acyl carrier protein) synthase III,,,,
PMM0137,3,3,3,0.114,| fabD | malonyl coenzyme A-acyl carrier protein transacylase,,,,
PMM0138,2,3,2,0.083,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,,,,
