ProteinID,Alignments,SpecCounts,Unique,Coverage,Description
PMM0001,9,11,9,0.197,| dnaN | DNA polymerase III subunit beta
PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein
PMM0003,10,11,10,0.126,| purL | phosphoribosylformylglycinamidine synthase II
PMM0004,3,3,3,0.049,| purF | amidophosphoribosyltransferase
PMM0005,9,9,9,0.108,"| PMM0005 | DNA gyrase/topoisomerase IV, subunit A"
PMM0008,4,5,4,0.131,| PMM0008 | hypothetical protein
PMM0009,2,3,2,0.077,| nusB | transcription antitermination protein NusB
PMM0010,15,16,15,0.327,| ftsY | signal recognition particle docking protein FtsY
PMM0011,2,2,2,0.049,| PMM0011 | protein phosphatase 2C domain-containing protein
PMM0012,15,15,15,0.316,| argH | argininosuccinate lyase
PMM0013,5,6,5,0.09,| PMM0013 | RNA recognition motif-containing protein
PMM0014,1,1,1,0.018,| PMM0014 | tRNA-dihydrouridine synthase A
PMM0015,1,1,1,0.061,| PMM0015 | hypothetical protein
PMM0016,14,23,14,0.54,| grpE | heat shock protein GrpE
PMM0017,5,8,5,0.136,| dnaJ | DnaJ protein
PMM0020,7,9,7,0.509,| PMM0020 | hypothetical protein
PMM0021,2,2,2,0.064,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase
PMM0023,10,12,10,0.279,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating)
PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase
PMM0026,1,1,1,0.043,| efp | elongation factor P
PMM0027,1,1,1,0.06,"| accB,fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit"
PMM0028,1,1,1,0.04,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase
PMM0029,3,3,3,0.125,| PMM0029 | hypothetical protein
PMM0032,5,7,5,0.388,| PMM0032 | type II secretion system pr
PMM0034,2,2,2,0.354,| PMM0034 | hypothetical protein
PMM0035,2,3,2,0.065,| DHSS | soluble hydrogenase small subunit
PMM0036,3,3,3,0.073,| cbiD | cobalt-precorrin-6A synthase
PMM0037,7,8,7,0.136,| guaA | GMP synthase
PMM0039,1,1,1,0.054,| PMM0039 | hypothetical protein
PMM0041,3,3,3,0.184,| PMM0041 | putative reductase
PMM0042,2,2,2,0.038,| PMM0042 | flavoprotein
PMM0043,3,3,3,0.056,| PMM0043 | flavoprotein
PMM0044,9,9,9,0.113,| alaS | alanyl-tRNA synthetase
PMM0045,7,7,6,0.083,| PMM0045 | arginine decarboxylase
PMM0046,2,4,2,0.118,| ndk | nucleoside diphosphate kinase
PMM0047,3,4,3,0.084,| thiO | putative thiamine biosynthesis oxidoreductase
PMM0048,13,13,13,0.269,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B
PMM0049,1,1,1,0.054,| coaE | putative dephospho-CoA kinase
PMM0050,1,1,1,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein
PMM0051,3,3,3,0.117,| PMM0051 | hypothetical protein
PMM0052,1,1,1,0.031,| PMM0052 | aldo/keto reductase
PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein
PMM0055,2,3,2,0.085,| PMM0055 | hypothetical protein
PMM0057,3,3,3,0.022,| PMM0057 | SMC ATPase superfamily chromosome segregation protein
PMM0058,3,3,3,0.104,| PMM0058 | hypothetical protein
PMM0059,2,2,2,0.054,| PMM0059 | hypothetical protein
PMM0060,2,2,2,0.042,| accC | acetyl-CoA carboxylase biotin carboxylase subunit
PMM0061,1,1,1,0.089,| PMM0061 | hypothetical protein
PMM0063,2,2,2,0.029,| PMM0063 | hypothetical protein
PMM0064,1,1,1,0.143,| hli2 | high light inducible protein
PMM0065,11,13,11,0.145,"| PMM0065 | ABC transporter, ATP binding protein"
PMM0067,2,3,2,0.097,| PMM0067 | HIT (histidine triad) family protein
PMM0068,1,1,1,0.045,| def | peptide deformylase
PMM0069,1,1,1,0.011,| PMM0069 | esterase/lipase/thioesterase family protein
PMM0070,6,6,6,0.141,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase
PMM0071,5,5,5,0.141,"| PMM0071 | ABC transporter, membrane component"
PMM0072,6,7,6,0.261,"| PMM0072 | ABC transporter, ATP binding component"
PMM0073,3,3,3,0.054,| PMM0073 | cysteine desulfurase activator complex subunit SufB
PMM0074,2,2,2,0.15,| PMM0074 | hypothetical protein
PMM0075,4,4,4,0.09,| PMM0075 | hypothetical protein
PMM0076,5,8,4,0.07,| pgm | phosphoglucomutase
PMM0077,5,5,5,0.093,| yrvN | recombination factor protein RarA
PMM0079,9,11,9,0.426,| bcp | putative bacterioferritin comigratory (BCP) protein
PMM0080,1,1,1,0.04,| PMM0080 | hypothetical protein
PMM0081,1,1,1,0.029,| cysH | phosphoadenosine phosphosulfate reductase
PMM0082,4,4,3,0.086,"| PMM0082 | putative NADH dehydrogenase, transport associated"
PMM0083,1,1,1,0.012,| PMM0083 | DASS family sodium/sulfate transporter
PMM0085,4,4,4,0.171,| PMM0085 | VIC family potassium channel protein
PMM0088,3,3,3,0.355,| PMM0088 | hypothetical protein
PMM0090,7,8,7,0.23,| PMM0090 | serine protease
PMM0092,2,2,2,0.214,| PMM0092 | hypothetical protein
PMM0093,2,3,2,0.271,| hli1 | high light inducible protein
PMM0096,7,7,7,0.268,| PMM0096 | inositol monophosphate family protein
PMM0097,3,3,3,0.069,| PMM0097 | RND family outer membrane efflux protein
PMM0098,1,1,1,0.03,| PMM0098 | putative Fe-S oxidoreductase
PMM0099,2,2,2,0.071,| PMM0099 | hypothetical protein
PMM0100,5,5,5,0.09,| nadB | L-aspartate oxidase
PMM0101,1,1,1,0.039,| PMM0101 | hypothetical protein
PMM0103,2,2,2,0.172,| PMM0103 | hypothetical protein
PMM0104,1,1,1,0.029,| PMM0104 | hypothetical protein
PMM0106,3,3,3,0.117,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase
PMM0107,2,3,2,0.103,| aroK | shikimate kinase
PMM0109,1,1,1,0.038,| PMM0109 | POLO box duplicated region
PMM0110,7,7,7,0.203,| PMM0110 | putative glutathione S-transferase
PMM0114,1,1,1,0.051,| PMM0114 | putative integral membrane protein
PMM0115,4,4,4,0.081,| crtQ | zeta-carotene desaturase
PMM0117,2,2,2,0.183,| PMM0117 | hypothetical protein
PMM0120,3,3,3,0.09,| PMM0120 | putative cell division inhibitor
PMM0123,9,10,9,0.239,| cysK2 | O-acetylserine (thiol)-lyase A
PMM0124,4,5,4,0.337,| PMM0124 | hypothetical protein
PMM0126,7,7,7,0.157,| PMM0126 | hypothetical protein
PMM0127,3,3,3,0.235,| PMM0127 | signal peptide binding domain-containing protein
PMM0128,4,6,4,0.088,| rpaA | two-component response regulator
PMM0130,3,3,3,0.173,| PMM0130 | thymidylate kinase
PMM0131,3,3,3,0.035,| PMM0131 | putative P-type ATPase transporter for copper
PMM0133,3,3,3,0.073,| radA | DNA repair protein RadA
PMM0134,10,10,10,0.423,| rpaB | two-component response regulator
PMM0135,5,6,5,0.101,| plsX | putative glycerol-3-phosphate acyltransferase PlsX
PMM0136,2,2,2,0.072,| fabH | 3-oxoacyl-(acyl carrier protein) synthase III
PMM0137,3,3,3,0.114,| fabD | malonyl coenzyme A-acyl carrier protein transacylase
PMM0138,3,4,3,0.155,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase
PMM0142,5,5,5,0.345,| PMM0142 | RNA recognition motif-containing protein
PMM0143,1,1,1,0.04,"| crtB,pys | squalene and phytoene synthase"
PMM0144,9,9,9,0.15,"| pds,crtD | phytoene desaturase"
PMM0145,3,3,3,0.217,| PMM0145 | NADH dehydrogenase I subunit M
PMM0146,1,1,1,0.054,| PMM0146 | hypothetical protein
PMM0147,6,6,5,0.205,| rbcR | putative Rubisco transcriptional regulator
PMM0149,5,5,5,0.061,| ndhF | NAD(P)H-quinone oxidoreductase subunit F
PMM0150,3,3,3,0.029,| ndhD | NAD(P)H-quinone oxidoreductase subunit 4
PMM0152,3,3,3,0.071,| PMM0152 | putative sugar-phosphate nucleotidyl transferase
PMM0153,4,4,4,0.169,| PMM0153 | methylenetetrahydrofolate reductase
PMM0154,1,1,1,0.207,| PMM0154 | LuxR family regulatory protein
PMM0155,2,2,2,0.133,| PMM0155 | hypothetical protein
PMM0156,1,1,1,0.03,| ppnK | inorganic polyphosphate/ATP-NAD kinase
PMM0159,3,3,3,0.178,| ndhI | NADH dehydrogenase subunit I
PMM0160,1,1,1,0.048,| ndhA | NADH dehydrogenase subunit H
PMM0161,12,13,12,0.307,| gltA | citrate synthase
PMM0162,3,3,3,0.054,| PMM0162 | hypothetical protein
PMM0163,1,1,1,0.078,| PMM0163 | hypothetical protein
PMM0164,5,6,5,0.118,| trpB | tryptophan synthase subunit beta
PMM0167,2,2,2,0.067,| purE | phosphoribosylaminoimidazole carboxylase
PMM0168,5,5,5,0.189,| chlM | Mg-protoporphyrin IX methyl transferase
PMM0169,10,12,9,0.273,| PMM0169 | two-component response regulator
PMM0170,2,2,2,0.052,| PMM0170 | NifS-like aminotransferase class-V
PMM0172,7,7,7,0.175,| ndhH | NAD(P)H-quinone oxidoreductase subunit H
PMM0173,2,2,2,0.14,| PMM0173 | hypothetical protein
PMM0174,2,2,2,0.035,| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)
PMM0175,2,2,2,0.065,| menC | putative O-succinylbenzoate synthase
PMM0178,3,4,3,0.081,| gshB | glutathione synthetase
PMM0179,5,5,5,0.357,| PMM0179 | glutaredoxin
PMM0184,1,1,1,0.061,| pabA | para-aminobenzoate synthase component II
PMM0185,1,1,1,0.041,| PMM0185 | hypothetical protein
PMM0186,3,3,3,0.095,| hisC | aminotransferase class-I
PMM0187,2,2,2,0.036,| argS | arginyl-tRNA synthetase
PMM0188,2,2,2,0.069,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase
PMM0189,3,3,3,0.065,| trmE | tRNA modification GTPase TrmE
PMM0190,1,1,1,0.047,| PMM0190 | hypothetical protein
