ProteinID,Alignments,SpecCounts,Unique,Coverage,Description,,,,
PMM0001,8,9,8,0.179,| dnaN | DNA polymerase III subunit beta,,,,
PMM0002,2,2,1,0.038,| PMM0002 | hypothetical protein,,,,
PMM0003,8,8,8,0.092,| purL | phosphoribosylformylglycinamidine synthase II,,,,
PMM0004,2,2,2,0.029,| purF | amidophosphoribosyltransferase,,,,
PMM0005,8,8,8,0.087,| PMM0005 | DNA gyrase/topoisomerase IV, subunit A,,,
PMM0006,1,1,1,0.028,| PMM0006 | hypothetical protein,,,,
PMM0008,3,3,3,0.139,| PMM0008 | hypothetical protein,,,,
PMM0009,1,1,1,0.033,| nusB | transcription antitermination protein NusB,,,,
PMM0010,8,8,8,0.191,| ftsY | signal recognition particle docking protein FtsY,,,,
PMM0011,2,2,2,0.047,| PMM0011 | protein phosphatase 2C domain-containing protein,,,,
PMM0012,3,3,3,0.072,| argH | argininosuccinate lyase,,,,
PMM0013,2,2,2,0.036,| PMM0013 | RNA recognition motif-containing protein,,,,
PMM0014,1,1,1,0.021,| PMM0014 | tRNA-dihydrouridine synthase A,,,,
PMM0015,1,1,1,0.079,| PMM0015 | hypothetical protein,,,,
PMM0016,7,11,7,0.243,| grpE | heat shock protein GrpE,,,,
PMM0017,4,6,4,0.07,| dnaJ | DnaJ protein,,,,
PMM0020,5,6,5,0.379,| PMM0020 | hypothetical protein,,,,
PMM0021,4,4,3,0.132,| murB | UDP-N-acetylenolpyruvoylglucosamine reductase,,,,
PMM0023,9,12,9,0.274,| gap2 | glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),,,,
PMM0024,1,1,1,0.018,| thiL | putative thiamine-monophosphate kinase,,,,
PMM0025,1,1,1,0.025,| PMM0025 | cyclophilin-type peptidyl-prolyl cis-trans isomerase,,,,
PMM0026,3,3,3,0.129,| efp | elongation factor P,,,,
PMM0027,1,1,1,0.06,| accB,fabE | biotin / lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,,,
PMM0028,1,1,1,0.026,| pdxA | 4-hydroxythreonine-4-phosphate dehydrogenase,,,,
PMM0029,2,2,2,0.054,| PMM0029 | hypothetical protein,,,,
PMM0032,3,4,3,0.187,| PMM0032 | type II secretion system pr,,,,
PMM0034,1,1,1,0.169,| PMM0034 | hypothetical protein,,,,
PMM0035,1,2,1,0.021,| DHSS | soluble hydrogenase small subunit,,,,
PMM0036,1,1,1,0.019,| cbiD | cobalt-precorrin-6A synthase,,,,
PMM0037,5,7,5,0.112,| guaA | GMP synthase,,,,
PMM0038,1,1,1,0.03,| PMM0038 | hypothetical protein,,,,
PMM0039,2,2,2,0.094,| PMM0039 | hypothetical protein,,,,
PMM0040,1,1,1,0.012,| PMM0040 | putative penicillin-binding protein,,,,
PMM0041,2,2,2,0.109,| PMM0041 | putative reductase,,,,
PMM0042,1,1,1,0.02,| PMM0042 | flavoprotein,,,,
PMM0043,1,1,1,0.017,| PMM0043 | flavoprotein,,,,
PMM0044,8,8,8,0.08,| alaS | alanyl-tRNA synthetase,,,,
PMM0045,3,3,3,0.054,| PMM0045 | arginine decarboxylase,,,,
PMM0046,2,3,2,0.118,| ndk | nucleoside diphosphate kinase,,,,
PMM0047,3,4,3,0.084,| thiO | putative thiamine biosynthesis oxidoreductase,,,,
PMM0048,5,5,5,0.1,| gatB | aspartyl/glutamyl-tRNA amidotransferase subunit B,,,,
PMM0049,1,1,1,0.054,| coaE | putative dephospho-CoA kinase,,,,
PMM0050,1,1,1,0.025,| argJ | bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein,,,,
PMM0051,2,2,2,0.117,| PMM0051 | hypothetical protein,,,,
PMM0054,1,1,1,0.062,| PMM0054 | hypothetical protein,,,,
PMM0055,1,3,1,0.085,| PMM0055 | hypothetical protein,,,,
PMM0057,2,2,2,0.021,| PMM0057 | SMC ATPase superfamily chromosome segregation protein,,,,
PMM0058,1,1,1,0.033,| PMM0058 | hypothetical protein,,,,
PMM0060,3,3,3,0.089,| accC | acetyl-CoA carboxylase biotin carboxylase subunit,,,,
PMM0063,1,1,1,0.029,| PMM0063 | hypothetical protein,,,,
PMM0064,1,1,1,0.143,| hli2 | high light inducible protein,,,,
PMM0065,11,13,11,0.127,| PMM0065 | ABC transporter, ATP binding protein,,,
PMM0067,3,3,3,0.097,| PMM0067 | HIT (histidine triad) family protein,,,,
PMM0068,2,2,2,0.1,| def | peptide deformylase,,,,
PMM0069,1,1,1,0.011,| PMM0069 | esterase/lipase/thioesterase family protein,,,,
PMM0070,4,4,4,0.085,| PMM0070 | putative cysteine desulfurase or selenocysteine lyase,,,,
PMM0071,3,3,3,0.081,| PMM0071 | ABC transporter, membrane component,,,
PMM0072,2,2,2,0.05,| PMM0072 | ABC transporter, ATP binding component,,,
PMM0073,4,4,4,0.075,| PMM0073 | cysteine desulfurase activator complex subunit SufB,,,,
PMM0074,1,1,1,0.058,| PMM0074 | hypothetical protein,,,,
PMM0075,5,5,5,0.111,| PMM0075 | hypothetical protein,,,,
PMM0076,2,3,2,0.033,| pgm | phosphoglucomutase,,,,
PMM0077,2,2,2,0.044,| yrvN | recombination factor protein RarA,,,,
PMM0079,5,7,5,0.316,| bcp | putative bacterioferritin comigratory (BCP) protein,,,,
PMM0082,1,1,1,0.023,| PMM0082 | putative NADH dehydrogenase, transport associated,,,
PMM0083,1,1,1,0.015,| PMM0083 | DASS family sodium/sulfate transporter,,,,
PMM0085,6,6,6,0.274,| PMM0085 | VIC family potassium channel protein,,,,
PMM0088,3,3,3,0.5,| PMM0088 | hypothetical protein,,,,
PMM0090,6,7,6,0.149,| PMM0090 | serine protease,,,,
PMM0091,1,1,1,0.138,| PMM0091 | hypothetical protein,,,,
PMM0092,1,1,1,0.107,| PMM0092 | hypothetical protein,,,,
PMM0096,2,2,2,0.106,| PMM0096 | inositol monophosphate family protein,,,,
PMM0097,4,4,4,0.088,| PMM0097 | RND family outer membrane efflux protein,,,,
PMM0099,1,1,1,0.035,| PMM0099 | hypothetical protein,,,,
PMM0100,3,3,3,0.047,| nadB | L-aspartate oxidase,,,,
PMM0101,1,1,1,0.039,| PMM0101 | hypothetical protein,,,,
PMM0103,3,3,3,0.227,| PMM0103 | hypothetical protein,,,,
PMM0105,1,1,1,0.055,| ribG | RibD/RibG domain-containing protein,,,,
PMM0106,1,1,1,0.036,| PMM0106 | 6-pyruvoyl tetrahydropterin synthase,,,,
PMM0107,3,3,3,0.103,| aroK | shikimate kinase,,,,
PMM0109,1,1,1,0.038,| PMM0109 | POLO box duplicated region,,,,
PMM0110,4,4,4,0.133,| PMM0110 | putative glutathione S-transferase,,,,
PMM0115,2,2,2,0.043,| crtQ | zeta-carotene desaturase,,,,
PMM0117,2,2,2,0.155,| PMM0117 | hypothetical protein,,,,
PMM0120,4,4,3,0.094,| PMM0120 | putative cell division inhibitor,,,,
PMM0123,4,5,4,0.146,| cysK2 | O-acetylserine (thiol)-lyase A,,,,
PMM0124,3,4,3,0.213,| PMM0124 | hypothetical protein,,,,
PMM0125,1,1,1,0.048,| PMM0125 | ABC transporter ATP-binding protein,,,,
PMM0126,4,4,4,0.128,| PMM0126 | hypothetical protein,,,,
PMM0127,2,2,2,0.143,| PMM0127 | signal peptide binding domain-containing protein,,,,
PMM0128,5,7,5,0.191,| rpaA | two-component response regulator,,,,
PMM0130,2,2,2,0.131,| PMM0130 | thymidylate kinase,,,,
PMM0131,1,1,1,0.01,| PMM0131 | putative P-type ATPase transporter for copper,,,,
PMM0133,3,3,3,0.087,| radA | DNA repair protein RadA,,,,
PMM0134,7,7,7,0.315,| rpaB | two-component response regulator,,,,
PMM0135,5,6,5,0.105,| plsX | putative glycerol-3-phosphate acyltransferase PlsX,,,,
PMM0137,1,1,1,0.037,| fabD | malonyl coenzyme A-acyl carrier protein transacylase,,,,
PMM0138,3,3,3,0.126,| plsC | putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,,,,
PMM0139,2,2,1,0.088,| PMM0139 | hypothetical protein,,,,
PMM0142,5,5,5,0.345,| PMM0142 | RNA recognition motif-containing protein,,,,
PMM0143,1,1,1,0.023,| crtB,pys | squalene and phytoene synthase,,,
PMM0144,4,4,4,0.093,| pds,crtD | phytoene desaturase,,,
PMM0145,4,4,4,0.243,| PMM0145 | NADH dehydrogenase I subunit M,,,,
PMM0146,2,2,2,0.088,| PMM0146 | hypothetical protein,,,,
PMM0147,4,5,4,0.129,| rbcR | putative Rubisco transcriptional regulator,,,,
PMM0149,2,2,2,0.027,| ndhF | NAD(P)H-quinone oxidoreductase subunit F,,,,
PMM0150,3,3,2,0.044,| ndhD | NAD(P)H-quinone oxidoreductase subunit 4,,,,
PMM0153,3,3,3,0.132,| PMM0153 | methylenetetrahydrofolate reductase,,,,
PMM0155,2,2,2,0.133,| PMM0155 | hypothetical protein,,,,
PMM0156,2,2,2,0.057,| ppnK | inorganic polyphosphate/ATP-NAD kinase,,,,
PMM0159,2,2,2,0.091,| ndhI | NADH dehydrogenase subunit I,,,,
PMM0161,8,8,8,0.21,| gltA | citrate synthase,,,,
PMM0162,1,1,1,0.021,| PMM0162 | hypothetical protein,,,,
PMM0163,2,2,2,0.155,| PMM0163 | hypothetical protein,,,,
PMM0164,3,3,3,0.075,| trpB | tryptophan synthase subunit beta,,,,
PMM0167,1,2,1,0.067,| purE | phosphoribosylaminoimidazole carboxylase,,,,
PMM0168,3,3,3,0.112,| chlM | Mg-protoporphyrin IX methyl transferase,,,,
PMM0169,5,8,5,0.219,| PMM0169 | two-component response regulator,,,,
PMM0170,1,1,1,0.024,| PMM0170 | NifS-like aminotransferase class-V,,,,
PMM0172,6,7,6,0.152,| ndhH | NAD(P)H-quinone oxidoreductase subunit H,,,,
PMM0173,1,1,1,0.06,| PMM0173 | hypothetical protein,,,,
PMM0174,1,1,1,0.022,| menE | putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase),,,,
PMM0176,1,1,1,0.03,| menA | 1,4-dihydroxy-2-naphthoate octaprenyltransferase,,,
PMM0178,2,2,2,0.062,| gshB | glutathione synthetase,,,,
PMM0179,2,2,2,0.238,| PMM0179 | glutaredoxin,,,,
PMM0181,1,1,1,0.117,| PMM0181 | hypothetical protein,,,,
PMM0184,1,1,1,0.061,| pabA | para-aminobenzoate synthase component II,,,,
PMM0187,2,2,2,0.036,| argS | arginyl-tRNA synthetase,,,,
PMM0188,2,2,2,0.08,| nadC | nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase,,,,
PMM0189,1,1,1,0.02,| trmE | tRNA modification GTPase TrmE,,,,
PMM0190,1,1,1,0.047,| PMM0190 | hypothetical protein,,,,
PMM0191,3,3,3,0.043,| spoT | guanosine-3',5'-bis(diphosphate) 3'-diphosphatase, (ppGpp)ase,,
PMM0194,3,3,3,0.073,| rbgA | ribosomal biogenesis GTPase,,,,
PMM0195,16,20,16,0.296,| pgk | phosphoglycerate kinase,,,,
PMM0197,1,1,1,0.019,| murG | undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase,,,,
PMM0198,1,1,1,0.021,| hisC/cobC | aminotransferase class-I,,,,
PMM0199,1,1,1,0.018,| pyrD | dihydroorotate dehydrogenase 2,,,,
PMM0200,7,7,7,0.212,| rnhA | ribonuclease HI,,,,
PMM0201,14,25,14,0.443,| rplL | 50S ribosomal protein L7/L12,,,,
PMM0202,2,3,2,0.131,| rplJ | 50S ribosomal protein L10,,,,
PMM0203,6,6,6,0.234,| rplA | 50S ribosomal protein L1,,,,
PMM0204,3,4,3,0.22,| rplK | 50S ribosomal protein L11,,,,
PMM0205,3,4,3,0.143,| nusG | transcription antitermination protein NusG,,,,
PMM0206,1,2,1,0.139,| secE | preprotein translocase subunit SecE,,,,
PMM0207,9,9,9,0.099,| clpB2 | putative ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB,,
PMM0208,5,6,5,0.126,| eno | enolase,,,,
PMM0209,4,4,4,0.081,| PMM0209 | putative kinase,,,,
PMM0211,3,3,3,0.11,| trxB | FAD-dependent pyridine nucleotide-disulphide oxidoreductase,,,,
PMM0212,1,3,1,0.118,| PMM0212 | hypothetical protein,,,,
PMM0213,1,1,1,0.021,| sbtA | putative sodium-dependent bicarbonate transporter,,,,
PMM0214,7,13,7,0.113,| PMM0214 | putative sulfate transporter,,,,
PMM0215,5,6,5,0.114,| PMM0215 | delta-aminolevulinic acid dehydratase,,,,
PMM0217,1,1,1,0.012,| mutS | DNA mismatch repair protein MutS family protein,,,,
PMM0218,1,1,1,0.028,| obgE | GTPase ObgE,,,,
PMM0219,1,1,1,0.183,| PMM0219 | hypothetical protein,,,,
PMM0223,5,5,5,0.133,| psbA | photosystem II PsbA protein (D1),,,,
PMM0224,3,4,3,0.099,| aroC | chorismate synthase,,,,
PMM0225,1,1,1,0.033,| PMM0225 | 2-keto-3-deoxy-6-phosphogluconate aldolase,,,,
PMM0226,5,6,5,0.086,| ftsH2 | cell division protein FtsH2,,,,
PMM0227,5,5,4,0.113,| cysD | ATP-sulfurylase,,,,
PMM0228,11,18,11,0.288,| psbO | photosystem II manganese-stabilizing protein,,,,
PMM0229,1,1,1,0.029,| dfp | putative p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase,,,,
PMM0233,4,4,4,0.109,| pyrB | aspartate carbamoyltransferase catalytic subunit,,,,
PMM0235,6,7,6,0.433,| gatC | aspartyl/glutamyl-tRNA amidotransferase subunit C,,,,
PMM0238,9,10,9,0.069,| ileS | isoleucyl-tRNA synthetase,,,,
PMM0241,5,5,5,0.108,| PMM0241 | phosphotransferase superclass,,,,
PMM0242,1,1,1,0.072,| txlA | thioredoxin-like protein TxlA,,,,
PMM0243,3,3,3,0.137,| thyX | FAD-dependent thymidylate synthase,,,,
PMM0244,1,1,1,0.061,| dcd | deoxycytidine triphosphate deaminase,,,,
PMM0248,1,1,1,0.041,| PMM0248 | hypothetical protein,,,,
PMM0250,2,2,2,0.074,| pth | peptidyl-tRNA hydrolase,,,,
PMM0251,1,5,1,0.121,| psbH | photosystem II reaction center protein H,,,,
PMM0254,7,7,7,0.096,| PMM0254 | hypothetical protein,,,,
PMM0256,1,1,1,0.032,| leuC | isopropylmalate isomerase large subunit,,,,
PMM0257,4,4,4,0.085,| PMM0257 | molybdenum cofactor biosynthesis protein,,,,
PMM0258,6,7,6,0.137,| glyA | serine hydroxymethyltransferase,,,,
PMM0260,2,2,2,0.258,| PMM0260 | hypothetical protein,,,,
PMM0263,2,2,2,0.037,| amt1 | ammonium transporter,,,,
PMM0266,1,1,1,0.017,| purH | bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,,,,
PMM0269,1,1,1,0.024,| PMM0269 | two-component sensor histidine kinase,,,,
