,Cast,StartTime,StartTime matlab datenum,Int chl fluor,Int beam trans,Int O2 Mm/Kg
0,25,2019-10-03 13:31:35,744916.563599537,24.7593,4051.8445,3690.297
1,[25],2019-10-03 13:31:35,744916.563599537,24.7593,4051.8445,3690.297
2,[28],2019-10-04 11:01:39,744918.4594791667,57.709500000000006,26594.2224,5969.360000000001
3,[29],2019-10-04 23:50:04,744918.9931018519,66.5312,26773.471599999997,5158.425
4,[30],2019-10-05 08:39:43,744920.3609143519,107.7809,96023.5814,7054.908
5,[31],2019-10-05 14:03:02,744920.5854398148,100.4304,94117.0924,6224.446
6,[32],2019-10-05 21:38:22,744920.9016435185,83.68520000000001,44836.602999999996,6322.003000000001
7,[33],2019-10-06 14:14:26,744922.5933564815,61.296699999999994,15347.481600000003,7461.6359999999995
8,[34],2019-10-06 19:38:21,744922.8182986111,89.38369999999999,65347.5107,7943.815999999999
9,[35],2019-10-06 22:48:57,744922.9506597222,118.51740000000001,114689.1344,11533.641
10,[36],2019-10-07 01:47:02,744924.0743287037,125.38629999999999,119485.4325,12619.73
11,[37],2019-10-07 07:40:03,744924.3194791666,75.1198,45506.253899999996,8046.352
12,[38],2019-10-07 16:50:08,744924.7014814814,61.95779999999999,20280.4516,8802.399
13,[39],2019-10-07 20:45:29,744924.8649189814,78.9871,44872.279599999994,8238.554999999998
14,[40],2019-10-08 01:04:04,744926.0444907408,57.499300000000005,15260.54,8909.025
15,[42],2019-10-08 07:04:45,744926.2949652778,56.2056,15602.546700000003,7708.543999999999
16,[43],2019-10-08 13:20:29,744926.5558912037,57.0012,15208.3099,7847.3240000000005
17,[44],2019-10-08 15:59:43,744926.6664699074,50.1083,14615.4372,7220.336
18,[45],2019-10-08 18:55:51,744926.7887847222,60.6235,15791.928899999999,9070.543
19,[46],2019-10-08 22:10:38,744926.9240509259,70.05799999999999,35495.5205,7997.861
20,[47],2019-10-09 01:10:36,744928.0490277777,57.2566,14923.983499999998,7953.786
21,[48],2019-10-09 07:47:50,744928.3248842593,67.934,30441.8505,7641.129999999999
22,[49],2019-10-09 11:32:27,744928.4808680556,67.652,34926.523199999996,6535.573
23,[50],2019-10-09 14:15:42,744928.5942361112,59.50959999999999,14929.393199999999,8103.999
24,[51],2019-10-09 19:13:01,744928.8007060185,60.56280000000001,15700.1971,8376.274
25,[52],2019-10-11 00:09:58,744932.0069212962,58.280699999999996,15490.6096,8823.714
26,[53],2019-10-11 04:49:54,744932.2013194445,55.14460000000001,15665.562000000002,8159.375
27,[54],2019-10-11 12:24:17,744932.516863426,63.292699999999996,27045.731699999997,9176.788
28,[55],2019-10-11 19:08:20,744932.7974537037,80.78309999999999,46189.49770000001,9692.837
29,[56],2019-10-11 23:05:27,744932.9621180556,67.00150000000001,26992.783799999997,9517.682
30,[57],2019-10-12 02:30:37,744934.1045949074,76.7948,30844.2801,10730.192000000001
31,[58],2019-10-12 10:31:29,744934.4385300926,56.169700000000006,15427.616399999999,9085.055
32,[59],2019-10-12 13:13:32,744934.5510648148,73.77029999999999,34621.30189999999,11008.696000000002
33,[60],2019-10-12 19:49:39,744934.8261458334,156.47719999999998,169551.0435,38274.883
34,[61],2019-10-13 05:08:47,744936.2144328704,89.993,65665.2249,10783.863999999998
