Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 100 m suspended,Coverage (%) 965 m suspended,Coverage (%) 94 m sinking,Coverage (%) 965 m sinking,Area 100 m suspended,Area 965 m suspended,Area 94 m sinking,Area 965 m sinking,#Peptides,#Unique,#Spec 100 m suspended,#Spec 965 m suspended,#Spec 94 m sinking,#Spec 965 m sinking,PTM,Avg. Mass,Description
1,136,gi|54036848,281.59,12,12,11,12,11,7.8E8,4.17E8,7.97E8,9.33E8,42,28,146,77,127,149,Methylation(KR); Dehydration; Carboxylation (DKW); Sodium adduct; Amidation; 22 more,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
6,47,ETNP_90m_PROKKA_168214,278.06,89,89,0,0,0,,,,,59,0,114,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium,11111,Photosystem II 12 kDa extrinsic protein
6,48,ETNP_100m_PROKKA_52245,278.06,76,76,0,0,0,,,,,59,0,114,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium,13052,Photosystem II 12 kDa extrinsic protein precursor
6,49,ETNP_120m_PROKKA_24357,278.06,76,76,0,0,0,,,,,59,0,114,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium,13052,Photosystem II 12 kDa extrinsic protein precursor
6,50,ETNP_140m_PROKKA_164346,278.06,76,76,0,0,0,,,,,59,0,114,0,0,0,Oxidation (M); Sodium adduct; Formylation; Deamidation (NQ); Replacement of 2 protons by calcium,13052,Photosystem II 12 kDa extrinsic protein precursor
5,51,ETNP_100m_particle_PROKKA_12435,273.10,76,76,0,0,0,8.04E7,,,,55,30,113,0,0,0,Oxidation (M); Sodium adduct; Formylation; Methylation(others); Deamidation (NQ); 2 more,13019,Photosystem II 12 kDa extrinsic protein precursor
5,52,ETNP_120m_PROKKA_126325,273.10,76,76,0,0,0,8.04E7,,,,55,30,113,0,0,0,Oxidation (M); Sodium adduct; Formylation; Methylation(others); Deamidation (NQ); 2 more,13019,Photosystem II 12 kDa extrinsic protein precursor
5,53,ETNP_90m_PROKKA_27133,273.10,76,76,0,0,0,8.04E7,,,,55,30,113,0,0,0,Oxidation (M); Sodium adduct; Formylation; Methylation(others); Deamidation (NQ); 2 more,13019,Photosystem II 12 kDa extrinsic protein precursor
5,54,ETNP_100m_PROKKA_02317,273.10,76,76,0,0,0,8.04E7,,,,55,30,113,0,0,0,Oxidation (M); Sodium adduct; Formylation; Methylation(others); Deamidation (NQ); 2 more,13019,Photosystem II 12 kDa extrinsic protein precursor
9,58,ETNP_110m_PROKKA_45826,265.23,76,76,0,0,0,5.42E6,,,,55,8,97,0,0,0,Oxidation (M); Sodium adduct; Deamidation (NQ),13042,Photosystem II 12 kDa extrinsic protein precursor
9,59,ETNP_160m_PROKKA_83311,265.23,76,76,0,0,0,5.42E6,,,,55,8,97,0,0,0,Oxidation (M); Sodium adduct; Deamidation (NQ),13076,Photosystem II 12 kDa extrinsic protein precursor
21,572,ETNP_110m_PROKKA_04004,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7685,Photosystem I reaction center subunit IV
21,573,ETNP_100m_particle_PROKKA_97369,231.42,72,72,0,0,0,3.61E7,,,,40,39,67,0,0,0,Sodium adduct; Deamidation (NQ); Mutation,7671,Photosystem I reaction center subunit IV
